year,dist_id,dno_key,dno_name,dno_code,filename,sheet,row_index,tariff_code,rates_found,values_found,raw_text,voltage,customer_type,time_band
2022,20,SSE-SEPD,Southern Electric Power Distribution,SEPD,sepd_cdcm_v7_2022-23_pre-release_20201106_final_v1.1.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2022,20,SSE-SEPD,Southern Electric Power Distribution,SEPD,sepd_cdcm_v9_20221027_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2023,15,NPg-NE,Northern Powergrid (North East),NE,Northern Powergrid (Northeast) - 2023-24 CDCM Model v0.2.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2023,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd_cdcm_v10_20231106_25-26_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2023,20,SSE-SEPD,Southern Electric Power Distribution,SEPD,sepd_cdcm_v10_20231106_25-26_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2023,23,NPg-Y,Northern Powergrid (Yorkshire),Y,Northern Powergrid (Yorkshire) - 2023-24 CDCM Model v0.2.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (East Midlands) plc  - Effective from 1 April 2024 - Final LV and HV charges,LV,,
2024,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (East Midlands) plc  - Effective from 1 April 2024 - Final LV and HV tariffs,LV,,
2024,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2024']",National Grid Electricity Distribution (East Midlands) plc  - Effective from 1 April 2024 - Final new designated EHV charges,HV,,
2024,11,NGED-EM,National Grid Electricity Distribution – East Midlands,EMID,Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,16,EHV line,[],"['1', '2024']",National Grid Electricity Distribution (East Midlands) plc  - Effective from 1 April 2024 - Final new designated EHV line loss factors,HV,,
2024,13,SP-Manweb,SP Energy Networks (SPM),SPM,SPM 2024_25 CDCM_v9_20221027_published.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (West Midlands) plc - Effective from 1 April 2024 - Final LV and HV charges,LV,,
