id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
7;London Power Networks (LPN);Acton Lane 22kV;LPN-S000000003203;Acton Lane 22kV;ACTL81;PARL81;LPN 0003;lne_ACTL_ROYL_1;22;0.01;7.5;0.0;;1023;1.000
9;London Power Networks (LPN);Acton Lane 22kV;LPN-S000000003203;Acton Lane 22kV;ACTL81;ACTL81;Acton Lane 22kV;D3RA;22;0.22;66.67;0.0;787;787;Series Reactor
24;London Power Networks (LPN);Barking 132kV;LPN-S000000003663;East Ham Tee Pt. 66kV;EHAM60;NELN60;Nelson St 66kV;lne_EHAM_NELN_2;66;0.58;0.52;0.34;950;960;1.620
26;London Power Networks (LPN);Barking 132kV;LPN-S000000003663;East Ham Tee Pt. 66kV;EHAM63;NELN63;Nelson St 66kV;lne_EHAM_NELN_4;66;0.52;0.42;0.99;950;960;2.010
40;London Power Networks (LPN);Barking West 33kV;;Barking West 33kV;BARW31;SEWB33;Sewell Rd B 33kV;lne_BARW_SEWL_3;33;1.6;2.3;0.4;320;340;2.880
48;London Power Networks (LPN);Barking West 33kV;;LPN 0069;THAM31;BARW31;Barking West 33kV;lne_BARW_THMS1;33;0.09;0.2;0.02;864;973;0.200
53;London Power Networks (LPN);Beddington;LPN-S000000000817;Churchfields 33kV;CHUR33;SYDP32;Sydenham Park 33kV;lne_SYDP_CHUR_3;33;4.63;3.43;0.82;280;310;1.000
70;London Power Networks (LPN);Brimsdown;;Buckhurst Hill 33kV;BUCK31;FAIR3A;Fairlop Rd 33kV;lne_BUCK_FAIR_1;33;4.2;3.36;1.31;600;660;7.100
77;London Power Networks (LPN);Brimsdown;;Buckhurst Hill 33kV;BUCK32;GROT34;Grove Lodge 33kV;lne_BUCK_GROL_4;33;1.8;2.77;1.1;420;540;4.410
81;London Power Networks (LPN);Brimsdown;LPN-S000000000526;Fairlop Rd 33kV;FAIR3D;FAIR33;Fairlop Rd 33kV;lne_FAIR_T4;33;0.0;0.01;0.0;970;1020;1.000
82;London Power Networks (LPN);Brimsdown;;Fairlop Rd 33kV;FAIR3A;PERB30;Perth Rd B 33kV;lne_PERB_FAIR_1;33;2.58;2.09;0.78;390;420;4.320
118;London Power Networks (LPN);City Road;;Beech St A 11kV;BEEA51;CHAT52;LPN 0021;lne_BEEA_CHRT_2;11;5.27;5.68;0.02;;394;1.000
140;London Power Networks (LPN);City Road;LPN-S000000000112;Calshot St 132kV;CALS11;CALS1A;Calshot St 132kV;lne_CALS_CALS_2;132;0.0;0.01;0.09;691;796;0.095
141;London Power Networks (LPN);City Road;LPN-S000000000415;City Rd B 11kV;CITB53;CITB5C;City Rd B 11kV;lne_CITB_GRID1A;11;0.0;0.01;0.0;1780;1930;1.000
143;London Power Networks (LPN);City Road;;City Rd B 11kV;CITB52;CITB5B;City Rd B 11kV;lne_CITB_GRID2A;11;0.0;0.01;0.0;1780;1930;1.000
155;London Power Networks (LPN);City Road;LPN-S000000003413;City Road 132kV;CITY11;LIMA12;Limeburner Ln 132kV;Lne_CITY_LIMA_3;132;0.04;0.21;4.64;;899;2.656
161;London Power Networks (LPN);City Road;LPN-S000000003413;City Road 132kV;CITY1A;CITY11;City Road 132kV;lne_CITY_CITB_2;132;0.0;0.01;0.0;;1198;1.000
178;London Power Networks (LPN);City Road;LPN-S000000000428;Finsbury Market A 33kV;FINA31;FINB31;Finsbury Market B 33kV;lne_FINB_FINA;33;0.0;0.0;0.0;;1000;1.000
185;London Power Networks (LPN);City Road;LPN-S000000000433;Finsbury Mkt E 132kV;FINE13;FINM12;Finsbury Market 132kV;lne_FINM_FINA/FINB/FINC_3;132;0.0;0.01;0.0;950;1020;1.000
199;London Power Networks (LPN);City Road;LPN-S000000003463;Limeburner Ln 132kV;LIMA13;LIMA1C;Limeburner Ln 132kV;Lne_BANF_CITY_LIMA_1;132;0.0;0.01;0.09;691;796;0.100
233;London Power Networks (LPN);Hackney 132kV;LPN-S000000003439;Hackney Supergrid 132 kV;HACS11;BOWM11;Bow 132kV;lne_BOWM_HACG_1;132;0.15;0.27;0.0;;850;4.300
238;London Power Networks (LPN);Hackney 132kV;LPN-S000000000453;Hearn St 11kV;HEAR53;HEAR5A;Hearn St 11kV;Cable Tail_GT1_HEAR;11;0.02;0.04;0.0;880;1031;0.012
254;London Power Networks (LPN);Hackney 66kV;LPN-S000000000503;Blackhorse Lane 66kV;BLHL62;HACS6A;Hackney Sgrid 66kV;lne_HACS_BLHL_2;66;1.67;1.02;1.97;970;1020;2.600
255;London Power Networks (LPN);Hackney 66kV;LPN-S000000000503;Blackhorse Lane 66kV;BLHL63;HACS61;Hackney Sgrid 66kV;lne_HACS_BLHL_4;66;0.54;0.47;1.61;970;1020;4.650
277;London Power Networks (LPN);Hackney 66kV;;Hackney C 6.6kV;HACC7B;HACC73;Hackney C 6.6kV;RB1;6.6;4.0;80.0;0.0;3062;3062;Series Reactor
279;London Power Networks (LPN);Hackney 66kV;;Hackney C 6.6kV;HACC7C;HACC71;Hackney C 6.6kV;RC1;6.6;6.59;131.71;0.0;2624;2624;Series Reactor
297;London Power Networks (LPN);Hurst 132kV;;Bromley Grid 33kV;BROG32;CHSB31;LPN 0024;lne_BROG_CHSI_2;33;4.95;3.66;0.87;;1190;1.000
306;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1A;Eltham Grid 132kV;Lne_ELTH_1;132;0.0;0.0;0.0;;;1.000
308;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1H;Eltham Grid 132kV;lne_ELTH_ELTG_T2A;132;0.0;0.01;0.0;920;1000;1.000
311;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH11;ELTH1G;Eltham Grid 132kV;lne_ELTH_ELTM_T2B;132;0.0;0.01;0.0;780;850;1.000
315;London Power Networks (LPN);Hurst 132kV;LPN-S000000003732;Eltham Grid 132kV;ELTH12;SYDP12;Sydenham Park 132kV;lne_ELTH_SYDK_1;132;0.15;0.07;21.44;514;600;13.340
328;London Power Networks (LPN);Hurst 132kV;LPN-S000000003731;Eltham Grid 33kV;ELTG32;FARJ34;Farjeon Rd 33kV;lne_ELTG_FARJ_2;33;3.24;3.67;0.5;290;320;1.000
334;London Power Networks (LPN);Islington;LPN-S000000000446;Hatchard Rd 66kV;HATR61;HOLL61;Holloway Grid 66kV;lne_HOLL_HATR_1;66;0.54;0.55;1.53;160;170;2.780
335;London Power Networks (LPN);Islington;LPN-S000000000446;Hatchard Rd 66kV;HATR62;HOLL61;Holloway Grid 66kV;lne_HOLL_HATR_2;66;0.53;0.54;1.51;160;170;2.740
343;London Power Networks (LPN);Islington;;Georgiana St 11kV;GEST53;GEST5B;Georgiana St 11kV;Lne_GEORG_GT1B;11;0.1;0.33;0.01;716;804;0.100
347;London Power Networks (LPN);Islington;;Georgiana St 11kV;GEST51;GEST5F;Georgiana St 11kV;Lne_GEORG_GT3B;11;0.1;0.33;0.01;716;804;0.100
349;London Power Networks (LPN);Islington;;Islington 132kV;ISLG11;GEST12;Georgiana St 132kV;lne_ISLNG_GEORG2;132;0.04;0.2;2.95;805;913;2.800
357;London Power Networks (LPN);Littlebrook;;Dartford Grid A 33kV;DARA31;CRAY31;Crayford 33kV;lne_DARA_CRAY_1;33;2.91;2.17;0.51;600;600;2.970
359;London Power Networks (LPN);Littlebrook;;Dartford Grid A 33kV;DARA31;CRAY32;Crayford 33kV;lne_DARA_CRAY_3;33;2.91;2.16;0.51;600;600;1.000
371;London Power Networks (LPN);Littlebrook;LPN-S000000003752;Littlebrook 132kV GIS;LITB11;DART14;Dartford Grid 132kV;lne_LITB_DART_2;132;0.28;0.61;1.34;410;520;3.660
373;London Power Networks (LPN);Littlebrook;LPN-S000000003752;Littlebrook 132kV GIS;LITB11;WELT11;LPN 0025;lne_LITT_WELD_4;132;0.18;0.37;1.04;490;610;3.100
377;London Power Networks (LPN);Littlebrook;;LPN 0025;WELT12;DART13;Dartford Grid 132kV;lne_WELT_DART_1;132;0.03;0.07;0.28;450;580;0.600
384;London Power Networks (LPN);Lodge Road;LPN-S000000000319;Carnaby St 66 kV;CARN64;LODB6O;Lodge Rd B 66kV;lne_LODR_CARN_4;66;0.6;1.3;1.32;200;250;1.000
395;London Power Networks (LPN);Lodge Road;;Hyde Park Estate A 66kV;HYPA6B;LODB62;Lodge Rd B 66kV;lne_LODB_HYPA/HYPB2;66;0.47;0.57;1.91;290;370;2.910
401;London Power Networks (LPN);Lodge Road;LPN-S000000000353;Imperial College 22kV;IMPC84;MOSC81;Moscow Rd 22kV;lne_MOSC_IMPC_4;22;6.75;5.83;1.6;290;320;3.540
416;London Power Networks (LPN);Lodge Road;LPN-S000000003369;Moscow Rd 22kV;MOSC81;MOSC8C;Moscow Rd 22kV;lne_MOSC_MOSW_3;22;0.0;0.01;0.0;350;360;1.000
423;London Power Networks (LPN);Lodge Road;LPN-S000000003369;Moscow Rd 66kV;MOSD6A;MOSD61;Moscow Rd 66kV;lne_MOSC_MOSD_4;66;0.0;0.01;0.0;470;470;1.000
456;London Power Networks (LPN);New Cross 66kV;;Bengeworth Rd Grid 33kV;BENB33;BENB3G;Bengeworth Rd Grid 33kV;lne_BENB_BENR/CHAD3;33;0.0;0.1;0.0;490;520;1.000
461;London Power Networks (LPN);New Cross 66kV;LPN-S000000003909;Bengeworth Rd Grid 33kV;BENB31;BRXB34;Brixton B 33kV;lne_BENB_BRXB_4;33;1.65;1.89;0.0;270;300;1.000
466;London Power Networks (LPN);New Cross 66kV;LPN-S000000003912;Chadwick Road 33kV;CHAD31;NORX31;North Cross Rd 33kV;lne_CHAD_NORX_1;33;1.85;1.38;0.32;270;340;1.950
471;London Power Networks (LPN);New Cross 66kV;LPN-S000000003912;Chadwick Road 66kV;CHAD63;NEWX61;New Cross Sgrid 66kV;lne_CHAD_GRID3;66;0.56;0.66;2.5;1200;1200;4.270
491;London Power Networks (LPN);Redbridge;LPN-S000000003567;Perth Rd B 33kV;PERB3B;LEYB33;Ley St B 33kV;lne_PERB_LEYB_4;33;0.0;0.01;0.0;950;1020;1.000
516;London Power Networks (LPN);St Johns Wood;;Back Hill B 33kV;BACB33;BDGW31;LPN 0015;lne_BDGW_BACB;33;1.32;2.9;0.37;737;819;3.130
527;London Power Networks (LPN);St Johns Wood;LPN-S000000000328;Duke St B 11kV;DUST5E;DUST53;Duke St B 11kV;lne_DUST_T3B;11;0.0;0.01;0.0;;1155;1.000
536;London Power Networks (LPN);St Johns Wood;;Duke St B 132kV;DUST11;SJWB11;St Johns Wood B 132kV;lne_SJOW_DUST/LESQ_1;132;0.03;0.26;3.38;780;850;2.900
547;London Power Networks (LPN);St Johns Wood;LPN-S000000000330;Ebury Bridge 132kV;EBBR13;OBRD1A;Old Brompton Rd 132kV;lne_OBRD_EBBR_3;132;0.13;0.38;3.8;340;340;4.630
562;London Power Networks (LPN);St Johns Wood;LPN-S000000000359;Leicester Sq 11kV;LESQ5F;LESQ53;Leicester Sq 11kV;lne_LESQ_GRID3B;11;0.0;0.01;0.0;;1155;1.000
566;London Power Networks (LPN);St Johns Wood;LPN-S000000000256;Longford St B 132kV;LONG11;LONG1A;Longford St B 132kV;lne_LONG_GRID1;132;0.0;0.01;0.0;;96;1.000
567;London Power Networks (LPN);St Johns Wood;LPN-S000000000256;Longford St B 132kV;LONG12;LONG1B;Longford St B 132kV;lne_LONG_GRID2;132;0.0;0.01;0.0;;96;1.000
590;London Power Networks (LPN);St Johns Wood;;LPN 0064;FENN31;LMSE31;LPN 0057;lne_LMSE_FENN;33;0.04;0.08;0.01;737;819;0.090
598;London Power Networks (LPN);St Johns Wood;LPN-S000000000174;Old Brompton Rd 132kV;OBRD1C;SJOW1D;St Johns Wood 132kV;lne_SJOW_OBRD_2;132;0.12;0.31;16.75;580;630;6.260
625;London Power Networks (LPN);St Johns Wood;LPN-S000000003387;St Johns Wood B 132kV;SJWB12;AMBL11;Amberley Rd 132kV;lne_SJWB_AMBL_1;132;0.05;0.17;3.01;;770;2.500
626;London Power Networks (LPN);St Johns Wood;LPN-S000000003387;St Johns Wood B 132kV;SJWB11;AMBL12;Amberley Rd 132kV;lne_SJWB_AMBL_2;132;0.05;0.17;3.01;;770;2.500
643;London Power Networks (LPN);West Ham;LPN-S000000003620;Brunswick Wharf B 132kV;BRWB11;CORA11;LPN 0034;lne_BRWB_CORA;132;0.02;0.03;1.09;612;715;0.481
659;London Power Networks (LPN);West Ham;;LPN 0035;STEN81;STEN8A;LPN 0035;lne_STEN_GRID3DA;22;0.95;2.09;0.05;737;819;1.000
661;London Power Networks (LPN);West Ham;;LPN 0035;STEN81;STEN8C;LPN 0035;lne_STEN_GRID4DA;22;0.95;2.09;0.05;737;819;1.000
665;London Power Networks (LPN);West Ham;;LPN 0067;LLCR8A;LLCR81;LPN 0067;lne_LLCR_T1;22;0.02;0.04;0.0;737;819;0.018
673;London Power Networks (LPN);West Ham;;Silvertown B 11kV;SILB52;SILB5C;Silvertown B 11kV;Cable Tail_FT3B;11;0.54;0.94;0.0;1093;1235;0.128
678;London Power Networks (LPN);West Ham;;Silvertown B 11kV;SILB53;SILB5H;Silvertown B 11kV;lne_SILB_SILB_2;11;0.67;1.16;0.0;1093;1235;0.158
681;London Power Networks (LPN);West Ham;;Silvertown B 66kV;SILB61;WHAS61;West Ham 66kV;lne_WHAS_SILT_1;66;0.94;0.99;2.84;970;1020;5.025
684;London Power Networks (LPN);West Ham;LPN-S000000000684;Silvertown B 66kV;SILB64;WHAS61;West Ham 66kV;lne_WHAS_SILT_4;66;0.95;1.0;2.85;970;1020;5.045
688;London Power Networks (LPN);West Ham;LPN-S000000000683;Simpsons Road 132kV;SIMP12;BRWB11;Brunswick Wharf B 132kV;lne_BRUW_SIMP_2;132;0.08;0.14;0.96;340;340;1.720
692;London Power Networks (LPN);West Ham;;West Ferry Circus 11kV;WFCS53;WFCS5A;West Ferry Circus 11kV;lne_WFCS_GRID1A;11;0.0;0.01;0.0;2000;2000;1.000
700;London Power Networks (LPN);West Ham;LPN-S000000000639;West Ferry Circus 132kV;WFCS14;WHAG11;West Ham Sgrid 132kV;lne_WHSG_WFCS_3;132;0.09;0.27;2.69;350;350;3.520
710;London Power Networks (LPN);West Ham;LPN-S000000003698;West Ham Sgrid 132kV;WHAG11;WHAG1J;West Ham Sgrid 132kV;lne_WHSG_WH11_T2B;132;0.09;0.27;2.69;250;270;1.000
716;London Power Networks (LPN);Willesden 132kV;LPN-S000000000240;Gibbons Rd 11kV;GIBR5F;GIBR51;Gibbons Rd 11kV;lne_GIBR_GRID1B2;11;0.0;0.01;0.0;1200;1200;1.000
717;London Power Networks (LPN);Willesden 132kV;LPN-S000000000240;Gibbons Rd 11kV;GIBR52;GIBR5C;Gibbons Rd 11kV;lne_GIBR_GRID2A1;11;0.0;0.01;0.0;1200;1200;1.000
725;London Power Networks (LPN);Willesden 132kV;LPN-S000000003286;Leicester Rd 132kV;TAYL12;GIBR13;Gibbons Rd 132kV;lne_LEIR_GIBR_3;132;0.05;0.07;2.32;270;340;1.000
732;London Power Networks (LPN);Willesden 132kV;;LPN 0040 / LPN 0041;WIDB1B;WILB1A;LPN 0041;lne_WISD_WILB_GRID1A;132;0.02;0.02;0.59;1000;1000;1.000
745;London Power Networks (LPN);Willesden 132kV;;Willesden Grid 132kV;WISD12;WDLN12;Wood Lane 132kV;lne_WISD_WDLN_1;132;0.11;0.28;4.16;396;;4.045
753;London Power Networks (LPN);Willesden Grid 66 kV;LPN-S000000000109;Bulwer St 66kV;BULS61;WILS61;Willesden Grid 66kV;lne_WILS_BULS_4;66;0.97;1.73;2.13;160;170;1.000
755;London Power Networks (LPN);Willesden Grid 66 kV;LPN-S000000003369;Moscow Rd 66kV;MOSD64;TOWN61;Townmead Road Tee Point 66kV;lne_MOSD_TOWN_2;66;1.04;1.38;3.57;410;530;6.600
757;London Power Networks (LPN);Willesden Grid 66 kV;LPN-S000000000183;Townmead B 66kV;TOWB61;TOWM6B;Townmead B 66kV;lne_TOWM_GRID1/GRID3;66;0.01;0.01;0.01;471;538;0.050
760;London Power Networks (LPN);Willesden Grid 66 kV;LPN-S000000003297;Willesden Grid 66kV;WILS61;BULS63;Bulwer St 66kV;lne_WILS_BULS_3;66;1.14;1.65;2.81;160;170;1.000
775;London Power Networks (LPN);Wimbledon 1&2 132kV;;Bengeworth Rd Grid 33kV;BENB32;BENR3B;Bengeworth Rd Grid 33kV;lne_BENB_GRID1;33;0.0;0.01;0.0;;;1.000
788;London Power Networks (LPN);Wimbledon 1&2 132kV;;Kingston (SEEB) 132kV;KITO12;WIML12;Wimbledon Sec 1&2 132kV;lne_WM12_KITO_1;132;0.3;1.02;23.05;540;690;1.000
789;London Power Networks (LPN);Wimbledon 1&2 132kV;;LPN 0045;WIMD3C;WIMD31;LPN 0045;lne_WIMD_T1A;33;0.0;0.0;0.0;;1000;1.000
796;London Power Networks (LPN);Wimbledon 1&2 132kV;;LPN 0062;KIRT31;BENB31;Bengeworth Rd Grid 33kV;lne_BENB_KIRT_1;33;4.5;5.07;0.77;394;462;4.800
807;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001008;Barnes B 66kV;BNSB62;CARK62;Carslake Rd 66kV;lne_CART_BARN_4;66;0.99;0.86;2.15;1290;1370;1.000
809;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001014;Burlington Rd 33kV;BURL32;WIMC31;Wimbledon Grid C 33kV;lne_WIMC_BURL_2;33;6.2;4.59;1.1;840;910;6.560
816;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001017;Carslake Rd 66kV;CARK63;WANS62;Wandsworth 66kV;lne_CARK_FT1;66;0.36;0.32;0.78;970;1020;1.540
819;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001017;Carslake Rd 66kV;CARK62;WANS62;Wandsworth 66kV;lne_WANS_CARK_4;66;0.42;0.62;2.46;450;490;3.450
822;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001025;Dukes Ave 33kV;DKAV33;WIMC31;Wimbledon Grid C 33kV;lne_WIMC_DKAV_4;33;6.46;6.54;0.79;840;910;7.470
831;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001040;Lombard Rd B 66kV;LOMB61;WANS61;Wandsworth 66kV;lne_WANS_LOMR_1;66;0.69;0.54;1.53;900;1020;2.550
838;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001059;Merton 33kV;MERT32;WIMC32;Wimbledon Grid C 33kV;lne_WIMC_MERT_2;33;3.35;2.57;0.63;790;860;3.660
839;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001059;Merton 33kV;MERT33;WIMC32;Wimbledon Grid C 33kV;lne_WIMC_MERT_3;33;3.37;2.6;0.63;790;860;3.680
845;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000000365;Moreton Street 66kV;MORT63;WANS62;Wandsworth 66kV;lne_WANS_MORT_3;66;0.86;2.01;1.29;;131;1.000
858;London Power Networks (LPN);Wimbledon 3&4 132kV;;Wandsworth 132kV;WAND11;MORT12;Moreton Street 132kV;Lne_WAND_MORT_1;132;0.08;0.47;10.48;913;1089;6.000
875;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004097;Wimbledon Grid C 33kV;WIMC32;WIMC3A;Wimbledon Grid C 33kV;lne_WIMC_GRIDT1B_2;33;0.0;0.0;0.0;;1000;1.000
882;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004097;Wimbledon Grid C 33kV;WIMC32;WIMC32;Wimbledon Grid C 33kV;lne_WIMC_GRIDT4B;33;0.0;0.01;0.0;;;1.000
883;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004097;Wimbledon Grid C 33kV;WIMC32;WIMC3D;Wimbledon Grid C 33kV;lne_WIMC_GRIDT4B_1;33;0.0;0.0;0.0;;1000;1.000
890;South Eastern Power Networks (SPN);Beddington;;Addington 132kV;ADDI1B;ADDI1A;Addington 132kV;X541;132;0.21;0.53;0.12;460;570;2.320
891;South Eastern Power Networks (SPN);Beddington;SPN-S000000009901;Addington 132kV;ADDI12;ADDI1C;Addington 132kV;X542;132;0.22;0.55;0.12;460;570;2.413
927;South Eastern Power Networks (SPN);Beddington;SPN-S000000008346;Caterham 33kV;CRHM32;PURL31;Purley Grid 33kV;G7JG;33;4.98;7.22;0.94;604;671;7.860
951;South Eastern Power Networks (SPN);Beddington;SPN-S000000008441;Norbury 33kV;NORB32;CRYG32;Croydon Grid 33kV;G7M2;33;5.69;3.41;0.78;346;398;4.401
953;South Eastern Power Networks (SPN);Beddington;SPN-S000000008442;Nork 33kV;NORK32;SUTT31;Sutton Grid 33kV;G7JR;33;5.16;3.1;0.71;346;398;4.019
956;South Eastern Power Networks (SPN);Beddington;SPN-S000000009978;Prologis 11kV;PRLG5B;PRLG52;Prologis 11kV;X118;11;0.3;0.24;0.0;365;397;0.028
959;South Eastern Power Networks (SPN);Beddington;SPN-S000000009978;Prologis 132kV;PRLG12;BEDD11;Beddington 132kV;C7HD;132;0.12;0.12;1.29;471;538;1.665
960;South Eastern Power Networks (SPN);Beddington;SPN-S000000009141;Purley Grid 33kV;PURL31;COUL31;Coulsdon 33kV;G7JE;33;4.17;3.92;0.48;396;440;4.057
964;South Eastern Power Networks (SPN);Beddington;;Purley Grid 33kV;PURL30;ADDI31;Addington Grid 33kV;X375;33;1.56;6.05;0.0;864;960;7.400
965;South Eastern Power Networks (SPN);Beddington;SPN-S000000008341;Purley Local 33kV;PULO31;PURL31;Purley Grid 33kV;G7KI;33;0.06;0.08;0.01;391;435;0.077
967;South Eastern Power Networks (SPN);Beddington;SPN-S000000008341;Purley Local 33kV;PULO32;PURL31;Purley Grid 33kV;G7KK;33;0.02;0.02;0.01;391;435;0.041
970;South Eastern Power Networks (SPN);Beddington;SPN-S000000008481;Selsdon 33kV;SELS31;ADDI31;Addington Grid 33kV;G7OC;33;2.26;2.08;0.26;391;435;2.152
979;South Eastern Power Networks (SPN);Beddington;SPN-S000000008477;St Helier 33kV;HELI32;SUTT31;Sutton Grid 33kV;G7JP;33;3.79;2.28;0.52;346;398;2.940
980;South Eastern Power Networks (SPN);Beddington;SPN-S000000008347;Sutton A 11kV;SUTA52;SUTB51;Sutton B 11kV;G6JU;11;0.13;0.28;0.0;1200;1337;1.000
992;South Eastern Power Networks (SPN);Beddington;SPN-S000000008513;West Wickham 33kV;WWIC31;ADDI31;Addington Grid 33kV;G7O7;33;5.31;4.8;0.51;346;398;4.543
1018;South Eastern Power Networks (SPN);Bolney;SPN-S000000008307;Brighton Town 33kV;BTWN31;BRTL31;Brighton Local 33kV;G7KX;33;0.03;0.03;0.0;531;588;0.033
1036;South Eastern Power Networks (SPN);Bolney;SPN-S000000008384;Crawley Industrial West 33kV;CINW31;THRB31;Three Bridges Local 33kV;G7ML;33;2.56;2.41;0.31;356;411;2.527
1039;South Eastern Power Networks (SPN);Bolney;SPN-S000000008385;Crawley Town 33kV;CTWN32;THRB31;Three Bridges Local 33kV;G7VW;33;0.1;0.13;0.0;480;530;0.112
1043;South Eastern Power Networks (SPN);Bolney;;DNO-UKPN;SASH3A;ASHI31;Ashington 33kV;X561;33;12.75;20.0;0.37;284;355;7.545
1045;South Eastern Power Networks (SPN);Bolney;;DNO-UKPN;PWBR1A;PWBR1B;DNO-UKPN;X623;132;0.03;0.15;3.43;917;1050;2.020
1052;South Eastern Power Networks (SPN);Bolney;SPN-S000000009119;Fishersgate Grid 33kV;FISH31;DROV32;The Droveway 33kV;G7ZO;33;3.0;4.49;0.58;604;671;4.888
1065;South Eastern Power Networks (SPN);Bolney;;Goddards Green Grid  132kV;BOGG1B;GODG12;Goddards Green Grid  132kV;C7HM;132;0.34;1.1;0.38;920;1140;6.474
1078;South Eastern Power Networks (SPN);Bolney;;Haywards Heath 33kV;HAYW3A;HAYW31;Haywards Heath 33kV;G7QA;33;3.84;2.53;0.0;292;325;2.216
1082;South Eastern Power Networks (SPN);Bolney;SPN-S000000008419;Horley 33kV;HORL32;SMAL31;Smallfield Grid 33kV;G7Q7;33;4.08;2.44;0.56;346;398;3.151
1104;South Eastern Power Networks (SPN);Bolney;SPN-S000000009930;Lewes 132kV;LEWE11;NEWH12;Newhaven Grid 132kV;C7HU;132;1.13;2.2;0.43;460;570;12.891
1107;South Eastern Power Networks (SPN);Bolney;SPN-S000000008431;Littlehampton 33kV;LTHA33;ANGM3A;Angmering 33kV;G7NN;33;8.56;5.21;0.48;428;475;4.972
1112;South Eastern Power Networks (SPN);Bolney;SPN-S000000009934;Moulsecoomb Grid 33kV;MOUL31;BRTL31;Brighton Local 33kV;J750-3;33;4.21;2.66;0.62;240;322;3.441
1139;South Eastern Power Networks (SPN);Bolney;SPN-S000000008472;Rottingdean 33kV;ROTT33;PEAC31;Peacehaven 33kV;G6KP;33;4.48;4.52;0.67;356;411;4.876
1141;South Eastern Power Networks (SPN);Bolney;SPN-S000000008472;Rottingdean 33kV;ROTT32;MOUL31;Moulsecoomb Grid 33kV;G7KP;33;7.03;6.75;0.79;369;410;6.774
1149;South Eastern Power Networks (SPN);Bolney;SPN-S000000008488;South Hove  33kV;SHOV32;BRTL32;Brighton Local 33kV;G7KD;33;3.2;3.47;0.49;356;411;3.748
1153;South Eastern Power Networks (SPN);Bolney;SPN-S000000009960;Southern Cross 132kV;SERX11;FISH11;Fishersgate 132kV;C79C;132;0.02;0.07;1.09;612;685;1.000
1155;South Eastern Power Networks (SPN);Bolney;SPN-S000000009960;Southern Cross 132kV;SERX11;MOUL11;Moulsecoomb 132kV;C7HS;132;0.26;0.72;8.64;691;796;9.448
1188;South Eastern Power Networks (SPN);Bolney;SPN-S000000009950;Three Bridges Main 132kV;THRB11;TBDM1A;DNO-UKPN;C754;132;1.85;4.82;0.99;495;587;20.428
1189;South Eastern Power Networks (SPN);Bolney;SPN-S000000009950;Three Bridges Main 132kV;THRB11;THRB11;Three Bridges Main 132kV;X473;132;0.0;0.0;0.09;856;991;0.060
1200;South Eastern Power Networks (SPN);Bolney;;Withdean 33kV;WITH32;FISH31;Fishersgate Grid 33kV;G7K8;33;10.01;6.03;1.35;338;375;7.749
1215;South Eastern Power Networks (SPN);Canterbury;;Betteshanger Grid 33kV;BETT30;GOOD3D;Goodnestone Zone 33kV;G6X3;33;11.53;22.18;0.07;345;431;6.965
1239;South Eastern Power Networks (SPN);Canterbury;SPN-S000000009110;Canterbury South 33kV;CANT3B;CANT31;Canterbury South 33kV;R2B;33;0.02;33.35;0.0;525;525;Series Reactor
1243;South Eastern Power Networks (SPN);Canterbury;;Chartham 33kV;CHRT3A;CANT31;Canterbury South 33kV;G7X6;33;10.89;17.19;0.5;345;411;8.065
1293;South Eastern Power Networks (SPN);Canterbury;SPN-S000000008644;Shepway 33kV;SHEP31;MAST3C;Maidstone Grid 33kV;X666;33;3.54;3.26;0.41;329;377;3.382
1310;South Eastern Power Networks (SPN);Canterbury;SPN-R000000911014-000-050Z;Woodlands Farm Zone 33kV;WDFZ31;CALC31;SPN 0062;X384;33;4.03;3.31;0.29;409;451;3.223
1314;South Eastern Power Networks (SPN);Canterbury;;Worms Hills 132kV;WORM12;CGWH1A;DNO-UKPN;C76F;132;3.16;8.04;1.72;555;645;34.831
1336;South Eastern Power Networks (SPN);Chessington;SPN-S000000009926;Kingston 132kV;KITO12;WIMB12;Wimbledon (LPN);C709;132;0.37;1.15;22.51;;595;1.000
