id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
2474;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;KENN3A;BSUG31;EPN 0022;KENNT_BSUG_1;33;8.64;31.63;0.19;546;679;11.460
2480;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;PARS3A;SEVE32;Severalls Ln Primary 33kV;PARST_SEVE_2;33;3.88;7.37;0.62;371;463;5.030
2481;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;MSHM3C;MSHM3B;DNO-UKPN;MSHMT_MSHM_2;33;1.02;1.16;0.24;408;480;1.347
2503;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;HASU3F;TATT3A;DNO-UKPN;HASUT_TATTT_2_(2);33;23.57;30.93;0.1;237;296;9.437
2506;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;CLTN3A;ORCH3A;Chisbon Heath Primary 33kV;OLDRT_CHIST_1;33;7.7;11.82;0.01;253;311;3.015
2512;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;FELI3C;CLQU30;Cliff Quay Grid 33kV;CLQU_FELI_2_1;33;12.11;31.01;0.76;408;508;13.710
2519;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;BRAM1C;STOW1A;Stowmarket Grid 132kV;BRAM_STOW_2_(3);132;0.72;2.76;0.62;546;679;12.206
2542;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;CLTN3A;CLTN31;Clacton Grid 33kV;CLTN_OLDRT_1;33;2.07;4.17;0.41;589;670;4.190
2547;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;VBRF3A;VBRF3B;DNO-UKPN;FRINT_VALL_2_(2);33;0.31;0.73;0.0;408;508;0.243
2550;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;BRAM1D;BRAM11;Bramford Grid 132kV;BRAM_STOW_1_1-1;132;0.04;0.07;2.69;612;715;1.181
2561;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;FALN3B;BTHM31;Brantham Primary 33kV;Line(254);33;0.25;0.3;0.04;364;421;0.317
2563;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;PEAS3B;LEIS31;Leiston Primary 33kV;LEIST_LEIS_3;33;17.14;38.05;0.14;249;284;13.295
2578;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;MSHM3A;MSHM32;Martlesham Primary 33kV;MSHMT_MSHM_4;33;6.84;16.19;0.24;408;480;6.110
2583;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;WIXP3A;BHSF3A;DNO-UKPN;WIXP_DOVE_11;33;0.08;0.21;0.0;408;508;0.062
2586;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;HASU3A;STOW3D;DNO-UKPN;HASUT_STOW_1;33;30.8;40.45;0.12;237;296;12.253
2590;Eastern Power Networks (EPN);Bramford;;DNO-UKPN;ORCH3B;CHIS3B;Chisbon Heath Primary 33kV;OLDRT_CHIST_2_(1);33;1.86;2.85;0.0;253;311;0.727
2599;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1061;Drinkstone Primary 33kV;DRIN32;DRIN3A;DNO-UKPN;DRINT_DRIN_1;33;4.4;6.76;0.01;253;311;1.724
2609;Eastern Power Networks (EPN);Bramford;;EPN 0033;SHSF31;SHSF3A;DNO-UKPN;lne_MSHM_SHSF_2;33;0.04;0.03;0.0;403;445;0.033
