date;units_entering_sf;units_entering_r1;units_entering_r2;units_entering_r3;units_entering_rf;units_entering_regulatory_reporting;units_exiting_sf;units_exiting_r1;units_exiting_r2;units_exiting_r3;units_exiting_rf;units_exiting_regulatory_reporting;loss_sf;loss_r1;loss_r2;loss_r3;loss_rf;loss_regulatory_reporting;loss_sf0;loss_r10;loss_r20;loss_r30;loss_rf0;loss_regulatory_reporting0;dno
2022-08;2410.8112152913;2411.3014068913;2413.3623491913004;2415.1081590913;2412.7154445912997;2415.1081590913;2306.7674603443024;2295.8814703323897;2283.909107469628;2302.2521106981826;2268.449622685738;2302.2521106981826;104.04375494699752;115.4199365589102;129.45324172167238;112.85604839311736;144.26582190556155;112.85604839311736;4.510370322783563;5.027260250599962;5.668055760112769;4.901984794310496;6.359666111286949;4.901984794310496;EPN
2022-10;2031.6964108;2032.2772527999998;2035.2856942000003;2035.8708351;2035.7798038999997;2035.2856942000003;1974.1743800868944;1949.8846753249586;1933.6631558249614;1923.7179443694224;1918.463621336171;1933.6631558249614;57.52203071310555;82.39257747504121;101.62253837503886;112.15289073057761;117.31618256382876;101.62253837503886;2.91372592478754;4.225510283643316;5.255441624820301;5.830006995507874;6.115111136802294;5.255441624820301;LPN
2023-03;2311.2224419000004;2311.2622356;2312.9984056000003;2311.0349627999994;0.0;2311.2224419000004;2181.68776121997;2166.924944098793;2155.620166009252;2150.9473951677446;0.0;2181.68776121997;129.5346806800303;144.33729150120735;157.3782395907483;160.08756763225483;0.0;129.5346806800303;5.937361110170792;6.66092713059963;7.300833517535057;7.442653780929412;0.0;5.937361110170792;LPN
2022-07;2440.2547749588;2441.4882871587997;2441.3214488588;2444.0256109588004;2444.7841379588;2444.0256109588004;2293.581446781126;2297.7183688700134;2291.0397930142717;2281.131539866748;2273.301024064686;2281.131539866748;146.6733281776742;143.76991828878636;150.28165584452836;162.8940710920524;171.483113894114;162.8940710920524;6.394947447081921;6.257073113772879;6.5595393106117115;7.140932832903088;7.5433526875160775;7.140932832903088;EPN
2023-03;2995.905847457599;2996.7303478576;3000.0291513575994;2992.5959809575997;0.0;2991.1304384575988;2863.4023122724175;2801.2185753232484;2782.513463723242;2779.9357290817225;0.0;2855.0870222724184;132.5035351851816;195.51177253435162;217.51568763435762;212.6602518758773;0.0;136.04341618518038;4.627485792592862;6.9795257769840555;7.817237561298372;7.649826204655599;0.0;4.764948147776624;EPN
2022-04;2000.776528;2000.7625659999994;2038.8388982000001;2038.8489921999999;2038.8110451999999;2038.8489921999999;1908.3344805266759;1903.102284526675;1895.210450977534;1889.2135409125156;1883.2163842137313;1889.2135409125156;92.44204747332424;97.6602814733244;143.6284472224661;149.63545128748433;155.59466098626854;149.63545128748433;4.844121846386773;5.1316359749740785;7.578495947422816;7.920515497428014;8.262176470561638;7.920515497428014;LPN
2023-02;1582.6798207328004;1582.7436567328;1583.5756084328;1583.1728287328;0.0;1580.3966487328003;1512.764523867674;1493.2604218676736;1475.9389906659076;1466.989245765907;0.0;1491.257046867674;69.91529686512649;89.4832348651264;107.63661776689241;116.18358296689303;0.0;89.13960186512622;4.621690670427316;5.992473486520628;7.292755218718723;7.919866031889976;0.0;5.977480679964624;SPN
2022-12;3194.9643271062;3195.0778561061998;3199.0038988062006;3199.2663133062006;0.0;3196.4862588062006;3014.773827836199;2969.1547728362;2975.0629091566166;2925.6821435520123;0.0;2975.060859156617;180.19049927000106;225.92308326999955;223.94098964958403;273.5841697541882;0.0;221.4253996495836;5.976915999676487;7.609003253615944;7.527269052373342;9.351124159442527;0.0;7.442718321814573;EPN
2023-01;3211.9328550145015;3215.365851014501;3215.4254189145;3215.113168414501;0.0;3206.5945999999994;2999.9109925275234;2999.672903283216;2938.8295635702;2924.45580107019;0.0;2992.2019932832163;212.02186248697808;215.69294773128513;276.5958553442997;290.6573673443113;0.0;214.39260671678312;7.067605106121588;7.190548926024697;9.411769187740193;9.938853144504584;0.0;7.165044579144178;EPN
2022-05;2000.1840140000002;2000.185272;2000.8767372999994;2000.8112183000003;2001.0309003000002;2000.8112183000003;1907.3662189188954;1900.641657918895;1894.452886651149;1888.6213132528442;1883.2856025845617;1888.6213132528442;92.8177950811048;99.54361408110503;106.42385064885048;112.18990504715612;117.74529771543848;112.18990504715612;4.866280746741671;5.2373688467977795;5.617656231978269;5.940307051492879;6.252121162815058;5.940307051492879;LPN
2022-07;2054.7121811999996;2054.7233862;2054.7292452;2055.1097968999998;2055.1623845;2055.1097968999998;1917.3913275012355;1918.8556045884977;1913.913979988498;1908.9595572180438;1903.131806940871;1908.9595572180438;137.32085369876404;135.8677816115021;140.81526521150204;146.150239681956;152.03057755912891;146.150239681956;7.161858496445898;7.080667314758121;7.357450056995157;7.656015504851397;7.988441841214648;7.656015504851397;LPN
