file_path,dno_name,mpan_code,year,band,sheet_name,min_rate,max_rate,mean_rate,median_rate,count
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,GREEN,Annex 1 LV and HV charges_C,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,RED,Annex 1 LV and HV charges_D,,,,0.0,23
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,AMBER,Annex 1 LV and HV charges_D,,,,,6
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,GREEN,Annex 1 LV and HV charges_D,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,RED,Annex 1 LV and HV charges_E,,,,0.0,24
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,AMBER,Annex 1 LV and HV charges_E,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,GREEN,Annex 1 LV and HV charges_E,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,RED,Annex 1 LV and HV charges_F,,,,,21
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,AMBER,Annex 1 LV and HV charges_F,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,GREEN,Annex 1 LV and HV charges_F,,,,,7
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,RED,Annex 1 LV and HV charges_G,,,,,21
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,AMBER,Annex 1 LV and HV charges_G,,,,,6
dno_data_enhanced/sepd-schedule-of-charges-and-other-tables-embedded-networks-april-2020_v1.1.xlsx,SSEN Southern,20,2020,GREEN,Annex 1 LV and HV charges_G,,,,,7
