Band,Min_Rate_Min,Min_Rate_Avg,Max_Rate_Max,Max_Rate_Avg,Avg_Mean_Rate,Avg_Median_Rate,Total_Count
AMBER,0.0003252766742631,1.6834523953561797,47.63809861263129,4.816964693219944,2.6251388956333006,2.189595069420555,11712
GREEN,1.60713650644582e-06,0.8560132246006105,47.265692178112126,7.950514053993204,3.551896296059219,1.9978153943064443,31522
RED,0.001,0.6819485039345596,47.38413652681814,5.796317089806262,2.4265060281888253,1.596993664298784,22927
