file_path,dno_name,mpan_code,year,band,min_rate,max_rate,mean_rate,median_rate,count
"duos_expanded_data/sp_distribution_2021_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2021,GREEN,-0.631,2.342,0.5853421052631578,0.1805,38
"duos_expanded_data/sp_distribution_2024_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2024,GREEN,-2.118,5.814,0.710609375,0.7865000000000001,64
"duos_expanded_data/uk_power_networks_eastern_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2021,GREEN,-0.368,1.789,0.3232894736842105,0.10049999999999999,38
"duos_expanded_data/uk_power_networks_london_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN London,11,2021,GREEN,-0.767,1.944,0.014605263157894743,0.0,38
"duos_extracted_data/electricity_north_west_2021_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2021,GREEN,-1.089,3.604,0.45518421052631586,0.452,38
"duos_extracted_data/electricity_north_west_2023_annex_1_lv,_hv_and_ums_charges.csv",Unknown,,2023,GREEN,-1.546,4.926,0.52653125,0.5755,64
duos_extracted_data/uk_power_networks_eastern_2017_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2017,GREEN,-0.09,0.653,0.028333333333333335,0.0,54
duos_extracted_data/uk_power_networks_eastern_2018_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2018,GREEN,-0.136,0.748,0.10571078431372549,0.095,29
duos_extracted_data/uk_power_networks_eastern_2019_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2019,GREEN,-0.206,0.944,0.1210343137254902,0.10625000000000001,29
duos_extracted_data/uk_power_networks_eastern_2020_annex_1_lv_and_hv_charges.csv,UKPN Eastern,10,2020,GREEN,-0.259,1.125,0.11482598039215686,0.09,29
"duos_extracted_data/uk_power_networks_eastern_2021_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2021,GREEN,-0.329,1.326,0.15873684210526315,0.1065,38
"duos_extracted_data/uk_power_networks_eastern_2022_annex_1_lv,_hv_and_ums_charges.csv",UKPN Eastern,10,2022,GREEN,-0.396,1.512,0.15896875,0.1445,64
"duos_spm_data/sp_distribution_2021_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2021,GREEN,-1.211,3.592,0.7934999999999999,0.5215,38
"duos_spm_data/sp_distribution_2024_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2024,GREEN,-2.118,5.814,0.710609375,0.7865000000000001,64
"duos_spm_data/sp_distribution_2025_annex_1_lv,_hv_and_ums_charges.csv",SP Manweb,13,2025,GREEN,-2.667,6.091,0.87228125,0.911,64
