DNO_Name,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
Electricity North West,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.978,1.173,1.0088114285714285,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.16,7.39,1.9291666666666665,1.55,G,North West,12,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.31,2.3256666666666663,2.205,G,North West,15,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.08,1.5710000000000002,1.417,G,North West,15,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.978,1.173,1.0079942857142856,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.16,10.49,4.070833333333334,3.18,G,North West,36,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,G,North West,167,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.686,3.31,2.14,2.536,G,North West,19,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.441,2.08,1.513421052631579,1.63,G,North West,19,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.978,1.173,1.0093657142857142,1.0,G,North West,175,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.74,10.48,3.2555555555555555,2.6,G,North West,18,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,G,North West,59,p/kWh,dno_data_enhanced/enwl-schedule-of-charges-and-other-table--april-2018.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.29,2.415,2.146,C,London,18,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.81,1.8676666666666668,1.431,C,London,15,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.7950607253895671,0.7950607253895671,0.7950607253895671,0.7950607253895671,C,London,1,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,C,London,167,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.31,2.029318181818182,1.957,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.26,1.6263333333333334,1.367,C,London,15,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,C,London,167,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.05,4.29,2.6609090909090907,2.368,C,London,22,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.7,2.81,1.7602631578947368,1.579,C,London,19,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,C,London,59,p/kWh,dno_data_enhanced/MIDE-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.807,3.31,2.205,2.185,C,London,22,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.564,2.26,1.5657894736842106,1.526,C,London,19,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,C,London,59,p/kWh,dno_data_enhanced/EMEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.58,3.011,2.737,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.03,2.093,1.843,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.476,4.58,2.8123684210526316,3.031,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.994,3.03,2.0171052631578945,2.041,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0728952476373683,2.6198225798150037,1.669399517513293,1.692607640325853,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,5.25,3.2653333333333334,2.696,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.24,2.1263333333333336,1.691,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,L,South Western,167,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.434,5.25,2.978684210526316,3.035,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.9,3.24,2.011578947368421,1.904,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.1674169368513344,10.95467295251628,4.626226439374301,1.192966115045596,L,South Western,5,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,L,South Western,59,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2018-SOLR3.xlsx
