DNO_Name,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.123,18.91,6.813391304347826,1.55,C,London,23,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.084,13.15,4.716913043478261,1.06,C,London,23,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",4.95069574636514,5.238643687289392,5.094669716827266,5.238643687289392,C,London,2,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",6.87,6.87,6.87,6.87,C,London,1,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.155,24.98,8.284,1.152,C,London,23,p/kWh,dno_data_enhanced/MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.101,16.42,5.42904347826087,0.747,C,London,23,p/kWh,dno_data_enhanced/MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.123,11.0,4.143055555555556,1.55,C,London,18,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.084,4.545,1.8963333333333336,1.06,C,London,15,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),3.044339517870155,3.044339517870155,3.044339517870155,3.044339517870155,C,London,1,p/kWh,dno_data_enhanced/Copy of EMEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.155,34.0,7.8525,1.152,C,London,18,p/kWh,dno_data_enhanced/MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,RED,16:00-19:00 (weekdays) (default),0.101,4.252,1.7,0.747,C,London,15,p/kWh,dno_data_enhanced/MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.133,25.32,9.521826086956525,1.124,K,South Wales,23,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.087,16.78,6.282000000000001,0.734,K,South Wales,23,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",33.29,33.29,33.29,33.29,K,South Wales,1,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.133,11.908,4.388333333333334,1.124,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.087,7.776,2.865666666666667,0.734,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.1379197315804305,6.323312449266765,1.8291178959533363,0.4631034640649668,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.054,29.42,11.183347826086957,0.758,L,South Western,23,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.033,18.29,6.909565217391304,0.462,L,South Western,23,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.054,15.165,5.325666666666666,0.758,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.033,9.242,3.2456666666666667,0.462,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.1559477559424647,16.26750579028373,7.518440865738714,5.511622417402568,L,South Western,5,p/kWh,dno_data_enhanced/SWEB-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,M,Yorkshire,6,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.2104736524875005,1.0,0.4374978197947136,0.2382600734485183,M,Yorkshire,11,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.7272172906791761,1.0,0.9143673220204968,0.9797787071975472,M,Yorkshire,24,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.001,1.004,0.2782968901046913,0.1197582034553575,M,Yorkshire,11,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.002,1.0,0.3158620689655173,0.002,M,Yorkshire,29,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",20.0,33.3,25.855208060030435,24.265624180091308,M,Yorkshire,3,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0133845309928688,33.3,7.941576127783464,0.6294050991501415,M,Yorkshire,7,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0413701832,33.143241726016555,3.843688734233443,1.3719750170526188,M,Yorkshire,31,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.1152775223512956,31.749633573807003,13.140712249559009,6.390425774469485,M,Yorkshire,33,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.501,32.06239647825926,11.668469726566594,4.694905173188366,M,Yorkshire,17,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.0080067749634311,4.0452569031158125,0.8839285599984987,0.0213882457030804,M,Yorkshire,11,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",20.0,33.3,25.855208060030435,24.265624180091308,M,Yorkshire,3,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.948,1.202,1.0172222222222222,1.007,M,Yorkshire,108,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 Schedule of charges and other tables v0.2.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.571161885065,0.733590597309,0.652376241187,0.733590597309,M,Yorkshire,2,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 Schedule of charges and other tables v0.2.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,M,Yorkshire,5,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.1203930099511558,1.0,0.5112952871131152,0.4062545615765401,M,Yorkshire,12,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.3149188922624901,1.0,0.7620676471083542,0.7860578800885369,M,Yorkshire,23,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 PCDM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.002,1.006,0.2807274393039859,0.1342148716879077,M,Yorkshire,10,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.031,0.087,0.045,0.031,M,Yorkshire,20,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",8.44326761426494,8.44326761426494,8.44326761426494,8.44326761426494,M,Yorkshire,1,p/kWh,dno_data_enhanced/Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.8725212464589235,33.3,21.499686350684563,31.826224156279338,M,Yorkshire,4,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.0149399155569989,33.3,7.94787217458142,0.6494617563739377,M,Yorkshire,7,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.0409301584,2.110642632709192,1.190274948414462,1.296515960730474,M,Yorkshire,10,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,33.53951475260717,14.421528427824567,8.900618096556766,M,Yorkshire,33,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
Northern Powergrid (North East),23,NPg-Y,Y,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.501,33.55278688259744,11.89983280723789,4.914012473226162,M,Yorkshire,17,p/kWh,dno_data_enhanced/ED2 PCFM NPgN 20241223.xlsx
