Jan-Mar 2022 RIMNET mobile monitors summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
RNLI Workington  ,µGy/h  ,0.004944,0.12,0.13,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.004652,0.10,0.12,0.09
Scottish LH Kinnaird Head  ,µGy/h  ,0.005215,0.16,0.18,0.14
Scottish LH North Ronaldsay  ,µGy/h  ,0.005248,0.11,0.13,0.10
Scottish LH Scurdie Ness  ,µGy/h  ,0.005037,0.12,0.14,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.005275,0.11,0.13,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.005068,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004791,0.13,0.15,0.11
Somerset Combwich  ,µGy/h  ,0.004785,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.004744,0.11,0.14,0.10
Somerset Nether Stowey School  ,µGy/h  ,0.004764,0.11,0.13,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.005109,0.10,0.12,0.08
Suffolk Aldeburgh  ,µGy/h  ,0.003799,0.11,0.12,0.10
Suffolk Dunwich  ,µGy/h  ,0.00448,0.10,0.11,0.09
Suffolk Knodishall  ,µGy/h  ,0.009005,0.09,0.12,0.07
Suffolk Leiston 01  ,µGy/h  ,0.005069,0.09,0.10,0.08
Suffolk Leiston 02  ,µGy/h  ,0.004964,0.10,0.13,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005052,0.09,0.11,0.08
Suffolk Theberton  ,µGy/h  ,0.004646,0.09,0.10,0.08
Suffolk Westleton  ,µGy/h  ,0.003555,0.10,0.11,0.09
Trinity House Dungeness  ,µGy/h  ,0.004843,0.12,0.15,0.11
Trinity House Harwich  ,µGy/h  ,0.004709,0.09,0.11,0.07
Trinity House St Bees Head  ,µGy/h  ,0.00495,0.11,0.14,0.09
