Location,Units,Standard Deviation,Avg,Max,Min
Scottish LH Duncansby Head  ,µGy/h  ,0.004191,0.10,0.12,0.09
Scottish LH Kinnaird Head  ,µGy/h  ,0.005173,0.16,0.17,0.14
Scottish LH North Ronaldsay  ,µGy/h  ,0.004976,0.11,0.13,0.10
Scottish LH Scurdie Ness  ,µGy/h  ,0.00519,0.12,0.14,0.11
Scottish LH Tarbat Ness  ,µGy/h  ,0.00507,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.00455,0.13,0.15,0.12
Somerset Combwich  ,µGy/h  ,0.004829,0.09,0.12,0.08
Somerset Kilve  ,µGy/h  ,0.00508,0.11,0.14,0.10
Somerset Nether Stowey School  ,µGy/h  ,0.004842,0.11,0.13,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.004732,0.10,0.12,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.004117,0.11,0.12,0.10
Suffolk Dunwich  ,µGy/h  ,0.005066,0.10,0.12,0.08
Suffolk Knodishall  ,µGy/h  ,0.003718,0.09,0.11,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004554,0.09,0.11,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005023,0.10,0.13,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005869,0.09,0.44,0.08
Suffolk Theberton  ,µGy/h  ,0.004412,0.09,0.11,0.08
Suffolk Westleton  ,µGy/h  ,0.004269,0.10,0.11,0.09
Trinity House Dungeness  ,µGy/h  ,0.004576,0.12,0.15,0.11
Trinity House Harwich  ,µGy/h  ,0.004565,0.09,0.10,0.08
Trinity House St Bees Head  ,µGy/h  ,0.004323,0.11,0.13,0.10
