reading_date,latitude,longitude,reading,site_normal,units,,RREMS Fixed Monitor Site Quarterly Data,,Nov-22
30/11/2022 23:30,55.18118,-6.1536963,0.08,0.1,µGy/h,,Note: RREMS replaced RIMNET 11 September 2022,,
30/11/2022 23:30,52.933555,1.2908555,0.08,0.09,µGy/h,,Note: Site names based on geographic locations will be added to Lat/Long as RREMS develops,,
30/11/2022 23:30,57.541699,-4.0623387,0.13,0.14,µGy/h,,,,
30/11/2022 23:30,56.71762,-3.7784253,0.11,0.11,µGy/h,,,,
30/11/2022 23:30,52.652244,0.5671445,0.09,0.09,µGy/h,,,,
30/11/2022 23:30,57.712429,-3.3216982,0.11,0.11,µGy/h,,,,
30/11/2022 23:30,51.239472,-0.9449283,0.09,0.09,µGy/h,,,,
30/11/2022 23:29,56.327483,-3.7262724,0.11,0.11,µGy/h,,,,
30/11/2022 23:29,56.852206,-2.2647776,0.11,0.11,µGy/h,,,,
30/11/2022 23:29,51.70911,-5.0474661,0.12,0.13,µGy/h,,,,
30/11/2022 23:29,57.943456,-4.4114489,0.13,0.13,µGy/h,,,,
30/11/2022 23:29,53.872491,-0.4311218,0.1,0.11,µGy/h,,,,
30/11/2022 23:29,50.575772,-1.2973554,0.11,0.11,µGy/h,,,,
30/11/2022 23:29,55.951201,-3.3475377,0.1,0.1,µGy/h,,,,
30/11/2022 23:29,52.480069,-1.6900131,0.09,0.1,µGy/h,,,,
30/11/2022 23:29,54.236245,-6.5029419,0.1,0.11,µGy/h,,,,
30/11/2022 23:29,50.43948,-4.9961033,0.12,0.13,µGy/h,,,,
30/11/2022 23:29,57.475613,-7.3699249,0.09,0.09,µGy/h,,,,
30/11/2022 23:29,52.241677,-2.8764725,0.12,0.12,µGy/h,,,,
30/11/2022 23:29,54.85926,-4.9329108,0.1,0.1,µGy/h,,,,
30/11/2022 23:29,54.08583,-4.631849,0.11,0.11,µGy/h,,,,
30/11/2022 23:29,54.357524,-7.5930994,0.1,0.11,µGy/h,,,,
30/11/2022 23:29,54.572264,-2.4121935,0.11,0.11,µGy/h,,,,
30/11/2022 23:29,52.105478,-0.4237885,0.1,0.11,µGy/h,,,,
30/11/2022 23:29,51.152025,-0.191962,0.09,0.1,µGy/h,,,,
30/11/2022 23:29,51.134364,1.3440863,0.08,0.09,µGy/h,,,,
30/11/2022 23:29,53.005805,-1.2511082,0.11,0.11,µGy/h,,,,
