October to December 2021 RIMNET Mobile Monitor Summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
Scottish LH North Ronaldsay  ,µGy/h  ,0.005421,0.12,0.14,0.10
Scottish LH Scurdie Ness  ,µGy/h  ,0.005235,0.13,0.15,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.005305,0.11,0.13,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.004879,0.09,0.11,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004777,0.13,0.15,0.11
Somerset Combwich  ,µGy/h  ,0.005045,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.005074,0.11,0.14,0.10
Somerset Nether Stowey School  ,µGy/h  ,0.005094,0.11,0.14,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.005289,0.10,0.34,0.08
Suffolk Aldeburgh  ,µGy/h  ,0.004735,0.11,0.14,0.09
Suffolk Dunwich  ,µGy/h  ,0.00518,0.10,0.13,0.08
Suffolk Knodishall  ,µGy/h  ,0.004677,0.09,0.13,0.08
Suffolk Leiston 01  ,µGy/h  ,0.005038,0.09,0.12,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005467,0.10,0.14,0.09
Suffolk Leiston 03  ,µGy/h  ,0.008735,0.10,0.88,0.08
Suffolk Theberton  ,µGy/h  ,0.004129,0.09,0.12,0.08
Suffolk Westleton  ,µGy/h  ,0.005123,0.09,0.12,0.08
Trinity House Dungeness  ,µGy/h  ,0.005425,0.12,0.16,0.11
Trinity House Harwich  ,µGy/h  ,0.004945,0.09,0.13,0.07
Trinity House St Bees Head  ,µGy/h  ,0.00522,0.11,0.15,0.10
