Location,Units,Standard Deviation,Avg,Max,Min
Scottish LH Duncansby Head  ,µGy/h  ,0.005094,0.09,0.11,0.08
Scottish LH North Ronaldsay  ,µGy/h  ,0.004694,0.11,0.13,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005242,0.13,0.14,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.005133,0.10,0.13,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.004806,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004452,0.13,0.15,0.11
Somerset Combwich  ,µGy/h  ,0.004852,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.005054,0.11,0.13,0.10
Somerset Nether Stowey School  ,µGy/h  ,0.004722,0.11,0.13,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.00445,0.10,0.11,0.08
Suffolk Aldeburgh  ,µGy/h  ,0.004463,0.11,0.12,0.09
Suffolk Dunwich  ,µGy/h  ,0.004917,0.10,0.11,0.08
Suffolk Knodishall  ,µGy/h  ,0.003775,0.09,0.11,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004023,0.09,0.11,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005108,0.10,0.12,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005087,0.09,0.11,0.08
Suffolk Theberton  ,µGy/h  ,0.003714,0.09,0.10,0.08
Suffolk Westleton  ,µGy/h  ,0.005076,0.09,0.34,0.08
Trinity House Dungeness  ,µGy/h  ,0.006964,0.12,0.15,0.09
Trinity House Harwich  ,µGy/h  ,0.004879,0.09,0.09,0.08
Trinity House St Bees Head  ,µGy/h  ,0.004398,0.11,0.13,0.09
