dataset,column_name,api_dtype,sample_value
INDGEN,publishTime,object,2025-09-22T13:17:00Z
INDGEN,startTime,object,2025-09-22T13:30:00Z
INDGEN,settlementDate,object,2025-09-22
INDGEN,settlementPeriod,int64,30
INDGEN,boundary,object,B1
INDO,dataset,object,INDO
INDO,publishTime,object,2025-09-22T13:00:00Z
INDO,startTime,object,2025-09-22T12:30:00Z
INDO,settlementDate,object,2025-09-22
INDO,settlementPeriod,int64,28
INDO,demand,int64,21307
INTBPT,N/A,N/A,No data returned from API for sample period.
INTERCONNECTOR_FLOWS,N/A,N/A,No data returned from API for sample period.
ITSDO,dataset,object,ITSDO
ITSDO,publishTime,object,2025-09-22T13:00:00Z
ITSDO,startTime,object,2025-09-22T12:30:00Z
ITSDO,settlementDate,object,2025-09-22
ITSDO,settlementPeriod,int64,28
ITSDO,demand,int64,23800
MARKET_INDEX_PRICES,N/A,N/A,No data returned from API for sample period.
MDP,N/A,N/A,No data returned from API for sample period.
MDV,N/A,N/A,No data returned from API for sample period.
MELNGC,dataset,object,MELNGC
MELNGC,margin,int64,-3118
MELNGC,publishTime,object,2025-09-22T13:17:00Z
MELNGC,startTime,object,2025-09-22T13:30:00Z
MELNGC,settlementDate,object,2025-09-22
MELNGC,settlementPeriod,int64,30
MELNGC,boundary,object,B1
MELS,dataset,object,MELS
MELS,settlementDate,object,2022-06-01
MELS,settlementPeriod,int64,3
MELS,timeFrom,object,2022-06-01T00:00:00Z
MELS,timeTo,object,2022-06-01T00:30:00Z
MELS,levelFrom,int64,0
MELS,levelTo,int64,0
MELS,notificationTime,object,2022-04-10T10:00:33Z
MELS,notificationSequence,int64,89729329
MELS,nationalGridBmUnit,object,AG-MECO01
MELS,bmUnit,object,2__MECOT003
MID,dataset,object,MID
MID,startTime,object,2022-06-01T00:00:00Z
MID,dataProvider,object,APXMIDP
MID,settlementDate,object,2022-06-01
MID,settlementPeriod,int64,3
MID,price,float64,136.85
MID,volume,float64,147.25
MILS,dataset,object,MILS
MILS,settlementDate,object,2022-06-01
MILS,settlementPeriod,int64,3
MILS,timeFrom,object,2022-06-01T00:00:00Z
MILS,timeTo,object,2022-06-01T00:30:00Z
MILS,levelFrom,int64,0
MILS,levelTo,int64,0
MILS,notificationTime,object,2022-04-10T10:00:28Z
MILS,notificationSequence,int64,89729325
MILS,nationalGridBmUnit,object,AG-LUKP01
MILS,bmUnit,object,2__LUKPR001
MIP,N/A,N/A,No data returned from API for sample period.
MNZT,N/A,N/A,No data returned from API for sample period.
MZT,N/A,N/A,No data returned from API for sample period.
NDF,dataset,object,NDF
NDF,demand,int64,22112
NDF,publishTime,object,2025-09-22T13:17:00Z
NDF,startTime,object,2025-09-22T13:30:00Z
NDF,settlementDate,object,2025-09-22
NDF,settlementPeriod,int64,30
NDF,boundary,object,N
NDFD,dataset,object,NDFD
NDFD,publishTime,object,2025-09-21T13:45:00Z
NDFD,forecastDate,object,2025-09-23
NDFD,demand,int64,33090
NDFW,dataset,object,NDFW
NDFW,publishTime,object,2025-09-18T13:45:00Z
NDFW,year,int64,2025
NDFW,week,int64,40
NDFW,demand,int64,32700
NDZ,N/A,N/A,No data returned from API for sample period.
NETBSAD,dataset,object,NETBSAD
NETBSAD,settlementDate,object,2022-06-01
NETBSAD,settlementPeriod,int64,3
NETBSAD,netBuyPriceCostAdjustmentEnergy,float64,0.0
NETBSAD,netBuyPriceVolumeAdjustmentEnergy,float64,0.0
NETBSAD,netBuyPriceVolumeAdjustmentSystem,float64,0.0
NETBSAD,buyPricePriceAdjustment,float64,0.0
NETBSAD,netSellPriceCostAdjustmentEnergy,float64,0.0
NETBSAD,netSellPriceVolumeAdjustmentEnergy,float64,0.0
NETBSAD,netSellPriceVolumeAdjustmentSystem,float64,0.0
