ID,Name,Value
10,UKPN – Eastern Power Networks,13010
11,NGED – East Midlands,12403
12,UKPN – London Power Networks,10158
13,SPEN – Manweb (Merseyside/N Wales),10727
14,NGED – Midlands,14470
15,NPg – North East,6259
16,Electricity North West,9914
17,UKPN – South Eastern,14533
18,SSEN – Southern (SEPD),12732
19,NGED – South Wales,7948
20,NGED – South West,8350
21,NPg – Yorkshire,6688
22,SSEN – Hydro (SHEPD),6424
23,SPEN – Scottish Power (SPD),14046
