Region,DNO_ID,Year,Red_Band_p_per_kWh,Amber_Band_p_per_kWh,Green_Band_p_per_kWh,Red_Band_Time,Amber_Band_Time,Green_Band_Time,Standing_Charge_p_per_day,Capacity_Charge_p_per_kVA_per_day
Scottish Hydro Electric Power Distribution,SHEPD,2025,8.14,2.28,1.63,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Southern Electric Power Distribution,SEPD,2025,10.67,1.54,0.97,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (Eastern),EPN,2025,16.03,1.36,0.9,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (London),LPN,2025,10.15,1.59,1.22,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (South Eastern),SPN,2025,17.89,0.85,0.72,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Electricity North West,ENWL,2026,30.65,3.36,2.12,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – East Midlands,EMID,2026,13.89,1.27,0.52,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – South Wales,SWALES,2026,16.56,0.82,0.48,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – South West,SWEST,2026,19.54,1.01,0.44,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
National Grid Electricity Distribution – West Midlands,WMID,2026,16.36,1.25,0.72,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Northern Powergrid (North East),NE,2026,19.76,1.07,0.29,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Northern Powergrid (Yorkshire),Y,2026,12.19,1.42,0.53,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
SP Energy Networks (SPD),SPD,2026,21.46,1.83,1.1,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
SP Energy Networks (SPM),SPM,2026,20.96,3.16,1.75,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Scottish Hydro Electric Power Distribution,SHEPD,2026,8.34,2.7,2.06,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
Southern Electric Power Distribution,SEPD,2026,9.34,1.57,1.09,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (Eastern),EPN,2026,17.45,1.48,0.9,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (London),LPN,2026,20.31,1.3,0.22,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
UK Power Networks (South Eastern),SPN,2026,20.92,0.93,0.74,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,See tariff sheet,See tariff sheet
