dataset,column_name,api_dtype,sample_value
MDV,N/A,N/A,No data returned from API for sample period.
MELNGC,dataset,object,MELNGC
MELNGC,margin,int64,-3118
MELNGC,publishTime,object,2025-09-22T13:17:00Z
MELNGC,startTime,object,2025-09-22T13:30:00Z
MELNGC,settlementDate,object,2025-09-22
MELNGC,settlementPeriod,int64,30
MELNGC,boundary,object,B1
MELS,dataset,object,MELS
MELS,settlementDate,object,2025-06-01
MELS,settlementPeriod,int64,3
MELS,timeFrom,object,2025-06-01T00:00:00Z
MELS,timeTo,object,2025-06-01T00:30:00Z
MELS,levelFrom,int64,0
MELS,levelTo,int64,0
MELS,notificationTime,object,2025-04-10T10:00:20Z
MELS,notificationSequence,int64,164054234
MELS,nationalGridBmUnit,object,AG-EDF01C
MELS,bmUnit,object,V__AFEEL002
MID,dataset,object,MID
MID,startTime,object,2025-06-01T00:00:00Z
MID,dataProvider,object,APXMIDP
MID,settlementDate,object,2025-06-01
MID,settlementPeriod,int64,3
MID,price,float64,48.02
MID,volume,float64,1781.25
MILS,dataset,object,MILS
MILS,settlementDate,object,2025-06-01
MILS,settlementPeriod,int64,3
MILS,timeFrom,object,2025-06-01T00:00:00Z
MILS,timeTo,object,2025-06-01T00:30:00Z
MILS,levelFrom,int64,-26
MILS,levelTo,int64,-26
MILS,notificationTime,object,2025-05-31T23:43:18Z
MILS,notificationSequence,int64,164283636
MILS,nationalGridBmUnit,object,FBPG01
MILS,bmUnit,object,2__FBPGM001
MIP,N/A,N/A,No data returned from API for sample period.
MNZT,N/A,N/A,No data returned from API for sample period.
MZT,dataset,object,MZT
MZT,settlementDate,object,2025-06-01
MZT,settlementPeriod,int64,1
MZT,time,object,2025-05-31T23:08:00Z
MZT,periodMin,int64,0
MZT,nationalGridBmUnit,object,ROTHW-1
MZT,bmUnit,object,2__PENEC001
NDF,dataset,object,NDF
NDF,demand,int64,22112
NDF,publishTime,object,2025-09-22T13:17:00Z
NDF,startTime,object,2025-09-22T13:30:00Z
NDF,settlementDate,object,2025-09-22
NDF,settlementPeriod,int64,30
NDF,boundary,object,N
NDFD,dataset,object,NDFD
NDFD,publishTime,object,2025-09-21T13:45:00Z
NDFD,forecastDate,object,2025-09-23
NDFD,demand,int64,33090
NDFW,dataset,object,NDFW
NDFW,publishTime,object,2025-09-18T13:45:00Z
NDFW,year,int64,2025
NDFW,week,int64,40
NDFW,demand,int64,32700
NDZ,dataset,object,NDZ
NDZ,settlementDate,object,2025-06-01
NDZ,settlementPeriod,int64,2
