dataset,column_name,2022,2023,2024,2025
INDGEN,settlementPeriod,int64,int64,int64,int64
INDGEN,startTime,object,object,object,object
INDO,dataset,object,object,object,object
INDO,demand,int64,int64,int64,int64
INDO,publishTime,object,object,object,object
INDO,settlementDate,object,object,object,object
INDO,settlementPeriod,int64,int64,int64,int64
INDO,startTime,object,object,object,object
ITSDO,dataset,object,object,object,object
ITSDO,demand,int64,int64,int64,int64
ITSDO,publishTime,object,object,object,object
ITSDO,settlementDate,object,object,object,object
ITSDO,settlementPeriod,int64,int64,int64,int64
ITSDO,startTime,object,object,object,object
MELNGC,boundary,object,object,object,object
MELNGC,dataset,object,object,object,object
MELNGC,margin,int64,int64,int64,int64
MELNGC,publishTime,object,object,object,object
MELNGC,settlementDate,object,object,object,object
MELNGC,settlementPeriod,int64,int64,int64,int64
MELNGC,startTime,object,object,object,object
MELS,bmUnit,object,object,object,object
MELS,dataset,object,object,object,object
MELS,levelFrom,int64,int64,int64,int64
MELS,levelTo,int64,int64,int64,int64
MELS,nationalGridBmUnit,object,object,object,object
MELS,notificationSequence,int64,int64,int64,int64
MELS,notificationTime,object,object,object,object
MELS,settlementDate,object,object,object,object
MELS,settlementPeriod,int64,int64,int64,int64
MELS,timeFrom,object,object,object,object
MELS,timeTo,object,object,object,object
MID,dataProvider,object,object,object,object
MID,dataset,object,object,object,object
MID,price,float64,float64,float64,float64
MID,settlementDate,object,object,object,object
MID,settlementPeriod,int64,int64,int64,int64
MID,startTime,object,object,object,object
MID,volume,float64,float64,float64,float64
MILS,bmUnit,object,object,object,object
MILS,dataset,object,object,object,object
MILS,levelFrom,int64,int64,int64,int64
MILS,levelTo,int64,int64,int64,int64
MILS,nationalGridBmUnit,object,object,object,object
MILS,notificationSequence,int64,int64,int64,int64
MILS,notificationTime,object,object,object,object
MILS,settlementDate,object,object,object,object
MILS,settlementPeriod,int64,int64,int64,int64
MILS,timeFrom,object,object,object,object
MILS,timeTo,object,object,object,object
MNZT,bmUnit,NOT_PRESENT,NOT_PRESENT,object,NOT_PRESENT
MNZT,dataset,NOT_PRESENT,NOT_PRESENT,object,NOT_PRESENT
MNZT,nationalGridBmUnit,NOT_PRESENT,NOT_PRESENT,object,NOT_PRESENT
MNZT,periodMin,NOT_PRESENT,NOT_PRESENT,int64,NOT_PRESENT
MNZT,settlementDate,NOT_PRESENT,NOT_PRESENT,object,NOT_PRESENT
MNZT,settlementPeriod,NOT_PRESENT,NOT_PRESENT,int64,NOT_PRESENT
MNZT,time,NOT_PRESENT,NOT_PRESENT,object,NOT_PRESENT
MZT,bmUnit,NOT_PRESENT,object,object,object
MZT,dataset,NOT_PRESENT,object,object,object
MZT,nationalGridBmUnit,NOT_PRESENT,object,object,object
MZT,periodMin,NOT_PRESENT,int64,int64,int64
MZT,settlementDate,NOT_PRESENT,object,object,object
MZT,settlementPeriod,NOT_PRESENT,int64,int64,int64
MZT,time,NOT_PRESENT,object,object,object
NDF,boundary,object,object,object,object
NDF,dataset,object,object,object,object
NDF,demand,int64,int64,int64,int64
NDF,publishTime,object,object,object,object
NDF,settlementDate,object,object,object,object
NDF,settlementPeriod,int64,int64,int64,int64
NDF,startTime,object,object,object,object
NDFD,dataset,object,object,object,object
NDFD,demand,int64,int64,int64,int64
NDFD,forecastDate,object,object,object,object
NDFD,publishTime,object,object,object,object
NDFW,dataset,object,object,object,object
NDFW,demand,int64,int64,int64,int64
NDFW,publishTime,object,object,object,object
NDFW,week,int64,int64,int64,int64
NDFW,year,int64,int64,int64,int64
NDZ,bmUnit,NOT_PRESENT,NOT_PRESENT,object,object
NDZ,dataset,NOT_PRESENT,NOT_PRESENT,object,object
NDZ,nationalGridBmUnit,NOT_PRESENT,NOT_PRESENT,object,object
NDZ,notice,NOT_PRESENT,NOT_PRESENT,int64,int64
NDZ,settlementDate,NOT_PRESENT,NOT_PRESENT,object,object
NDZ,settlementPeriod,NOT_PRESENT,NOT_PRESENT,int64,int64
NDZ,time,NOT_PRESENT,NOT_PRESENT,object,object
NETBSAD,buyPricePriceAdjustment,float64,float64,float64,float64
NETBSAD,dataset,object,object,object,object
NETBSAD,netBuyPriceCostAdjustmentEnergy,float64,float64,float64,float64
NETBSAD,netBuyPriceVolumeAdjustmentEnergy,float64,float64,float64,float64
NETBSAD,netBuyPriceVolumeAdjustmentSystem,float64,float64,float64,float64
NETBSAD,netSellPriceCostAdjustmentEnergy,float64,float64,float64,float64
NETBSAD,netSellPriceVolumeAdjustmentEnergy,float64,float64,float64,float64
NETBSAD,netSellPriceVolumeAdjustmentSystem,float64,float64,float64,float64
NETBSAD,sellPricePriceAdjustment,float64,float64,float64,float64
NETBSAD,settlementDate,object,object,object,object
NETBSAD,settlementPeriod,int64,int64,int64,int64
NONBM,dataset,object,object,object,object
NONBM,generation,int64,int64,int64,int64
NONBM,publishTime,object,object,object,object
NONBM,settlementDate,object,object,object,object
NONBM,settlementPeriod,int64,int64,int64,int64
NONBM,startTime,object,object,object,object
NOU2T14D,dataset,object,object,object,object
NOU2T14D,forecastDate,object,object,object,object
NOU2T14D,forecastDateTimezone,object,object,object,object
NOU2T14D,outputUsable,int64,int64,int64,int64
NOU2T14D,publishTime,object,object,object,object
NOU2T14D,systemZone,object,object,object,object
NOU2T3YW,calendarWeekNumber,int64,int64,int64,int64
NOU2T3YW,dataset,object,object,object,object
NOU2T3YW,outputUsable,int64,int64,int64,int64
NOU2T3YW,publishTime,object,object,object,object
NOU2T3YW,systemZone,object,object,object,object
NOU2T3YW,year,int64,int64,int64,int64
NTB,bmUnit,NOT_PRESENT,object,object,NOT_PRESENT
NTB,dataset,NOT_PRESENT,object,object,NOT_PRESENT
NTB,nationalGridBmUnit,NOT_PRESENT,object,object,NOT_PRESENT
NTB,notice,NOT_PRESENT,int64,int64,NOT_PRESENT
NTB,settlementDate,NOT_PRESENT,object,object,NOT_PRESENT
