MPAN_Code,DNO_Key,DNO_Name,Short_Code,GSP_Group_ID,Region,Year,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,Count
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2019,0.18373908,15.52259464,2.3308187836536014,1.6504155100000002,317
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2020,0.2036288464709518,13.92879223996246,2.6058529263971626,1.723,299
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2021,0.3269372544973533,15.692,4.856964205212121,1.289,89
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2022,0.043,19.44,5.797394890417879,0.724,81
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2023,0.027,18.68,6.1606359992346995,0.708,81
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2024,0.033,29.42,6.836537448510062,0.758,81
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2025,0.0790647506066863,24.78,7.502928374136113,1.624,81
22.0,SSE-H,SSEN – Hydro (SHEPD),Hydro,N,North Scotland (Highlands),2026,0.122,22.754,7.734032181189282,1.814,80
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2014,0.031,3.64,1.307075899467777,1.006,1677
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2015,0.043,4.0,1.5135138117736018,1.2695,601
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2016,0.045,5.34,1.746286003455696,1.022,643
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2017,0.046,4.0,1.5424822695219311,1.022,643
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2018,0.564,4.29,1.7535883738993403,1.431,605
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2019,0.628,4.22,1.5913292173281668,1.09,673
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2020,0.58,4.7,1.873707526249459,1.4569999999999999,604
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2021,0.65,34.0,3.6482784741002705,1.5830000000000002,174
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2022,0.059,34.0,4.23614190821256,0.897,158
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2023,0.087,34.0,4.136219226124117,1.1035,161
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2024,0.084,34.0,5.07674963178848,1.152,162
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2025,0.098,34.0,4.705983997584541,1.4865,158
12.0,UKPN-L,UKPN – London Power Networks,London,C,Greater London,2026,0.063,34.0,5.096691456348188,1.418,160
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2020,0.0041617122473246,6.72,1.0442397682124713,0.9006461101704555,3000
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2021,0.004,30.03,1.3935797414406514,0.6819913658890814,2614
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2022,0.004,27.51,1.7103755121826285,0.6488698670126777,2929
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2023,0.01,24.42,2.247942333285962,0.9201313635204715,2468
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2024,0.01,25.29,2.378258274981236,1.0,1894
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2025,0.016,21.99,4.245710993570574,2.4385,1771
17.0,UKPN-SE,UKPN – South Eastern,SouthEastern,H,"Kent, Sussex",2026,0.022,27.65,4.953201035615796,2.767,191
