portal,DNO_Group,dataset_id,title,description,modified,license,visibility,has_records,tags,record_count,explore_link,api_link
ssentransmission.opendatasoft.com,SSEN,etys-24-yr-01-she-transmision-fault-levels-ka-winter-2024-25,ETYS 24 Year 01 (2024/25) – SSEN Transmission – Fault Levels (Winter),"<h5 class=""""><span style=""font-family: inherit; font-size: 0.875rem; font-weight: normal;"">This dataset contains data about transmission winter peak fault levels for year 2024/25.</span></h5><h5 class=""""><br></h5><h5 class=""""><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;""></p><p class="""" style=""font-family: sans-serif; margin-bottom: 1em; font-size: 14px; font-weight: 400;"">T<span style=""font-family: inherit; font-size: 0.875rem;"">o view or download this data, please </span><a href=""https://ssentransmission.opendatasoft.com/login/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">register or login</span></a><span style=""font-family: inherit; font-size: 0.875rem;"">.</span></p></h5>",,CC BY 4.0,domain,True,"Voltage, Fault, Winter, Network Usage",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-24-yr-01-she-transmision-fault-levels-ka-winter-2024-25/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-24-yr-01-she-transmision-fault-levels-ka-winter-2024-25
ssentransmission.opendatasoft.com,SSEN,ssen-transmission-tower-grid,SSEN Transmission Tower Grid,"<p>Shapefile containing SSEN Transmission Grid Towers.</p><p>To view or download this data, please <a href=""https://ssentransmission.opendatasoft.com/login/"" target=""_blank""><b>register or login</b></a>.</p>",,CC BY 4.0,domain,True,"132kV, Tower Grid, Network Infrastructure",,https://ssentransmission.opendatasoft.com/explore/dataset/ssen-transmission-tower-grid/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/ssen-transmission-tower-grid
ssentransmission.opendatasoft.com,SSEN,etys-23-yr-02-she-transmission-fault-levels-ka-winter-2024-25,ETYS 23 Year 02 (2024/25) – SSEN Transmission – Fault Levels (Winter),"<h5 class=""""><span style=""font-family: inherit; font-size: 0.875rem; font-weight: normal;"">This dataset contains data about transmission winter peak fault levels for year 2024/25.</span></h5><h5 class=""""><br></h5><h5 class=""""><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;""></p><p class="""" style=""font-family: sans-serif; margin-bottom: 1em; font-size: 14px; font-weight: 400;"">T<span style=""font-family: inherit; font-size: 0.875rem;"">o view or download this data, please </span><a href=""https://ssentransmission.opendatasoft.com/login/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">register or login</span></a><span style=""font-family: inherit; font-size: 0.875rem;"">.</span></p></h5>",,CC BY 4.0,domain,True,"Voltage, Fault, Winter, Network Usage",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-23-yr-02-she-transmission-fault-levels-ka-winter-2024-25/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-23-yr-02-she-transmission-fault-levels-ka-winter-2024-25
ssentransmission.opendatasoft.com,SSEN,etys-24-b-2-2a-she-transmission-circuit-changes-2025-26-to-2035-36,ETYS 24 (2025/26 to 2035/36) – SSEN Transmission – Circuit Changes,"<h5 class=""""><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;"">This dataset contains information about changes to transmission circuits for years 2025/26 to 2035/36.</p><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;"">To view or download this data, please<span style=""font-weight: bolder;""> <a href=""https://ssentransmission.opendatasoft.com/login/"" target=""_blank"">register or login</a>.</span></p></h5>",,CC BY 4.0,domain,True,"Circuit, Status, Network Usage",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-24-b-2-2a-she-transmission-circuit-changes-2025-26-to-2035-36/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-24-b-2-2a-she-transmission-circuit-changes-2025-26-to-2035-36
ssentransmission.opendatasoft.com,SSEN,etys-22-b-3-2a-she-transmission-transformer-changes-2023-24-to-2031-32,ETYS 22 (2023/24 to 2031/32) – SSEN Transmission – Transformer Changes,"<h5 class=""""><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;"">This dataset contains information about transmission transformer changes for years 2023/24 - 2031/32.</p><p style=""font-family: sans-serif; font-size: 14px; font-weight: 400;"">To view or download this data, please <span style=""font-weight: bolder;""><a href=""https://ssentransmission.opendatasoft.com/login/"" target=""_blank"">register or login</a>.</span></p></h5>",,CC BY 4.0,domain,True,"Transformer, SHE",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-22-b-3-2a-she-transmission-transformer-changes-2023-24-to-2031-32/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-22-b-3-2a-she-transmission-transformer-changes-2023-24-to-2031-32
ssentransmission.opendatasoft.com,SSEN,data-triage-dataset,SSEN Transmission Data Triage Dataset,<p>This dataset contains the results of the data triage process.</p>,,CC BY 4.0,domain,True,Data Triage,,https://ssentransmission.opendatasoft.com/explore/dataset/data-triage-dataset/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/data-triage-dataset
ssentransmission.opendatasoft.com,SSEN,ssen-transmission-embedded-register,SSEN Transmission Embedded Register,"<p><span style=""color: rgb(82, 82, 82); font-family: poppins, sans-serif, arial;"">A list of SSEN Transmission's connected or contracted to connect embedded generation projects in Scotland.</span></p><p>T<span style=""font-family: inherit; font-size: 0.875rem;"">o view or download this data, please </span><a href=""https://ssentransmission.opendatasoft.com/login/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">register or login</span></a><span style=""font-family: inherit; font-size: 0.875rem;"">.</span></p><p><span style=""font-family: inherit; font-size: 0.875rem;""><br></span></p><p><span style=""font-family: inherit; font-size: 0.875rem;"">For the full UK Embedded Register, please see the bi-weekly publication from NESO <a href=""https://www.neso.energy/data-portal/embedded-register"" target=""_blank"">here</a>.</span></p>",,CC BY 4.0,domain,True,"Connection, Register, Embedded",,https://ssentransmission.opendatasoft.com/explore/dataset/ssen-transmission-embedded-register/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/ssen-transmission-embedded-register
ssentransmission.opendatasoft.com,SSEN,etys-23-yr-01-she-transmission-fault-levels-ka-summer-2023-24,ETYS 23 Year 01 (2023/24) – SSEN Transmission – Fault Levels (Summer),"<h5 class=""""><span style=""font-family: inherit; font-size: 0.875rem; font-weight: normal;"">This dataset contains data about transmission summer minimum fault levels for year 2023/24.</span></h5><h5 class=""""><br></h5><p style=""font-family: sans-serif;""></p><p class="""" style=""font-family: sans-serif; margin-bottom: 1em;"">T<span style=""font-family: inherit; font-size: 0.875rem;"">o view or download this data, please </span><a href=""https://ssentransmission.opendatasoft.com/login/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">register or login</span></a><span style=""font-family: inherit; font-size: 0.875rem;"">.</span></p>",,CC BY 4.0,domain,True,"Network Usage, Voltage, Fault, Summer",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-23-yr-01-she-transmission-fault-levels-ka-summer-2023-24/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-23-yr-01-she-transmission-fault-levels-ka-summer-2023-24
ssentransmission.opendatasoft.com,SSEN,ssen-transmission-overhead-line-supergrid,SSEN Transmission Overhead Line Supergrid,"<p>Shapefile containing SSEN Transmission Supergrid Overhead Lines.</p><p>To view or download this data, please <a href=""https://ssentransmission.opendatasoft.com/login/"" target=""_blank""><b>register or login</b></a>.</p>",,CC BY 4.0,domain,True,"275kV, 400kV, Overhead, Supergrid, Network Infrastructure, AC, Line, Shapefile",,https://ssentransmission.opendatasoft.com/explore/dataset/ssen-transmission-overhead-line-supergrid/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/ssen-transmission-overhead-line-supergrid
ssentransmission.opendatasoft.com,SSEN,etys-22-b-1-1a-she-transmission-index-of-substation-codes,ETYS 22 – SSEN Transmission – Index of Substation Codes,"<p>This dataset contains the list of SSEN Transmission substation codes for year 2022.</p><p>To view or download this data, please<b> <a href=""https://ssentransmission.opendatasoft.com/login/"" target=""_blank"">register or login</a></b>.</p>",,CC BY 4.0,domain,True,"Substation, Codes, Network Infrastructure",,https://ssentransmission.opendatasoft.com/explore/dataset/etys-22-b-1-1a-she-transmission-index-of-substation-codes/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/etys-22-b-1-1a-she-transmission-index-of-substation-codes
ssentransmission.opendatasoft.com,SSEN,ssen-transmission-business-glossary-and-acronyms,SSEN Transmission Business Glossary and Acronyms,"<p>This dataset contains Business Glossary definitions and Acronym expansions.</p><p><a href=""https://ssentransmission.opendatasoft.com/pages/business-glossary-and-acronyms/"" style=""font-family: sans-serif; font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(35, 82, 124); outline: 0px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">Please find the link to the Business Glossary and Acronym tool here.</span></a></p><p>To view or download this data, please <a href=""https://ssentransmission.opendatasoft.com/login/"" style=""background-color: rgb(255, 255, 255); font-family: sans-serif; font-size: 14px; font-weight: 400;"" target=""_blank""><span style=""font-weight: bolder;"">register or login</span></a>.</p>",,CC BY 4.0,domain,True,"Supporting Information, Glossary, Acronym, Data Governance, Definitions",,https://ssentransmission.opendatasoft.com/explore/dataset/ssen-transmission-business-glossary-and-acronyms/,https://ssentransmission.opendatasoft.com/api/explore/v2.1/catalog/datasets/ssen-transmission-business-glossary-and-acronyms
