publishTime,gsp_id,import_export_mw,wind_generation_mw
2025-11-10 06:16:00+00:00,B12,-3043.1,0.0
2025-11-10 06:16:00+00:00,B13,-622.3,0.0
2025-11-10 06:16:00+00:00,B14,-2203.5,0.0
2025-11-10 06:16:00+00:00,B15,-767.0,0.0
2025-11-10 06:16:00+00:00,B16,-4103.8,0.0
2025-11-10 06:16:00+00:00,B17,-1368.7,0.0
2025-11-10 06:16:00+00:00,B2,-214.2,0.0
2025-11-10 06:16:00+00:00,B3,-124.6,0.0
2025-11-10 06:16:00+00:00,B4,-348.5,0.0
2025-11-10 06:16:00+00:00,B5,-626.1,0.0
2025-11-10 06:16:00+00:00,B6,-1617.1,0.0
2025-11-10 06:16:00+00:00,B7,-2228.4,0.0
2025-11-10 06:16:00+00:00,B8,-5631.1,0.0
2025-11-10 06:16:00+00:00,B9,-7724.0,0.0
2025-11-10 06:16:00+00:00,N,-19519.6,0.0
2025-11-10 05:46:00+00:00,B1,-94.3,0.0
2025-11-10 05:46:00+00:00,B10,-1491.1,0.0
2025-11-10 05:46:00+00:00,B11,-3373.6,0.0
2025-11-10 05:46:00+00:00,B12,-3042.5,0.0
2025-11-10 05:46:00+00:00,B13,-621.0,0.0
2025-11-10 05:46:00+00:00,B14,-2197.4,0.0
2025-11-10 05:46:00+00:00,B15,-786.7,0.0
2025-11-10 05:46:00+00:00,B16,-4111.4,0.0
2025-11-10 05:46:00+00:00,B17,-1364.5,0.0
2025-11-10 05:46:00+00:00,B2,-213.5,0.0
2025-11-10 05:46:00+00:00,B3,-124.3,0.0
2025-11-10 05:46:00+00:00,B4,-347.5,0.0
2025-11-10 05:46:00+00:00,B5,-624.5,0.0
2025-11-10 05:46:00+00:00,B6,-1616.0,0.0
2025-11-10 05:46:00+00:00,B7,-2225.6,0.0
2025-11-10 05:46:00+00:00,B8,-5616.1,0.0
2025-11-10 05:46:00+00:00,B9,-7718.3,0.0
2025-11-10 05:46:00+00:00,N,-19503.0,0.0
2025-11-10 05:16:00+00:00,B1,-93.9,0.0
2025-11-10 05:16:00+00:00,B10,-1485.6,0.0
2025-11-10 05:16:00+00:00,B11,-3363.5,0.0
2025-11-10 05:16:00+00:00,B12,-3036.7,0.0
2025-11-10 05:16:00+00:00,B13,-618.7,0.0
2025-11-10 05:16:00+00:00,B14,-2187.7,0.0
2025-11-10 05:16:00+00:00,B15,-804.7,0.0
2025-11-10 05:16:00+00:00,B16,-4109.8,0.0
2025-11-10 05:16:00+00:00,B17,-1357.9,0.0
2025-11-10 05:16:00+00:00,B2,-213.1,0.0
2025-11-10 05:16:00+00:00,B3,-123.9,0.0
2025-11-10 05:16:00+00:00,B4,-347.0,0.0
2025-11-10 05:16:00+00:00,B5,-622.9,0.0
2025-11-10 05:16:00+00:00,B6,-1614.5,0.0
2025-11-10 05:16:00+00:00,B7,-2221.5,0.0
2025-11-10 05:16:00+00:00,B8,-5609.5,0.0
2025-11-10 05:16:00+00:00,B9,-7713.6,0.0
2025-11-10 05:16:00+00:00,N,-19470.0,0.0
2025-11-10 04:46:00+00:00,B1,-96.5,0.0
2025-11-10 04:46:00+00:00,B10,-1478.5,0.0
2025-11-10 04:46:00+00:00,B11,-3353.5,0.0
2025-11-10 04:46:00+00:00,B12,-3028.4,0.0
2025-11-10 04:46:00+00:00,B13,-615.8,0.0
2025-11-10 04:46:00+00:00,B14,-2176.2,0.0
2025-11-10 04:46:00+00:00,B15,-825.2,0.0
2025-11-10 04:46:00+00:00,B16,-4107.9,0.0
2025-11-10 04:46:00+00:00,B17,-1350.2,0.0
2025-11-10 04:46:00+00:00,B2,-215.3,0.0
2025-11-10 04:46:00+00:00,B3,-123.3,0.0
2025-11-10 04:46:00+00:00,B4,-348.4,0.0
2025-11-10 04:46:00+00:00,B5,-623.2,0.0
2025-11-10 04:46:00+00:00,B6,-1613.5,0.0
2025-11-10 04:46:00+00:00,B7,-2217.5,0.0
2025-11-10 04:46:00+00:00,B8,-5604.8,0.0
2025-11-10 04:46:00+00:00,B9,-7709.3,0.0
2025-11-10 04:46:00+00:00,N,-19433.2,0.0
2025-11-10 04:16:00+00:00,B1,-99.7,0.0
2025-11-10 04:16:00+00:00,B10,-1471.0,0.0
2025-11-10 04:16:00+00:00,B11,-3343.7,0.0
2025-11-10 04:16:00+00:00,B12,-3021.8,0.0
2025-11-10 04:16:00+00:00,B13,-612.9,0.0
2025-11-10 04:16:00+00:00,B14,-2162.3,0.0
2025-11-10 04:16:00+00:00,B15,-832.3,0.0
2025-11-10 04:16:00+00:00,B16,-4105.8,0.0
2025-11-10 04:16:00+00:00,B17,-1342.1,0.0
2025-11-10 04:16:00+00:00,B2,-217.7,0.0
2025-11-10 04:16:00+00:00,B3,-122.7,0.0
2025-11-10 04:16:00+00:00,B4,-350.6,0.0
2025-11-10 04:16:00+00:00,B5,-624.0,0.0
2025-11-10 04:16:00+00:00,B6,-1613.4,0.0
2025-11-10 04:16:00+00:00,B7,-2213.4,0.0
2025-11-10 04:16:00+00:00,B8,-5599.5,0.0
2025-11-10 04:16:00+00:00,B9,-7703.4,0.0
2025-11-10 04:16:00+00:00,N,-19374.4,0.0
2025-11-10 03:47:00+00:00,B1,-100.2,0.0
2025-11-10 03:47:00+00:00,B10,-1463.5,0.0
2025-11-10 03:47:00+00:00,B11,-3331.8,0.0
2025-11-10 03:47:00+00:00,B12,-3014.8,0.0
2025-11-10 03:47:00+00:00,B13,-610.0,0.0
2025-11-10 03:47:00+00:00,B14,-2149.3,0.0
2025-11-10 03:47:00+00:00,B15,-828.4,0.0
2025-11-10 03:47:00+00:00,B16,-4101.2,0.0
2025-11-10 03:47:00+00:00,B17,-1334.3,0.0
2025-11-10 03:47:00+00:00,B2,-217.5,0.0
2025-11-10 03:47:00+00:00,B3,-122.1,0.0
2025-11-10 03:47:00+00:00,B4,-350.3,0.0
2025-11-10 03:47:00+00:00,B5,-623.0,0.0
2025-11-10 03:47:00+00:00,B6,-1610.6,0.0
2025-11-10 03:47:00+00:00,B7,-2206.9,0.0
2025-11-10 03:47:00+00:00,B8,-5593.6,0.0
2025-11-10 03:47:00+00:00,B9,-7697.4,0.0
2025-11-10 03:47:00+00:00,N,-19301.3,0.0
2025-11-10 03:16:00+00:00,B1,-95.8,0.0
2025-11-10 03:16:00+00:00,B10,-1456.2,0.0
2025-11-10 03:16:00+00:00,B11,-3318.4,0.0
2025-11-10 03:16:00+00:00,B12,-3008.2,0.0
2025-11-10 03:16:00+00:00,B13,-607.0,0.0
2025-11-10 03:16:00+00:00,B14,-2136.1,0.0
2025-11-10 03:16:00+00:00,B15,-836.5,0.0
2025-11-10 03:16:00+00:00,B16,-4095.0,0.0
2025-11-10 03:16:00+00:00,B17,-1326.4,0.0
2025-11-10 03:16:00+00:00,B2,-212.7,0.0
2025-11-10 03:16:00+00:00,B3,-121.6,0.0
