name,url,type,fuel,capacity_mw,operator,location,latitude,longitude,commissioned,status
Grain GT,https://electricityproduction.uk/plant/GBR1000497/,,Gas,56.0,Uniper UK Limited,,,,,
Sandbach,https://electricityproduction.uk/plant/GBR1000114/,,Gas,56.0,E.On UK,,,,,
Rheidol,https://electricityproduction.uk/plant/GBR0003552/,,Hydro,55.975,Powergen,,,,,
Powergen,https://electricityproduction.uk/plant/owner/powergen/,,,55.98,,,,,,
Black Law 2,https://electricityproduction.uk/plant/GBR0004253/,,Wind,55.42,Scottish Power Renewables,,,,,
Ray,https://electricityproduction.uk/plant/GBR0004026/,,Wind,54.4,Vattenfall,,,,,
Slieve Rushen Extension,https://electricityproduction.uk/plant/GBR0004504/,,Wind,54.0,,,,,,
Middlemoor,https://electricityproduction.uk/plant/GBR0004019/,,Wind,54.0,Npower Renewables,,,,,
Npower Renewables,https://electricityproduction.uk/plant/owner/npower-renewables/,,,121.85,,,,,,
Coolkeeragh OCGT,https://electricityproduction.uk/plant/GBR1000076/,,Gas,53.0,Coolkeeragh ESB Ltd,,,,,
Blackcraig,https://electricityproduction.uk/plant/GBR2001048/,,Wind,53.0,Blue Energy,,,,,
Blue Energy,https://electricityproduction.uk/plant/owner/blue-energy/,,,109.5,,,,,,
Baillie,https://electricityproduction.uk/plant/GBR0004021/,,Wind,52.5,Baillie Windfarm Ltd,,,,,
Baillie Windfarm Ltd,https://electricityproduction.uk/plant/owner/baillie-windfarm-ltd/,,,52.5,,,,,,
Cubico Sustainable Investments,https://electricityproduction.uk/plant/owner/cubico-sustainable-investments/,,,51.94,,,,,,
Harburnhead Wind Farm,https://electricityproduction.uk/plant/GBR0004225/,,Wind,51.7,FIM Services / Enel Viento,,,,,
FIM Services / Enel Viento,https://electricityproduction.uk/plant/owner/fim-services-enel-viento/,,,51.7,,,,,,
Rothes,https://electricityproduction.uk/plant/GBR0003534/,,Wind,51.0,Natural Power Consultants,,,,,
Natural Power Consultants,https://electricityproduction.uk/plant/owner/natural-power-consultants/,,,71.7,,,,,,
Allington EFW,https://electricityproduction.uk/plant/GBR0000886/,,Waste,51.0,Kent Enviropower (FCC Environment),,,,,
Kent Enviropower (FCC Environment),https://electricityproduction.uk/plant/owner/kent-enviropower-fcc-environment/,,,51.0,,,,,,
Aberthaw GT,https://electricityproduction.uk/plant/GBR1000375/,,Gas,51.0,RWE Npower Plc,,,,,
Middle Muir Wind Farm,https://electricityproduction.uk/plant/GBR2001067/,,Wind,51.0,Banks Renewables,,,,,
Frodsham Wind Farm Ltd,https://electricityproduction.uk/plant/GBR0003694/,,Wind,50.4,Peel Energy,,,,,
Peel Energy,https://electricityproduction.uk/plant/owner/peel-energy/,,,58.6,,,,,,
Rockfire Capital,https://electricityproduction.uk/plant/owner/rockfire-capital/,,,61.76,,,,,,
Fibrepower  Slough,https://electricityproduction.uk/plant/GBR0000831/,,Waste,50.0,Scottish and Southern Energy (SSE),,,,,
Steven's Croft,https://electricityproduction.uk/plant/GBR0000196/,,Cogeneration,50.0,E.ON  (formerly Powergen). Agent Environmental Planning and Management,,,,,
E.ON  (formerly Powergen). Agent Environmental Planning and Management,https://electricityproduction.uk/plant/owner/eon-formerly-powergen-agent-environmental-planning-and-management/,,,50.0,,,,,,
Camster,https://electricityproduction.uk/plant/GBR0004006/,,Wind,50.0,E.ON UK,,,,,
Thornhill,https://electricityproduction.uk/plant/GBR1000115/,,Gas,50.0,E.On UK,,,,,
Afton Wind Farm,https://electricityproduction.uk/plant/GBR2001058/,,Wind,50.0,InfraRed Capital Partners/ E.on,,,,,
InfraRed Capital Partners/ E.on,https://electricityproduction.uk/plant/owner/infrared-capital-partners-eon/,,,50.0,,,,,,
Creyke Beck,https://electricityproduction.uk/plant/GBR2001173/,,Storage,49.9,Statera Energy,,,,,
Statera Energy,https://electricityproduction.uk/plant/owner/statera-energy/,,,49.9,,,,,,
K3 CHP Facility (Kemsley EfW),https://electricityproduction.uk/plant/GBR2001016/,,Waste,49.9,E.ON / Wheelabrator Technologies,,,,,
E.ON / Wheelabrator Technologies,https://electricityproduction.uk/plant/owner/eon-wheelabrator-technologies/,,,49.9,,,,,,
Bluefield Solar,https://electricityproduction.uk/plant/owner/bluefield-solar/,,,91.6,,,,,,
Foresight,https://electricityproduction.uk/plant/owner/foresight/,,,97.8,,,,,,
Kentish Flats Extension,https://electricityproduction.uk/plant/GBR0002504/,,Wind,49.5,Vattenfall,,,,,
PS Renewables,https://electricityproduction.uk/plant/owner/ps-renewables/,,,85.03,,,,,,
Pelham,https://electricityproduction.uk/plant/GBR2001155/,,Storage,49.0,Statera Energy/ InfraRed Capital,,,,,
Statera Energy/ InfraRed Capital,https://electricityproduction.uk/plant/owner/statera-energy-infrared-capital/,,,49.0,,,,,,
Iggesund Paperboard CHP Plant,https://electricityproduction.uk/plant/GBR0000047/,,Biomass,49.0,Iggesund Paperboard (Workington),,,,,
Iggesund Paperboard (Workington),https://electricityproduction.uk/plant/owner/iggesund-paperboard-workington/,,,49.0,,,,,,
Roosecote,https://electricityproduction.uk/plant/GBR2001160/,,Storage,49.0,Centrica,,,,,
Wilton 11 EfW,https://electricityproduction.uk/plant/GBR0000930/,,Waste,49.0,SUEZ / Sembcorp UK,,,,,
SUEZ / Sembcorp UK,https://electricityproduction.uk/plant/owner/suez-sembcorp-uk/,,,49.0,,,,,,
Causeymire,https://electricityproduction.uk/plant/GBR0003108/,,Wind,48.3,Innogy (formerly RWE npower),,,,,
Hill of Towie,https://electricityproduction.uk/plant/GBR0004014/,,Wind,48.3,Renewable Energy Systems (RES),,,,,
Renewable Energy Systems (RES),https://electricityproduction.uk/plant/owner/renewable-energy-systems-res/,,,244.56,,,,,,
Aikengall,https://electricityproduction.uk/plant/GBR0004526/,,Wind,48.0,Community Wind Power (01928 734544),,,,,
Community Wind Power (01928 734544),https://electricityproduction.uk/plant/owner/community-wind-power-01928-734544/,,,48.0,,,,,,
Bluefield Solar Income Fund,https://electricityproduction.uk/plant/owner/bluefield-solar-income-fund/,,,99.1,,,,,,
Kilbraur Windfarm,https://electricityproduction.uk/plant/GBR0003202/,,Wind,47.5,Renewable Development Company (RDC),,,,,
Renewable Development Company (RDC),https://electricityproduction.uk/plant/owner/renewable-development-company-rdc/,,,47.5,,,,,,
