bmUnit,total_acceptances,active_days,discharge_count,total_mw_discharged,discharge_revenue_gbp,avg_discharge_price,max_discharge_mw,charge_count,total_mw_charged,charge_cost_gbp,avg_charge_price,max_charge_mw,net_revenue_gbp,max_capacity_mw,avg_action_size_mw,duration_hours,energy_capacity_mwh,estimated_cycles,profit_per_cycle_gbp,revenue_per_mw_gbp,revenue_per_mwh_capacity_gbp,avg_cycles_per_day,utilization_pct,price_spread_captured_per_cycle,round_trip_efficiency_pct,capex_estimate_gbp,simple_payback_years,annual_roi_pct,total_energy_discharged_mwh,total_energy_charged_mwh,is_vlp,operator_type
E_BLKPB-1,18299,255,5003,49817,2198040.3999999994,94.58386622489131,25,6283,62806,2772566.835000001,93.36976698712724,25,-574526.435,25,6.154598611946008,2.0,50.0,5003,-114.83638516889867,-22981.0574,-11490.5287,19.619607843137256,980.9803921568628,1.2140992377640742,79.27817545289216,10000000.0,-17.40563948114937,-5.74526435,24908.5,31403.0,True,VLP
E_PILLB-2,63556,333,17368,248508,10989707.340000002,87.24240542320125,49,21901,296716,11570906.792500006,79.52191027115066,49,-581199.4525000008,49,8.578639310214614,2.0,98.0,17368,-33.46381002418245,-11861.213316326548,-5930.606658163274,52.15615615615616,2607.807807807808,7.720495152050589,94.9770621877559,19600000.0,-33.72336280719392,-2.965303329081637,124254.0,148358.0,True,VLP
T_COWB-1,40664,306,10497,67347,2787500.467500002,84.18210264900667,49,13920,91083,3381120.190000002,77.1985887679781,49,-593619.7224999999,49,3.896075152469015,2.0,98.0,10497,-56.55136920072401,-12114.688214285712,-6057.344107142856,34.30392156862745,1715.1960784313726,6.983513881028571,82.44310497285223,19600000.0,-33.0177709013029,-3.028672053571428,33673.5,45541.5,True,VLP
T_NURSB-1,40173,330,10478,65588,2587745.4875000007,81.55783356741571,49,13743,85733,3195668.957499999,77.05372608296346,49,-607923.4699999997,49,3.7667338759863624,2.0,98.0,10478,-58.01903702996753,-12406.601428571423,-6203.300714285711,31.75151515151515,1587.5757575757575,4.504107484452248,80.97664438698361,19600000.0,-32.24090032253568,-3.101650357142856,32794.0,42866.5,True,VLP
E_ARNKB-1,44670,337,11695,75999,2949964.340000001,85.0734491359344,41,15180,95069,3621023.7950000013,81.64067517749868,41,-671059.4550000001,41,3.8295948063577354,2.0,82.0,11695,-57.38003035485251,-16367.303780487806,-8183.651890243903,34.70326409495549,1735.1632047477747,3.4327739584357175,81.46768723457117,16400000.0,-24.438967185105824,-4.091825945121952,37999.5,47534.5,True,VLP
T_NTRVB-1,50689,227,13914,222539,8928199.037500003,81.99303797468355,57,16918,260605,9636237.467499994,78.93187164289685,57,-708038.4300000002,57,9.531535441614556,2.0,114.0,13914,-50.88676369124624,-12421.726842105267,-6210.863421052633,61.29515418502203,3064.7577092511015,3.061166331786694,92.65233518385176,22800000.0,-32.20164193629998,-3.1054317105263163,111269.5,130302.5,True,VLP
E_HAWKB-1,59207,346,15689,92338,3826313.659999999,83.41150106766315,20,19997,116480,4616197.4274999965,79.45076000631144,20,-789883.7674999998,20,3.5269140473254845,2.0,40.0,15689,-50.34634250111542,-39494.18837499999,-19747.094187499995,45.34393063583815,2267.1965317919075,3.960741061351712,82.88886513400757,8000000.0,-10.128072419211984,-9.873547093749998,46169.0,58240.0,True,VLP
E_FARNB-1,58975,329,15698,93248,4000727.0374999978,85.7044821974226,20,20054,121515,4843704.430000001,80.49619845293472,20,-842977.3925000008,20,3.6415938957185237,2.0,40.0,15698,-53.69966826984334,-42148.869625000036,-21074.434812500018,47.714285714285715,2385.714285714286,5.208283744487886,82.59643203497447,8000000.0,-9.490171469811976,-10.53721740625001,46624.0,60757.5,True,VLP
T_OCHLB-1,38032,180,11026,278194,10217547.795000004,76.88671568627453,57,12729,332383,11082492.684999997,72.17969197288024,57,-864944.89,57,16.054296381994114,2.0,114.0,11026,-78.44593596952657,-15174.471754385966,-7587.235877192983,61.25555555555555,3062.777777777778,4.7070237133942925,92.19539399136546,22800000.0,-26.360060928274862,-3.7936179385964914,139097.0,166191.5,True,VLP
E_PILLB-1,65359,334,17916,253963,11013034.229999999,87.00871433542109,49,22532,308068,11879492.287500005,79.2272641772977,49,-866458.0575000003,49,8.59913707370064,2.0,98.0,17916,-48.36224924648361,-17682.81750000001,-8841.408750000004,53.64071856287425,2682.035928143712,7.781450158123391,92.70627029732809,19600000.0,-22.620829514301093,-4.4207043750000015,126981.5,154034.0,True,VLP
E_CLAYB-2,62985,340,17494,222946,9251776.167500002,83.16432527090946,49,21122,260901,10165468.717499994,79.2894557300699,49,-913692.5499999991,49,7.6819401444788395,2.0,98.0,17494,-52.228909911969765,-18646.78673469386,-9323.39336734693,51.45294117647059,2572.6470588235293,3.874869540839555,91.01180107487757,19600000.0,-21.451417109617473,-4.661696683673465,111473.0,130450.5,True,VLP
E_SKELB-1,70574,345,19442,230265,10001273.014999997,87.03063618449083,49,24023,282194,11315571.610000005,81.88832950258032,49,-1314298.5950000004,49,7.2613001955394365,2.0,98.0,19442,-67.60099758255326,-26822.420306122458,-13411.210153061229,56.3536231884058,2817.68115942029,5.142306681910512,88.38504460668595,19600000.0,-14.912897323762257,-6.705605076530614,115132.5,141097.0,True,VLP
T_WISHB-1,41801,350,12024,198153,8601118.327500002,88.84213439930855,50,13824,227853,9971008.6675,89.74373085829538,50,-1369890.3399999999,50,10.19128728977776,2.0,100.0,12024,-113.92966899534264,-27397.8068,-13698.9034,34.354285714285716,1717.7142857142858,-0.9015964589868304,86.26126617996948,20000000.0,-14.599708762089673,-6.8494516999999995,99076.5,113926.5,True,VLP
E_CHAPB-1,67798,350,18429,226611,9765511.240000004,84.8629639379529,49,23139,284464,11237130.837499999,79.54842260553792,49,-1471619.5974999997,49,7.5382017168647995,2.0,98.0,18429,-79.85346993868357,-30033.053010204076,-15016.526505102038,52.65428571428571,2632.714285714286,5.314541332414976,86.90395601171628,19600000.0,-13.318659273970429,-7.508263252551019,113305.5,142232.0,True,VLP
E_CLAYB-1,62668,347,17373,222920,9339439.797499998,84.43724792942025,49,21031,265215,10864042.272499992,81.151496080683,49,-1524602.4750000003,49,7.789222569732561,2.0,98.0,17373,-87.75700656190642,-31114.3362244898,-15557.1681122449,50.06628242074928,2503.3141210374642,3.285751848737249,85.96652666881461,19600000.0,-12.855810167827515,-7.778584056122451,111460.0,132607.5,True,VLP
E_ILMEB-1,71265,341,19556,253467,11044762.207499994,85.74734142188167,49,24328,320895,12875649.355,80.89539799172557,49,-1830887.147499999,49,8.059524310671437,2.0,98.0,19556,-93.6227831611781,-37365.04382653059,-18682.521913265296,57.348973607038126,2867.448680351906,4.851943430156098,85.78023447967679,19600000.0,-10.705192849686554,-9.341260956632649,126733.5,160447.5,True,VLP
T_SUNDB-1,65903,309,18151,213577,7564371.570000002,79.18857784780576,49,23204,298301,9739206.562500004,75.1891011623099,49,-2174834.9925000006,49,7.7671426186971795,2.0,98.0,18151,-119.81901782270953,-44384.38760204083,-22192.193801020414,58.74110032362459,2937.05501618123,3.999476685495864,77.66927953993685,19600000.0,-9.012177966416454,-11.096096900510208,106788.5,149150.5,True,VLP
E_DOLLB-1,54608,319,14268,188532,7882826.402500003,85.14863659680495,99,19257,271671,10260776.1825,79.18953190676346,99,-2377949.78,99,8.427391590975681,2.0,198.0,14268,-166.66314690215867,-24019.694747474747,-12009.847373737373,44.72727272727273,2236.3636363636365,5.959104690041485,76.824854789683,39600000.0,-16.6530009729642,-6.004923686868686,94266.0,135835.5,True,VLP
