bmUnit,total_actions,active_days,first_action,last_action,bid_actions,avg_bid_price,total_bid_mw,offer_actions,avg_offer_price,total_offer_mw,max_capacity_mw,avg_action_size_mw,estimated_revenue_gbp,is_vlp
T_RICHB-2,85749,357,2024-11-06,2025-10-28,70233,47.84298990503038,0,82982,140.9974232966185,0,200,0.0,0.0,True
T_BURWS-1,65184,357,2024-11-06,2025-10-28,0,,,10512,999.0,0,50,0.0,0.0,True
T_SAKNW-1,65184,357,2024-11-06,2025-10-28,0,,,32592,150.0,0,86,0.0,0.0,False
T_LRDSC-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_CORB-1,70615,357,2024-11-06,2025-10-28,64765,145.27103528140185,0,70615,365.63815053458916,0,800,0.0,0.0,False
E_MINSW-1,65184,357,2024-11-06,2025-10-28,0,,,808,999.0,0,37,0.0,0.0,False
E_POTES-1,119766,357,2024-11-06,2025-10-28,70594,55.22206603960679,0,88700,142.2280961668547,0,70,0.0,0.0,True
T_WDNSO-2,65184,357,2024-11-06,2025-10-28,0,,,0,,,191,0.0,0.0,True
I_IBG-PETC1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,False
T_KEAD-2,97708,357,2024-11-06,2025-10-28,65167,72.98550155753681,0,97656,97.04907696403697,0,900,0.0,0.0,False
T_NURSB-1,145728,357,2024-11-06,2025-10-28,76189,50.33965690585254,0,135308,155.63238455967127,0,98,0.0,0.0,True
E_JAMBB-1,121016,357,2024-11-06,2025-10-28,89065,89.69459967439505,0,93212,126.5797437025276,0,60,0.0,0.0,True
T_TEBWB-1,65184,357,2024-11-06,2025-10-28,108,28.411111111111108,0,3414,482.5910896309314,0,79,0.0,0.0,True
E_SOLUTIA,65184,357,2024-11-06,2025-10-28,64348,85.4288866786846,0,65184,198.30863402061848,0,16,0.0,0.0,True
T_TYLNB-1,108158,357,2024-11-06,2025-10-28,54752,48.029544491525435,0,79768,118.22262122655697,0,114,0.0,0.0,True
E_DBFRM-1,65184,357,2024-11-06,2025-10-28,61113,94.2289993945642,0,61691,127.01437600298269,0,40,0.0,0.0,True
E_FARNB-1,115970,357,2024-11-06,2025-10-28,88334,103.68381031086558,0,91641,138.74526150958633,0,40,0.0,0.0,True
E_BROAB-1,116897,357,2024-11-06,2025-10-28,90973,113.42131401624655,0,94640,150.62807259087052,0,22,0.0,0.0,True
E_RAKE-1,65184,357,2024-11-06,2025-10-28,61204,94.09765913992547,0,61615,126.50999545565207,0,40,0.0,0.0,True
E_CATHB-1,29204,154,2025-05-28,2025-10-28,0,,,0,,,0,0.0,0.0,True
T_CARR-1,130368,357,2024-11-06,2025-10-28,124102,69.39001611577574,0,130368,119.46039564923908,0,430,0.0,0.0,True
T_LNCSW-2,65184,357,2024-11-06,2025-10-28,32592,100.0,0,0,,,150,0.0,0.0,True
E_BROFB-1,70743,357,2024-11-06,2025-10-28,7985,48.53484658735128,0,10139,122.98497780846238,0,99,0.0,0.0,True
E_OLDHB-1,120999,357,2024-11-06,2025-10-28,49343,58.245849664592754,0,56325,126.93273058144698,0,9999,0.0,0.0,False
T_HMGTO-2,65184,357,2024-11-06,2025-10-28,0,,,32592,8000.0,0,111,0.0,0.0,True
E_ABERDARE,65184,357,2024-11-06,2025-10-28,64276,83.6862903727674,0,65184,180.6090451644575,0,16,0.0,0.0,True
E_GYAR-1,97653,357,2024-11-06,2025-10-28,65061,64.28024838228741,0,97653,129.7818909813319,0,420,0.0,0.0,True
E_BURGH-1,65184,357,2024-11-06,2025-10-28,65094,157.9184717485482,0,65184,279.70081615120256,0,50,0.0,0.0,True
2__FBPGM001,88016,357,2024-11-06,2025-10-28,73616,59.146504835905255,0,82964,118.97890820114755,0,66,0.0,0.0,True
T_PNYCB-1,81744,357,2024-11-06,2025-10-28,55514,58.50349173181541,0,68553,154.38371231018334,0,44,0.0,0.0,True
I_ING-RISQ1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
V__MCEND001,65184,357,2024-11-06,2025-10-28,24899,63.754827904735144,0,26184,84.0260399480599,0,99,0.0,0.0,True
T_FALGW-1,65184,357,2024-11-06,2025-10-28,0,,,13506,999.0,0,144,0.0,0.0,False
T_NLSTB-1,82448,357,2024-11-06,2025-10-28,22024,59.95626180530329,0,33778,88.80168423234055,0,50,0.0,0.0,True
E_NEWTB-1,70346,357,2024-11-06,2025-10-28,7869,49.51018935061634,0,47108,420.1974985140529,0,99,0.0,0.0,True
T_TWSHW-1,65184,357,2024-11-06,2025-10-28,0,,,65184,999.0,0,38,0.0,0.0,False
T_SPLN-1,135575,357,2024-11-06,2025-10-28,133093,66.14068493459466,0,135562,127.60218564199405,0,880,0.0,0.0,False
T_HMGTO-1,65184,357,2024-11-06,2025-10-28,0,,,32592,8000.0,0,108,0.0,0.0,True
E_ILMEB-1,138596,357,2024-11-06,2025-10-28,97652,104.99524351779786,0,102188,143.12118536423066,0,99,0.0,0.0,True
T_BDCHW-1,65184,357,2024-11-06,2025-10-28,412,45.99733009708737,0,34103,7646.609714394633,0,26,0.0,0.0,True
E_CLAYB-2,108929,357,2024-11-06,2025-10-28,85601,169.32027219308176,0,89744,203.05466159297552,0,100,0.0,0.0,True
T_WDRGW-1,65184,357,2024-11-06,2025-10-28,0,,,59480,999.0,0,43,0.0,0.0,False
E_ARNKB-2,94422,357,2024-11-06,2025-10-28,37591,205.03606820781587,0,38808,208.59464852607715,0,20,0.0,0.0,True
E_SHILB-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,0,0.0,0.0,True
T_DALQW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,42,0.0,0.0,True
T_WHLWB-1,98059,357,2024-11-06,2025-10-28,61853,1795.6297194962235,0,61860,1795.3221317491111,0,500,0.0,0.0,False
E_ARBRB-1,65184,357,2024-11-06,2025-10-28,41298,27.84134728074,0,29984,118.68409218249735,0,35,0.0,0.0,True
E_CUPAB-1,65184,357,2024-11-06,2025-10-28,33108,26.918974870122003,0,30800,111.55452337662338,0,40,0.0,0.0,True
T_STRNW-1,65184,357,2024-11-06,2025-10-28,32580,100.0,0,32580,500.0,0,200,0.0,0.0,False
T_LNCSW-1,65184,357,2024-11-06,2025-10-28,32592,100.0,0,0,,,150,0.0,0.0,True
E_BRYBW-1,65184,357,2024-11-06,2025-10-28,0,,,65184,79.27160039273441,0,66,0.0,0.0,True
T_FERRB-1,60768,334,2024-11-29,2025-10-28,0,,,0,,,500,0.0,0.0,True
E_DOLLB-1,130368,357,2024-11-06,2025-10-28,104536,65.93208157955155,0,124934,125.56342668929194,0,99,0.0,0.0,False
T_WISHB-1,66349,357,2024-11-06,2025-10-28,55645,82.18526264713815,0,56751,98.45951207908227,0,100,0.0,0.0,False
T_GLWSW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,55,0.0,0.0,False
T_GRIFW-1,65184,357,2024-11-06,2025-10-28,32588,100.0,0,32588,500.0,0,1000,0.0,0.0,True
E_JAMBB-2,118611,357,2024-11-06,2025-10-28,91741,87.68237429284613,0,96061,135.1384421357263,0,38,0.0,0.0,True
E_BURWB-1,98142,357,2024-11-06,2025-10-28,62003,52.898922632775836,0,78679,149.73752310019202,0,988,0.0,0.0,True
T_CARR-2,130374,357,2024-11-06,2025-10-28,124296,69.26538995623355,0,130374,121.6180963995889,0,430,0.0,0.0,True
E_GRCRB-1,16875,58,2025-09-01,2025-10-28,5443,51.65407312144037,0,6249,121.9735125620099,0,9999,0.0,0.0,False
T_GRIFW-2,65184,357,2024-11-06,2025-10-28,32588,100.0,0,32588,500.0,0,1000,0.0,0.0,True
E_WHTBB-1,16436,88,2025-07-23,2025-10-28,0,,,0,,,0,0.0,0.0,False
T_MYGPW-1,65184,357,2024-11-06,2025-10-28,0,,,9406,10.0,0,25,0.0,0.0,False
E_BRIDGWTR,65184,357,2024-11-06,2025-10-28,64248,79.02717594322009,0,65184,171.83667771232206,0,10,0.0,0.0,True
E_HAWKB-1,116966,357,2024-11-06,2025-10-28,94030,96.93343741359143,0,97721,133.90420626068104,0,40,0.0,0.0,True
T_KENNW-1,65184,357,2024-11-06,2025-10-28,18008,100.0,0,0,,,62,0.0,0.0,False
T_NOKYW-1,42636,224,2025-03-19,2025-10-28,0,,,0,,,0,0.0,0.0,True
E_TOLLB-1,171902,357,2024-11-06,2025-10-28,95857,105.33003411331467,0,113939,153.4340486576151,0,98,0.0,0.0,False
E_BABAW-1,65184,357,2024-11-06,2025-10-28,0,,,65184,75.98582474226808,0,53,0.0,0.0,True
E_ASLVW-1,65184,357,2024-11-06,2025-10-28,0,,,32592,60.0,0,25,0.0,0.0,True
E_CRGTW-1,65184,357,2024-11-06,2025-10-28,0,,,0,,,5,0.0,0.0,False
T_SOKYW-1,65184,357,2024-11-06,2025-10-28,0,,,38661,169.46822379141778,0,235,0.0,0.0,False
T_ROCK-1,101624,357,2024-11-06,2025-10-28,100672,47.71616368006995,0,101624,107.10655632527751,0,800,0.0,0.0,False
T_NOKYW-2,42636,224,2025-03-19,2025-10-28,0,,,0,,,0,0.0,0.0,True
