year;dno_area;type;generation_or_demand;voltage_level;half_hourly_or_non_half_hourly;final_demand_or_non_final_demand;band;thresholds;tariff;tariff_alternative_name;ukpn_tariff_name;unit_rate_1;unit_rate_2;unit_rate_3;fixed_charge;capacity_charge;exceeded_capacity_charge;reactive_power_charge;current_year;thresholds_sort
2026/27;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;5.506;0.563;0.052;17.95;6.06;6.06;0.22;false;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;5.506;0.563;0.052;33.9;6.06;6.06;0.22;false;03 More than 150kVA and less than or equal to 250kVA
2026/27;East of England Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;39.967;3.385;2.051;0.0;0.0;0.0;0.0;false;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;11.716;1.442;0.184;10.82;0.0;0.0;0.0;false;03 More than 13677kWh and less than or equal to 27543kWh
2024/25;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;6.613;0.455;0.087;14.29;5.16;6.63;0.241;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;6.613;0.455;0.087;598.69;5.16;6.63;0.241;false;03 More than 150kVA and less than or equal to 250kVA
2026/27;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;4.326;0.162;0.024;2.35;7.23;7.23;0.522;false;03 More than 150kVA and less than or equal to 250kVA
2026/27;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;1.767;0.0;0.0;0.0;8.95;8.95;0.323;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;4.384;0.376;0.019;53.0;7.64;8.64;0.308;false;04 More than 250kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;8.149;0.937;0.108;33.09;8.04;8.04;0.369;false;02 More than 90kVA and less than or equal to 150kVA
2026/27;East of England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-9.135;-1.124;-0.144;0.0;0.0;0.0;0.459;false;Unknown
2025/26;East of England Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-5.289;-0.514;-0.073;11.92;0.0;0.0;0.263;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;4.802;0.433;0.059;231.94;5.09;5.09;0.181;true;02 More than 500kVA and less than or equal to 1100kVA
2026/27;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;9.881;0.673;0.057;5.87;0.0;0.0;0.0;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;8.516;0.0;0.0;0.0;0.0;0.0;0.0;false;02 More than 3986kWh and less than or equal to 13677kWh
2024/25;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;3.318;0.283;0.013;154.32;7.86;8.78;0.235;false;01 More than 0kVA and less than or equal to 500kVA
2024/25;London Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-6.475;-0.55;-0.088;0.0;0.0;0.0;0.403;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;8.148;0.692;0.11;7.82;0.0;0.0;0.0;false;04 More than 27543kWh
2026/27;South Eastern England Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-7.007;-0.218;-0.069;12.47;0.0;0.0;0.271;false;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;6.01;0.177;0.056;360.69;6.66;6.66;0.186;false;01 More than 0kVA and less than or equal to 500kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;6.01;0.177;0.056;832.37;6.66;6.66;0.186;false;03 More than 1100kVA and less than or equal to 2000kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;11.311;0.389;0.121;182.28;8.57;8.57;0.361;false;04 More than 250kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-12.382;-0.448;-0.139;0.0;0.0;0.0;0.412;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-6.173;-0.207;-0.065;13.66;0.0;0.0;0.22;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;1.0;More than 0kWh and less than or equal to 3986kWh;Non-Domestic Aggregated Band 1;Non-Domestic Aggregated or CT Band 1;Non-Domestic Aggregated or CT Band 1;11.894;0.446;0.152;11.78;0.0;0.0;0.0;false;01 More than 0kWh and less than or equal to 3986kWh
