year;dno_area;type;generation_or_demand;voltage_level;half_hourly_or_non_half_hourly;final_demand_or_non_final_demand;band;thresholds;tariff;tariff_alternative_name;ukpn_tariff_name;unit_rate_1;unit_rate_2;unit_rate_3;fixed_charge;capacity_charge;exceeded_capacity_charge;reactive_power_charge;current_year;thresholds_sort
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;5.569;0.181;0.054;1874.44;4.86;7.2;0.174;false;01 More than 0kVA and less than or equal to 500kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;5.569;0.181;0.054;9743.87;4.86;7.2;0.174;false;02 More than 500kVA and less than or equal to 1100kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;5.569;0.181;0.054;8514.0;4.86;7.2;0.174;false;03 More than 1100kVA and less than or equal to 2000kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;9.862;0.358;0.12;18.94;4.34;7.73;0.32;false;Unknown
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;11.069;0.373;0.167;27.82;8.1;8.1;0.36;true;02 More than 90kVA and less than or equal to 150kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;5.598;0.354;0.067;3456.32;4.34;5.93;0.195;false;02 More than 500kVA and less than or equal to 1100kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;5.598;0.354;0.067;1470.22;4.34;5.93;0.195;false;01 More than 0kVA and less than or equal to 500kVA
2026/27;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;3.44;0.262;0.008;120.55;9.19;9.19;0.244;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;4.737;0.362;0.012;11.91;8.95;8.95;0.323;false;Unknown
2024/25;London Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;36.788;2.632;1.087;0.0;0.0;0.0;0.0;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;8.148;0.692;0.11;4.67;0.0;0.0;0.0;false;02 More than 3986kWh and less than or equal to 13677kWh
2026/27;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;4.837;0.457;0.038;855.53;5.31;5.31;0.183;false;04 More than 2000kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;9.93;0.746;0.149;16.93;4.15;8.23;0.394;false;Unknown
2025/26;East of England Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-7.068;-0.773;-0.125;0.0;0.0;0.0;0.0;true;Unknown
2026/27;London Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-6.263;-0.436;-0.032;0.0;0.0;0.0;0.0;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;1.649;0.0;0.0;0.0;8.95;8.95;0.323;false;03 More than 150kVA and less than or equal to 250kVA
2024/25;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;3.318;0.283;0.013;209.44;7.86;8.78;0.235;false;02 More than 500kVA and less than or equal to 1100kVA
2024/25;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;6.618;0.564;0.073;18.47;4.55;6.91;0.489;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;6.618;0.564;0.073;54.92;4.55;6.91;0.489;false;04 More than 250kVA
2025/26;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;2.888;0.156;0.012;20.22;4.37;4.37;0.193;true;02 More than 90kVA and less than or equal to 150kVA
2025/26;London Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;21.136;3.314;2.533;0.0;0.0;0.0;0.0;true;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;2.0;More than 500kVA and less than or equal to 1100kVA;HV Site Specific Band 2;HV Site Specific Band 2;HV Site Specific Band 2;6.01;0.177;0.056;636.85;6.66;6.66;0.186;false;02 More than 500kVA and less than or equal to 1100kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;15.864;0.574;0.178;22.2;0.0;0.0;0.0;false;04 More than 27543kWh
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;11.894;0.446;0.152;6.1;0.0;0.0;0.0;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;9.862;0.358;0.12;439.77;4.34;7.73;0.32;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-8.979;-0.33;-0.111;0.0;0.0;0.0;0.0;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;6.35;0.215;0.069;725.09;6.32;8.03;0.201;false;02 More than 90kVA and less than or equal to 150kVA
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;16.045;0.569;0.256;7.85;0.0;0.0;0.0;true;Unknown
2025/26;South Eastern England Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;20.274;0.719;0.324;7.55;0.0;0.0;0.0;true;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;8.149;0.937;0.108;66.66;8.04;8.04;0.369;false;04 More than 250kVA
2026/27;East of England Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-7.369;-0.865;-0.103;0.0;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;1.0;More than 0kWh and less than or equal to 3986kWh;Non-Domestic Aggregated Band 1;Non-Domestic Aggregated or CT Band 1;Non-Domestic Aggregated or CT Band 1;10.991;0.864;0.176;9.94;0.0;0.0;0.0;false;01 More than 0kWh and less than or equal to 3986kWh
2026/27;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;4.257;0.162;0.024;2.35;7.23;7.23;0.522;false;04 More than 250kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;11.716;1.442;0.184;9.42;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;5.598;0.354;0.067;16646.33;4.34;5.93;0.195;false;04 More than 2000kVA
2024/25;East of England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-9.312;-0.732;-0.149;0.0;0.0;0.0;0.356;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;10.991;0.864;0.176;132.14;0.0;0.0;0.0;false;04 More than 27543kWh
2025/26;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;4.0;More than 2000kVA;HV Site Specific Band 4;HV Site Specific Band 4;HV Site Specific Band 4;4.802;0.433;0.059;494.2;5.09;5.09;0.181;true;04 More than 2000kVA
2025/26;East of England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-8.615;-0.982;-0.165;0.0;0.0;0.0;0.425;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;8.507;0.914;0.145;24.82;7.41;7.41;0.373;true;02 More than 90kVA and less than or equal to 150kVA
2025/26;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;5.536;0.538;0.077;14.96;5.66;5.66;0.221;true;Unknown
2025/26;East of England Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;14.459;1.649;0.277;8.09;0.0;0.0;0.0;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;11.834;1.349;0.226;9.25;0.0;0.0;0.0;true;03 More than 13677kWh and less than or equal to 27543kWh
2026/27;London Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-7.578;-0.516;-0.043;0.0;0.0;0.0;0.48;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;4.444;0.162;0.024;2.35;7.23;7.23;0.522;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;3.318;0.283;0.013;267.72;7.86;8.78;0.235;false;03 More than 1100kVA and less than or equal to 2000kVA
2024/25;London Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-6.475;-0.55;-0.088;0.0;0.0;0.0;0.0;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;1.0;More than 0kWh and less than or equal to 3986kWh;Non-Domestic Aggregated Band 1;Non-Domestic Aggregated or CT Band 1;Non-Domestic Aggregated or CT Band 1;8.148;0.692;0.11;4.36;0.0;0.0;0.0;false;01 More than 0kWh and less than or equal to 3986kWh
2024/25;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;6.618;0.564;0.073;21.39;4.55;6.91;0.489;false;02 More than 90kVA and less than or equal to 150kVA
2024/25;London Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-6.475;-0.55;-0.088;0.0;0.0;0.0;0.403;false;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;2.141;0.111;0.008;218.11;4.49;4.49;0.147;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;5.221;0.282;0.074;5.97;0.0;0.0;0.0;true;04 More than 27543kWh
2026/27;South Eastern England Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;21.23;0.768;0.238;9.56;0.0;0.0;0.0;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-10.397;-0.39;-0.133;0.0;0.0;0.0;0.311;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;6.35;0.215;0.069;16.01;6.32;8.03;0.201;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;11.894;0.446;0.152;37.16;0.0;0.0;0.0;false;02 More than 3986kWh and less than or equal to 13677kWh
2025/26;South Eastern England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-12.14;-0.431;-0.194;0.0;0.0;0.0;0.401;true;Unknown
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;11.069;0.373;0.167;23.9;8.1;8.1;0.36;true;01 More than 0kVA and less than or equal to 90kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;4.837;0.457;0.038;408.23;5.31;5.31;0.183;false;03 More than 1100kVA and less than or equal to 2000kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;5.506;0.563;0.052;25.12;6.06;6.06;0.22;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;East of England Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-5.984;-0.406;-0.077;12.28;0.0;0.0;0.248;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;5.598;0.354;0.067;162.56;4.34;5.93;0.195;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-9.312;-0.732;-0.149;0.0;0.0;0.0;0.356;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;10.991;0.864;0.176;5.86;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;9.93;0.746;0.149;246.32;4.15;8.23;0.394;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;9.93;0.746;0.149;360.25;4.15;8.23;0.394;false;02 More than 90kVA and less than or equal to 150kVA
2025/26;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;4.802;0.433;0.059;163.46;5.09;5.09;0.181;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;8.507;0.914;0.145;41.37;7.41;7.41;0.373;true;04 More than 250kVA
2025/26;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;5.536;0.538;0.077;25.61;5.66;5.66;0.221;true;03 More than 150kVA and less than or equal to 250kVA
2026/27;London Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-7.578;-0.516;-0.043;0.0;0.0;0.0;0.0;false;Unknown
2026/27;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;1.711;0.0;0.0;0.0;8.95;8.95;0.323;false;02 More than 90kVA and less than or equal to 150kVA
2026/27;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;7.992;0.0;0.0;0.0;0.0;0.0;0.0;false;03 More than 13677kWh and less than or equal to 27543kWh
2024/25;London Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-3.787;-0.325;-0.017;8.96;0.0;0.0;0.308;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;8.148;0.692;0.11;4.29;0.0;0.0;0.0;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;6.618;0.564;0.073;28.37;4.55;6.91;0.489;false;03 More than 150kVA and less than or equal to 250kVA
2024/25;London Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-5.635;-0.48;-0.068;0.0;0.0;0.0;0.0;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;8.148;0.692;0.11;5.34;0.0;0.0;0.0;false;03 More than 13677kWh and less than or equal to 27543kWh
2025/26;London Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-4.066;-0.22;-0.058;0.0;0.0;0.0;0.262;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;2.888;0.156;0.012;20.14;4.37;4.37;0.193;true;01 More than 0kVA and less than or equal to 90kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;1.0;More than 0kWh and less than or equal to 3986kWh;Non-Domestic Aggregated Band 1;Non-Domestic Aggregated or CT Band 1;Non-Domestic Aggregated or CT Band 1;15.864;0.574;0.178;10.04;0.0;0.0;0.0;false;01 More than 0kWh and less than or equal to 3986kWh
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;11.311;0.389;0.121;46.56;8.57;8.57;0.361;false;01 More than 0kVA and less than or equal to 90kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;11.311;0.389;0.121;89.87;8.57;8.57;0.361;false;03 More than 150kVA and less than or equal to 250kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;6.923;0.215;0.068;178.84;7.39;7.39;0.214;false;04 More than 250kVA
2026/27;South Eastern England Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;57.601;2.566;2.041;0.0;0.0;0.0;0.0;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;9.862;0.358;0.12;1176.88;4.34;7.73;0.32;false;03 More than 150kVA and less than or equal to 250kVA
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;11.069;0.373;0.167;17.65;8.1;8.1;0.36;true;Unknown
2025/26;South Eastern England Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-9.936;-0.341;-0.153;0.0;0.0;0.0;0.0;true;Unknown
2025/26;South Eastern England Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;49.915;2.366;2.018;0.0;0.0;0.0;0.0;true;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;4.837;0.457;0.038;240.75;5.31;5.31;0.183;false;01 More than 0kVA and less than or equal to 500kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;4.837;0.457;0.038;181.7;5.31;5.31;0.183;false;Unknown
2026/27;East of England Electricity Network;Non Domestic;Generation;LV;Half Hourly;;;;LV Generation Site Specific;LV Generation Site Specific;LV Generation Site Specific;-9.135;-1.124;-0.144;0.0;0.0;0.0;0.459;false;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;5.506;0.563;0.052;63.12;6.06;6.06;0.22;false;04 More than 250kVA
2024/25;East of England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-9.312;-0.732;-0.149;0.0;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;9.93;0.746;0.149;601.32;4.15;8.23;0.394;false;03 More than 150kVA and less than or equal to 250kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;6.613;0.455;0.087;1268.63;5.16;6.63;0.241;false;04 More than 250kVA
2024/25;East of England Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;15.296;1.203;0.246;13.5;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;10.991;0.864;0.176;43.78;0.0;0.0;0.0;false;03 More than 13677kWh and less than or equal to 27543kWh
2025/26;East of England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-8.615;-0.982;-0.165;0.0;0.0;0.0;0.0;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;11.834;1.349;0.226;8.47;0.0;0.0;0.0;true;Unknown
