DNO_Name,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
Electricity North West,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",0.932,1.104,1.003567901234568,1.0,G,North West,243,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,AMBER,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.215792367597226,5.670204059224996,3.052582129850795,2.704089921035211,G,North West,16,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.14,18.089,7.473434782608696,3.224,G,North West,23,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.09,11.542,4.770086956521738,2.057,G,North West,23,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.932,1.097,1.002946502057613,1.0,G,North West,243,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.3877958413887705,10.81635968414084,3.977571942558445,3.741705820967326,G,North West,102,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.14,18.089,7.151,3.224,G,North West,15,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.09,11.542,4.023421052631579,2.057,G,North West,19,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.932,1.115,1.003814814814815,1.0,G,North West,243,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
Electricity North West,16,ENWL,ENWL,RED,16:00-19:00 (weekdays) (default),0.21,12.46,4.806661929678198,3.165252543227262,G,North West,66,p/kWh,dno_data_enhanced/enwl---schedule-of-charges-and-other-tables--2025-v2_0.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.242,11.93,5.751173913043478,1.63,C,London,23,p/kWh,dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx
National Grid Electricity Distribution – East Midlands (EMID),12,UKPN-LPN,LPN,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",0.159,7.84,3.780695652173914,1.072,C,London,23,p/kWh,dno_data_enhanced/MIDE - Schedule of charges and other tables- 2025 V.0.1 for publishing.xlsx
