Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.185,3.97,2.261315789473684,2.838,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.126,2.7,1.672894736842105,1.931,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.111,1.14,1.121,1.112,K,South Wales,3,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.885990209819547,6.80786043388864,3.085775085148004,2.33919357127443,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2015,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.469387755102041,1.0,K,South Wales,49,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
2016,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,5.56,3.477,2.959,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.24,2.633333333333333,2.012,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.461077844311377,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.189,5.56,2.778421052631579,3.209,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.128,4.24,2.144736842105263,2.182,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.022,1.083,1.042333333333333,1.026,K,South Wales,9,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.808626102339112,2.72800403796634,1.70181352353189,1.81684817838612,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.474576271186441,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.44,2.969333333333333,2.78,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.02,2.104333333333333,1.889,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.461077844311377,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.201,4.44,2.527368421052632,3.363,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.137,3.02,1.853157894736842,2.285,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.022,1.083,1.042333333333333,1.026,K,South Wales,9,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.8570814014687933,2.860210265161331,1.772826730909281,1.866965294624207,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
