DNO_Name,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.885990209819547,6.80786043388864,3.085775085148004,2.33919357127443,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South Wales (SWALES),21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.469387755102041,1.0,K,South Wales,49,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.56,3.060666666666666,2.91,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.89,2.038,1.846,L,South Western,15,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.45679012345679,1.0,L,South Western,162,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.204,4.56,2.557631578947368,3.355,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.129,2.89,1.775526315789474,2.128,L,South Western,19,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.017,1.035,1.02425,1.024,L,South Western,12,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),0.0681183385342382,16.77843657900567,5.006193506896978,1.393240726612257,L,South Western,7,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
National Grid Electricity Distribution – South West (SWEST),22,NGED-SW,SWEST,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.469387755102041,1.0,L,South Western,49,p/kWh,dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-2015-V1-10.xlsx
