file_path,dno_name,mpan_code,year,band,sheet_name,time_period,min_rate,max_rate,mean_rate,median_rate,count,unit
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,RED,Annex 4 LDNO charges_N,16:00-19:00 (weekdays) (default),0.012,5.173,1.9233333333333331,0.585,15,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,GREEN,Annex 4 LDNO charges_N,"23:00-07:00 (all days), all day (weekends) (default)",0.012,20.18,6.544652173913043,0.585,23,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,RED,Annex 7 Pass-Through Costs_N,16:00-19:00 (weekdays) (default),0.0797710879447593,0.0797710879447593,0.0797710879447593,0.0797710879447593,8,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,AMBER,Annex 7 Pass-Through Costs_N,"07:00-16:00, 19:00-23:00 (weekdays) (default)",9.263345010360473,9.263345010360473,9.263345010360473,9.263345010360473,8,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,GREEN,Annex 7 Pass-Through Costs_N,"23:00-07:00 (all days), all day (weekends) (default)",0.03449169710709,0.03449169710709,0.03449169710709,0.03449169710709,158,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,RED,Nodal prices_N,16:00-19:00 (weekdays) (default),2.0,3.28739163379731,2.643695816898655,3.28739163379731,2,p/kWh
dno_data_enhanced/shepd_schedule-of-charges-and-other-tables-april-2022.xlsx,SSEN Hydro,17.0,2022,GREEN,Nodal prices_N,"23:00-07:00 (all days), all day (weekends) (default)",3.0,3.0,3.0,3.0,1,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,RED,Annex 1 LV and HV charges,16:00-19:00 (weekdays) (default),0.155,4.66,2.667105263157895,3.72,19,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,GREEN,Annex 1 LV and HV charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.66,3.1633333333333336,3.098,15,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,RED,Annex 4 LDNO charges,16:00-19:00 (weekdays) (default),0.097,2.93,1.833157894736842,2.339,19,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,GREEN,Annex 4 LDNO charges,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.93,2.088,1.948,15,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,RED,Annex 5 LLFs,16:00-19:00 (weekdays) (default),1.017,1.035,1.0230555555555556,1.021,18,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,RED,Nodal prices,16:00-19:00 (weekdays) (default),0.1438790231853718,15.514575788575728,5.103095658110782,1.2947442518786632,7,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,RED,SSC TPR unit rate lookup,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,59,p/kWh
dno_data_enhanced/SWEB-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx,National Grid South West,22.0,2017,GREEN,SSC TPR unit rate lookup,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,167,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Fixed inputs,16:00-19:00 (weekdays) (default),1.0,1.0,1.0,1.0,7,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,AMBER,Fixed inputs,"07:00-16:00, 19:00-23:00 (weekdays) (default)",1.0,1.0,1.0,1.0,6,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,GREEN,Fixed inputs,"23:00-07:00 (all days), all day (weekends) (default)",1.0,1.0,1.0,1.0,5,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,MEAV,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Capitalised,16:00-19:00 (weekdays) (default),0.8936346597538318,0.8936346597538318,0.8936346597538318,0.8936346597538318,1,p/kWh
dno_data_enhanced/Northern Powergrid (Yorkshire) - 2025-26 PCDM Model v0.1.xlsx,Northern Powergrid Yorkshire,15.0,2025,RED,Rev allocation,16:00-19:00 (weekdays) (default),0.0277541303765591,1.0,0.3289923165742675,0.2094777661909504,32,p/kWh
