Date,SP,BSUoS £/MWh,Half hourly cost £,Half hourly volume MWh
01-Apr-19,1,1.9,44296,23253
01-Apr-19,2,2.19,52337,23900
01-Apr-19,3,1.22,29610,24316
01-Apr-19,4,2.45,60176,24602
01-Apr-19,5,2.28,55840,24470
01-Apr-19,6,2.05,49666,24186
01-Apr-19,7,2.6,62268,23951
01-Apr-19,8,2.5,59735,23850
01-Apr-19,9,2.28,54051,23740
01-Apr-19,10,1.95,46560,23934
01-Apr-19,11,2.24,55128,24599
01-Apr-19,12,1.8,47624,26448
01-Apr-19,13,1.84,52664,28545
01-Apr-19,14,2.06,63308,30769
01-Apr-19,15,0.82,26955,32752
01-Apr-19,16,0.85,28348,33503
01-Apr-19,17,0.74,24643,33344
01-Apr-19,18,0.4,13080,32736
01-Apr-19,19,0.83,27059,32433
01-Apr-19,20,0.37,12040,32299
01-Apr-19,21,0.65,20989,32236
01-Apr-19,22,0.61,19396,31865
01-Apr-19,23,1.17,36679,31289
01-Apr-19,24,1.24,38466,31138
01-Apr-19,25,1.8,56078,31079
01-Apr-19,26,1.25,38620,30862
01-Apr-19,27,0.83,25470,30742
01-Apr-19,28,0.86,26358,30760
01-Apr-19,29,0.47,14508,30789
01-Apr-19,30,0.56,17359,30879
01-Apr-19,31,0.44,13792,31176
01-Apr-19,32,0.73,23072,31823
01-Apr-19,33,0.81,26676,32810
01-Apr-19,34,1.22,41324,33904
01-Apr-19,35,2.06,71396,34583
01-Apr-19,36,1.82,63197,34783
01-Apr-19,37,0.77,26814,34808
01-Apr-19,38,1.94,67870,34923
01-Apr-19,39,1.39,49113,35433
01-Apr-19,40,1.26,45793,36342
01-Apr-19,41,1.78,64716,36390
01-Apr-19,42,1.2,42146,35159
01-Apr-19,43,1.23,40942,33378
01-Apr-19,44,0.98,30908,31420
01-Apr-19,45,0.99,29175,29361
01-Apr-19,46,0.52,14339,27451
01-Apr-19,47,1.84,47949,26060
01-Apr-19,48,2.57,63067,24549
02-Apr-19,1,3.19,76289,23906
02-Apr-19,2,3.24,78082,24119
02-Apr-19,3,2.56,62499,24422
02-Apr-19,4,3.0,74115,24673
02-Apr-19,5,2.71,67095,24755
02-Apr-19,6,2.3,56500,24587
02-Apr-19,7,2.81,68516,24345
02-Apr-19,8,2.77,66941,24143
02-Apr-19,9,2.52,60549,24071
02-Apr-19,10,2.23,54044,24219
02-Apr-19,11,2.41,59544,24712
02-Apr-19,12,2.25,59223,26334
02-Apr-19,13,2.2,62310,28276
02-Apr-19,14,2.42,73659,30394
02-Apr-19,15,0.57,18371,32396
02-Apr-19,16,0.4,13412,33476
02-Apr-19,17,0.46,15280,33506
02-Apr-19,18,0.23,7519,32902
02-Apr-19,19,0.61,19903,32495
02-Apr-19,20,0.36,11576,32136
02-Apr-19,21,0.77,24456,31899
02-Apr-19,22,0.78,24943,31836
02-Apr-19,23,1.42,45411,31871
02-Apr-19,24,1.54,49251,31941
02-Apr-19,25,2.03,64381,31779
02-Apr-19,26,1.52,47772,31329
02-Apr-19,27,1.05,32559,30915
02-Apr-19,28,1.08,33201,30702
02-Apr-19,29,0.8,24567,30660
02-Apr-19,30,0.91,27804,30525
02-Apr-19,31,0.68,20792,30595
02-Apr-19,32,0.69,21640,31144
02-Apr-19,33,0.7,22286,31955
02-Apr-19,34,0.95,31382,32949
02-Apr-19,35,1.58,53406,33752
02-Apr-19,36,1.41,48209,34296
02-Apr-19,37,0.37,12626,34460
02-Apr-19,38,1.4,48203,34517
02-Apr-19,39,0.95,33296,34996
02-Apr-19,40,0.66,23679,35673
02-Apr-19,41,1.18,42200,35639
02-Apr-19,42,0.56,19406,34660
02-Apr-19,43,0.76,25290,33196
02-Apr-19,44,0.78,24647,31434
02-Apr-19,45,0.94,27669,29564
02-Apr-19,46,0.26,7159,27589
02-Apr-19,47,2.15,55274,25744
02-Apr-19,48,2.38,58777,24724
03-Apr-19,1,2.71,68142,25165
03-Apr-19,2,2.8,71923,25647
03-Apr-19,3,1.85,48891,26497
03-Apr-19,4,2.27,61169,26890
03-Apr-19,5,2.28,60073,26399
03-Apr-19,6,2.05,53033,25875
03-Apr-19,7,2.44,62526,25630
03-Apr-19,8,2.39,60679,25412
03-Apr-19,9,2.05,51885,25287
03-Apr-19,10,1.65,42291,25556
03-Apr-19,11,2.1,55128,26264
03-Apr-19,12,1.65,46577,28174
03-Apr-19,13,1.76,53503,30314
03-Apr-19,14,1.96,63863,32563
03-Apr-19,15,0.77,26509,34541
03-Apr-19,16,0.09,3069,35167
03-Apr-19,17,0.18,6426,34765
03-Apr-19,18,0.0,0,34033
03-Apr-19,19,0.34,11218,33470
03-Apr-19,20,0.0,0,33003
03-Apr-19,21,0.29,9638,32819
03-Apr-19,22,0.21,6833,32693
03-Apr-19,23,0.83,27051,32604
03-Apr-19,24,0.89,29203,32661
03-Apr-19,25,1.42,46352,32551
03-Apr-19,26,0.89,28817,32217
03-Apr-19,27,0.59,18825,31811
03-Apr-19,28,0.56,17590,31566
03-Apr-19,29,0.29,9089,31556
03-Apr-19,30,0.37,11684,31522
03-Apr-19,31,0.14,4409,31662
03-Apr-19,32,0.18,5769,32223
03-Apr-19,33,0.29,9603,33180
03-Apr-19,34,0.54,18570,34265
03-Apr-19,35,1.31,45720,34963
03-Apr-19,36,1.0,35295,35185
03-Apr-19,37,0.0,0,35363
03-Apr-19,38,1.05,37336,35540
03-Apr-19,39,0.74,26492,35826
03-Apr-19,40,0.62,22581,36610
03-Apr-19,41,1.12,41283,36804
03-Apr-19,42,0.56,20065,35798
03-Apr-19,43,0.66,22633,34322
03-Apr-19,44,0.61,19783,32661
03-Apr-19,45,0.86,25994,30162
03-Apr-19,46,0.37,10459,28220
03-Apr-19,47,1.64,44568,27221
03-Apr-19,48,2.31,60121,25992
04-Apr-19,1,2.04,50159,24644
04-Apr-19,2,1.8,43637,24301
04-Apr-19,3,1.49,37405,25146
04-Apr-19,4,1.14,29351,25636
04-Apr-19,5,0.98,25110,25598
04-Apr-19,6,1.38,35049,25452
04-Apr-19,7,1.48,37530,25418
04-Apr-19,8,1.39,35371,25531
04-Apr-19,9,1.81,46107,25510
04-Apr-19,10,1.25,32088,25654
04-Apr-19,11,1.28,33512,26147
04-Apr-19,12,1.37,38388,28015
04-Apr-19,13,1.61,49051,30391
04-Apr-19,14,1.79,58962,32962
04-Apr-19,15,0.0,0,35190
04-Apr-19,16,0.06,2266,35850
04-Apr-19,17,0.15,5405,35419
04-Apr-19,18,0.0,0,34792
04-Apr-19,19,0.52,18006,34676
04-Apr-19,20,0.15,5315,34442
