Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/09/2025,9.2,9.2,0.9,20.4,143.9,10.2,2.3,196.1,44.56,0,0,0.0,0,0,20.0
01/10/2025,9.3,9.7,0.9,26.2,211.5,17.4,2.3,277.3,97.04,0,0,0.0,0,0,22.8
01/11/2025,9.6,10.3,1.0,28.4,212.6,20.4,2.3,284.6,93.91,0,0,0.0,0,0,24.2
01/12/2025,9.6,10.8,1.0,28.8,177.2,21.1,2.3,250.8,97.04,0,0,0.0,0,0,25.4
01/01/2026,9.5,11.3,1.0,29.3,150.5,20.7,2.3,224.6,97.04,0,0,0.0,0,0,26.1
01/02/2026,9.5,11.5,1.0,29.5,199.1,23.0,2.3,275.9,87.65,0,0,0.0,0,0,23.4
01/03/2026,9.3,12.1,1.0,29.2,186.5,20.6,2.3,261.0,97.04,0,0,0.0,0,0,23.8
01/04/2026,9.3,11.9,1.0,27.7,123.9,19.0,2.3,195.1,69.17,0,0,1.2,0,0,20.9
01/05/2026,9.2,12.3,1.0,27.6,136.3,19.4,2.3,208.1,71.47,0,0,1.2,0,0,19.5
01/06/2026,8.9,12.4,1.0,27.2,170.1,18.0,2.3,239.9,69.17,0,0,1.2,0,0,18.5
01/07/2026,9.0,12.7,1.0,27.4,132.2,18.5,2.3,203.1,71.47,0,0,1.2,0,0,19.2
01/08/2026,8.8,13.2,1.0,27.6,135.5,19.7,2.3,208.1,71.47,0,0,1.2,0,0,19.2
01/09/2026,8.5,13.2,1.0,27.7,164.6,18.1,2.3,235.4,69.17,0,0,1.2,0,0,19.8
01/10/2026,7.8,14.9,1.0,28.2,203.8,18.6,2.3,276.6,71.47,0,0,1.2,0,0,22.1
01/11/2026,7.5,16.1,0.9,28.6,185.0,20.3,2.3,260.7,69.17,0,0,1.2,0,0,23.8
01/12/2026,7.1,18.5,1.0,29.5,158.2,21.0,2.3,237.6,71.47,0,0,1.2,0,0,25.4
01/01/2027,6.0,19.3,1.0,29.4,115.8,20.0,2.3,193.8,71.47,0,0,1.2,0,0,26.0
01/02/2027,4.9,19.2,1.0,27.7,116.9,19.1,2.3,191.1,64.56,0,0,1.2,0,0,23.2
01/03/2027,4.6,21.2,1.0,29.1,107.0,19.2,2.3,184.4,71.47,0,0,1.2,0,0,23.5
01/04/2027,4.0,20.7,0.9,28.0,93.3,19.5,2.3,168.7,68.98,0,0,2.8,0,0,21.0
01/05/2027,4.2,20.9,0.9,28.0,94.6,19.7,2.3,170.6,71.28,0,0,2.8,0,0,19.3
01/06/2027,4.1,20.2,0.9,27.1,96.8,19.3,2.3,170.7,68.98,0,0,2.8,0,0,18.3
01/07/2027,4.1,21.5,0.8,28.2,94.3,22.6,2.3,173.8,71.28,0,0,2.8,0,0,18.8
01/08/2027,4.2,22.6,0.9,28.7,96.6,21.2,2.3,176.5,71.28,0,0,2.8,0,0,18.9
