DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point
7,20251105,22014,1F,F,30,30,
7,20251105,22067,1A,P,100,230,
7,20251105,19746,4,F,400,400,
7,20251105,19610,1B,T,430,730,Om
7,20251105,29637,2F,F,800,800,
7,20251105,30859,2A,P,830,1200,DM
7,20251105,29031,2B,P,1230,1300,
7,20251105,29238,3B,T,1330,1630,Dm
7,20251105,37152,DP,P,1700,1800,EM
7,20251105,32256,4B,F,2100,2100,
7,20251105,23297,4C,F,2400,2400,
