DATETIME,FPN,BOA,Difference
2024-02-14T00:00:00,192.72000000000008,184.76600000000005,-7.954000000000002
2024-03-23T18:30:00,22.300000000000008,70.01600000000002,47.716
2021-05-04T17:30:00,166.6,159.60399999999996,-6.996
2022-07-28T02:30:00,284.74,286.146,1.406
2022-11-22T22:30:00,260.8,255.52,-5.28
2023-05-25T10:00:00,239.64,237.068,-2.572
2023-06-28T15:00:00,246.28,250.622,4.342
2023-07-16T18:30:00,108.48,119.136,10.656
2023-08-03T02:00:00,50.96,50.934,-0.026
2023-10-02T22:30:00,141.56,159.116,17.555999999999994
2021-05-04T18:00:00,170.14,165.878,-4.262
2021-05-04T18:30:00,176.32,172.06,-4.26
2021-05-04T19:00:00,179.78,178.8,-0.98
2021-05-04T19:30:00,181.86,180.666,-1.194
2021-07-09T18:00:00,297.34,295.306,-2.0340000000000003
2021-07-09T18:30:00,302.08,298.7340000000001,-3.346
2022-04-06T10:00:00,152.98,153.116,0.136
2022-05-26T03:00:00,82.2,93.286,11.086
2022-11-28T16:00:00,314.54,315.894,1.354
2022-12-14T13:00:00,274.32,274.576,0.256
2022-12-16T12:00:00,286.4,292.438,6.037999999999999
2023-01-12T23:30:00,46.6,63.92,17.32
2023-01-21T16:00:00,242.22,247.876,5.6560000000000015
2023-04-16T11:30:00,240.38,236.786,-3.594
2023-05-25T08:30:00,256.68,256.756,0.076
2023-07-06T04:30:00,206.32,202.682,-3.638
2023-08-08T16:00:00,217.64,217.62,-0.02
2023-09-23T01:30:00,122.22,138.346,16.125999999999998
2021-07-09T21:00:00,310.68,308.944,-1.736
2022-01-29T14:30:00,79.34,81.158,1.818
2022-05-08T19:00:00,239.52,240.79,1.27
2022-08-31T05:00:00,258.18,259.148,0.968
2022-11-16T17:00:00,219.48,218.22,-1.26
2023-04-09T13:00:00,35.4,80.294,44.894
2023-04-12T00:00:00,38.94,81.934,42.994
2023-04-21T08:00:00,200.18,196.666,-3.514
2023-05-27T21:30:00,195.02,190.738,-4.282
