DAYSAHEAD,TARGETDATE,FORECASTDEMAND,CARDINALPOINT,CP_TYPE,CP_ST_TIME,CP_END_TIME,F_Point
2,2025-10-31,20766,1F,F,30,30,
2,2025-10-31,20825,1A,P,100,230,
2,2025-10-31,18268,4,F,400,400,Om
2,2025-10-31,18309,1B,T,430,730,
2,2025-10-31,28977,2F,F,800,800,
2,2025-10-31,29937,2A,P,830,1200,DM
2,2025-10-31,28302,2B,P,1230,1300,
2,2025-10-31,28152,3B,T,1330,1630,Dm
2,2025-10-31,33482,DP,P,1700,1800,EM
2,2025-10-31,28374,4B,F,2100,2100,
2,2025-10-31,21141,4C,F,2400,2400,
