Date,SP,BSUoS £/MWh,Half hourly cost £,Half hourly volume MWh
2021-04-04,1,7.07,153209,21679
2021-04-04,2,7.04,149633,21257
2021-04-04,3,7.15,150018,20989
2021-04-04,4,7.0,148684,21233
2021-04-04,5,6.97,148128,21255
2021-04-04,6,7.11,149020,20959
2021-04-04,7,4.9,99049,20220
2021-04-04,8,4.99,99049,19852
2021-04-04,9,5.04,99049,19657
2021-04-04,10,5.15,99049,19226
2021-04-04,11,5.13,99049,19297
2021-04-04,12,5.13,99049,19305
2021-04-04,13,5.36,105444,19660
2021-04-04,14,5.02,99049,19747
2021-04-04,15,4.88,99049,20305
2021-04-04,16,4.83,99049,20514
2021-04-04,17,6.36,132118,20772
2021-04-04,18,6.17,128964,20898
2021-04-04,19,8.45,177240,20974
2021-04-04,20,7.67,158830,20706
2021-04-04,21,11.94,248513,20817
2021-04-04,22,12.45,253356,20346
2021-04-04,23,15.08,296495,19665
2021-04-04,24,15.26,296495,19426
2021-04-04,25,15.3,296495,19377
2021-04-04,26,15.4,296495,19256
2021-04-04,27,15.09,296495,19642
2021-04-04,28,15.62,296495,18986
2021-04-04,29,15.94,296495,18605
2021-04-04,30,16.18,296495,18323
2021-04-04,31,15.77,296495,18797
2021-04-04,32,15.44,296495,19207
2021-04-04,33,15.34,296495,19323
2021-04-04,34,14.95,296495,19837
2021-04-04,35,12.79,265371,20755
2021-04-04,36,13.63,296495,21749
2021-04-04,37,10.45,235418,22537
2021-04-04,38,12.92,296495,22951
2021-04-04,39,12.64,296495,23456
2021-04-04,40,12.49,296495,23735
2021-04-04,41,12.3,296495,24109
2021-04-04,42,12.46,296495,23804
2021-04-04,43,12.86,296495,23049
2021-04-04,44,13.41,296495,22118
2021-04-04,45,12.7,265437,20899
2021-04-04,46,14.7,296495,20167
2021-04-04,47,14.57,296495,20347
2021-04-04,48,14.79,296495,20046
2021-04-05,1,15.02,296495,19740
2021-04-05,2,14.98,296495,19790
2021-04-05,3,14.61,296495,20290
2021-04-05,4,14.2,296495,20881
2021-04-05,5,14.31,296495,20719
2021-04-05,6,14.58,296495,20339
2021-04-05,7,15.19,296495,19521
2021-04-05,8,15.27,296495,19416
2021-04-05,9,14.98,296495,19792
2021-04-05,10,15.12,296495,19613
2021-04-05,11,15.12,296495,19604
2021-04-05,12,14.9,296495,19903
2021-04-05,13,14.38,296495,20623
2021-04-05,14,14.39,296495,20604
2021-04-05,15,14.54,296495,20385
2021-04-05,16,14.07,296495,21067
2021-04-05,17,14.02,296495,21154
2021-04-05,18,13.87,296495,21383
2021-04-05,19,13.57,296495,21843
2021-04-05,20,13.76,296495,21552
2021-04-05,21,13.79,296495,21498
2021-04-05,22,13.94,296495,21276
2021-04-05,23,13.86,296495,21387
2021-04-05,24,13.87,296495,21371
2021-04-05,25,13.57,296495,21841
2021-04-05,26,13.66,296495,21710
2021-04-05,27,13.6,296495,21805
2021-04-05,28,13.79,296495,21504
2021-04-05,29,14.13,296495,20979
2021-04-05,30,14.0,296495,21185
2021-04-05,31,13.99,296495,21190
2021-04-05,32,13.8,296495,21485
2021-04-05,33,13.62,296495,21771
2021-04-05,34,13.33,296495,22245
2021-04-05,35,12.67,296495,23394
2021-04-05,36,11.99,296495,24737
2021-04-05,37,11.56,296495,25657
2021-04-05,38,11.31,296495,26217
2021-04-05,39,11.03,296495,26890
2021-04-05,40,10.83,296495,27383
2021-04-05,41,10.54,296495,28140
2021-04-05,42,10.61,296495,27946
2021-04-05,43,10.97,296495,27020
2021-04-05,44,11.48,296495,25825
2021-04-05,45,12.06,296495,24591
2021-04-05,46,12.61,296495,23519
2021-04-05,47,13.32,296495,22256
2021-04-05,48,13.85,296495,21402
2021-04-06,1,14.14,296495,20970
2021-04-06,2,14.32,296495,20705
2021-04-06,3,14.27,296495,20779
2021-04-06,4,14.05,296495,21096
2021-04-06,5,13.83,296495,21433
2021-04-06,6,13.86,296495,21385
2021-04-06,7,14.03,296495,21138
2021-04-06,8,14.0,296495,21173
2021-04-06,9,14.38,296495,20625
2021-04-06,10,14.32,296495,20699
2021-04-06,11,14.41,296495,20580
2021-04-06,12,14.11,296495,21006
2021-04-06,13,13.07,296495,22689
2021-04-06,14,12.28,296495,24135
2021-04-06,15,11.32,296495,26183
2021-04-06,16,10.89,296495,27220
2021-04-06,17,10.52,296495,28183
2021-04-06,18,10.64,296495,27864
2021-04-06,19,10.8,296495,27454
2021-04-06,20,10.99,296495,26972
2021-04-06,21,11.19,296495,26508
2021-04-06,22,11.41,296495,25997
2021-04-06,23,11.5,296495,25786
2021-04-06,24,11.53,296495,25715
2021-04-06,25,11.39,296495,26029
2021-04-06,26,11.36,296495,26097
2021-04-06,27,11.34,296495,26145
2021-04-06,28,10.41,272931,26214
2021-04-06,29,10.68,276269,25866
2021-04-06,30,10.8,282628,26176
2021-04-06,31,8.77,231263,26357
2021-04-06,32,9.95,263444,26472
2021-04-06,33,7.6,204172,26863
2021-04-06,34,10.16,285296,28089
2021-04-06,35,6.78,198706,29297
2021-04-06,36,6.37,192358,30195
2021-04-06,37,7.77,240816,30986
2021-04-06,38,6.98,219251,31412
2021-04-06,39,6.63,207969,31372
2021-04-06,40,7.37,233008,31599
2021-04-06,41,8.42,268802,31909
2021-04-06,42,6.02,188653,31326
2021-04-06,43,5.6,169693,30281
2021-04-06,44,4.68,135554,28945
2021-04-06,45,4.64,122087,26338
2021-04-06,46,6.13,152046,24797
2021-04-06,47,11.06,260021,23504
