Date,SP,BSUoS £/MWh,Half hourly cost £,Half hourly volume MWh
2020-04-01T00:00:00,1,1.8,38821,21546
2020-04-01T00:00:00,2,2.19,45958,20940
2020-04-01T00:00:00,3,2.31,49467,21436
2020-04-01T00:00:00,4,1.87,40616,21712
2020-04-01T00:00:00,5,2.13,45349,21283
2020-04-01T00:00:00,6,1.97,41271,21000
2020-04-01T00:00:00,7,2.6,53876,20685
2020-04-01T00:00:00,8,2.64,53977,20462
2020-04-01T00:00:00,9,2.67,53211,19964
2020-04-01T00:00:00,10,2.94,58330,19848
2020-04-01T00:00:00,11,2.54,50052,19705
2020-04-01T00:00:00,12,2.02,41436,20474
2020-04-01T00:00:00,13,1.4,31815,22700
2020-04-01T00:00:00,14,1.41,34455,24494
2020-04-01T00:00:00,15,0.55,14685,26698
2020-04-01T00:00:00,16,0.22,6008,27404
2020-04-01T00:00:00,17,0.26,7371,28721
2020-04-01T00:00:00,18,0.22,6298,28255
2020-04-01T00:00:00,19,0.48,13528,28092
2020-04-01T00:00:00,20,0.48,13470,28209
2020-04-01T00:00:00,21,0.29,8206,28119
2020-04-01T00:00:00,22,0.15,4353,28329
2020-04-01T00:00:00,23,0.18,5140,28286
2020-04-01T00:00:00,24,0.32,8988,28347
2020-04-01T00:00:00,25,0.47,13161,28283
2020-04-01T00:00:00,26,0.48,13664,28294
2020-04-01T00:00:00,27,0.83,23249,27887
2020-04-01T00:00:00,28,0.48,13170,27548
2020-04-01T00:00:00,29,0.34,9290,27381
2020-04-01T00:00:00,30,0.62,16953,27267
2020-04-01T00:00:00,31,0.62,16806,27317
2020-04-01T00:00:00,32,0.48,13391,27863
2020-04-01T00:00:00,33,0.93,26125,28159
2020-04-01T00:00:00,34,1.31,38039,28972
2020-04-01T00:00:00,35,1.03,30019,29141
2020-04-01T00:00:00,36,1.27,37913,29839
2020-04-01T00:00:00,37,1.16,35505,30567
2020-04-01T00:00:00,38,1.39,42631,30720
2020-04-01T00:00:00,39,1.31,40585,30883
2020-04-01T00:00:00,40,0.86,26586,30934
2020-04-01T00:00:00,41,1.03,31793,30810
2020-04-01T00:00:00,42,0.52,15625,30071
2020-04-01T00:00:00,43,0.27,7852,28638
2020-04-01T00:00:00,44,0.49,13295,27364
2020-04-01T00:00:00,45,0.78,20184,26039
2020-04-01T00:00:00,46,1.04,25520,24451
2020-04-01T00:00:00,47,2.5,58349,23342
2020-04-01T00:00:00,48,2.59,57012,22039
2020-04-02T00:00:00,1,3.69,71861,19489
2020-04-02T00:00:00,2,4.13,77530,18761
2020-04-02T00:00:00,3,3.82,75630,19773
2020-04-02T00:00:00,4,3.48,69988,20120
2020-04-02T00:00:00,5,3.61,72760,20181
2020-04-02T00:00:00,6,3.77,75143,19938
2020-04-02T00:00:00,7,5.35,104545,19544
2020-04-02T00:00:00,8,5.39,104275,19348
2020-04-02T00:00:00,9,5.84,107025,18325
2020-04-02T00:00:00,10,5.65,102220,18089
2020-04-02T00:00:00,11,5.85,107347,18361
2020-04-02T00:00:00,12,5.41,102506,18940
2020-04-02T00:00:00,13,3.8,80925,21292
2020-04-02T00:00:00,14,3.41,78375,22996
2020-04-02T00:00:00,15,1.53,37506,24583
2020-04-02T00:00:00,16,0.62,15833,25619
2020-04-02T00:00:00,17,0.8,21995,27337
2020-04-02T00:00:00,18,1.08,29203,26933
2020-04-02T00:00:00,19,1.28,34473,26870
2020-04-02T00:00:00,20,1.23,32748,26681
2020-04-02T00:00:00,21,1.04,27660,26485
2020-04-02T00:00:00,22,1.13,29906,26558
2020-04-02T00:00:00,23,0.88,23384,26514
2020-04-02T00:00:00,24,0.96,25167,26315
2020-04-02T00:00:00,25,1.36,35775,26228
2020-04-02T00:00:00,26,1.51,39205,25913
2020-04-02T00:00:00,27,1.68,42749,25492
2020-04-02T00:00:00,28,1.78,44719,25070
2020-04-02T00:00:00,29,1.22,30725,25103
2020-04-02T00:00:00,30,1.34,33629,25010
