Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP,CMP345/350 Deferred Costs
Aug-22,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0,1.666469361,15.2034352,21.22907152,1.284052818,7.5067107,1.545159449,3.865753425,127.5044554,36.73089089,24.03561644,0.0,4.125684627,49.46046629,0.0,
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0,1.761269194,14.19854496,19.18977048,1.049152513,7.249991843,1.071485672,3.869863014,131.9776601,38.16667331,23.26027397,0.0,4.067368745,53.08101103,0.0,
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0,1.210690085,14.70744984,19.38791041,0.886843321,7.455310693,2.071198826,3.873972603,139.4825719,40.7483452,24.03561644,0.0,4.012879234,55.96425529,0.0,
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0,0.502129387,14.81316008,19.05178596,0.916175573,7.16570812,0.577171661,3.878082192,133.9201563,48.75424973,23.26027397,0.0,3.223932912,52.57704705,0.0,
Dec-22,11.11579362,18.85168112,7.470250666,33.57500625,10.426545,2.529869,0,0.467609764,15.64641946,19.45571418,0.882285583,7.783751642,1.022065437,3.882191781,133.1091835,49.68226405,24.03561644,0.0,3.162995949,46.53142025,0.0,
Jan-23,11.90372362,21.09988493,7.574538827,28.76043125,8.914696,2.163038,0,0.643814364,15.90263002,19.2545108,0.851570155,7.720080224,-0.550027602,3.88630137,128.125192,53.73228459,24.03561644,0.0,2.831832102,39.83816525,0.0,
Feb-23,12.78045642,20.94033321,6.5184684,35.92700658,7.550256586,1.831974345,0,0.119231031,13.77562252,17.82834316,0.890712455,6.347455595,2.251210838,3.890410959,130.6514821,44.70451251,21.70958904,0.0,3.408181022,45.30923751,0.0,
Mar-23,10.79508085,13.20761728,7.399366707,33.79167836,6.323774924,1.534384429,0,0.223143885,15.31892043,19.52011242,1.043739528,6.807017386,0.284658128,3.894520548,120.1440149,45.98619204,24.03561644,0.0,3.135280938,41.64983771,0.0,
Apr-23,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0,0.404275131,14.46149353,19.69953385,1.14423862,7.384320227,3.01394728,3.898630137,117.8389691,40.0353369,23.26027397,0.0,3.524367572,38.86935488,0.0,
May-23,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0,0.895486509,14.57866742,20.73491124,0.869565856,8.20503605,2.96319145,3.902739726,117.0543873,37.85580184,24.03561644,0.0,3.727037783,39.47555434,0.0,
