Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP
Nov-21,10.86287415,16.14733682,7.428685335,67.12977415,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.828767123,149.4544029,47.87914268,18.40356164,0.98630137,3.62672045,82.16608815,4.8
Dec-21,11.11579362,11.85168112,7.470250666,64.15034872,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.832876712,142.1628821,49.71202785,19.0170137,1.019178082,3.359329344,77.10676272,4.8
Jan-22,11.90372362,10.09988493,7.574538827,59.33577372,8.914696,2.163038,0.0,0.643814364,10.29715057,11.10108615,0.851570155,7.006655566,-0.550027602,3.836986301,133.1788906,49.03852546,19.0170137,1.019178082,3.222264146,70.41350772,4.8
Feb-22,12.78045642,12.94033321,6.5184684,63.54344494,7.550256586,1.831974345,0.0,0.119231031,8.712608818,10.4639596,0.890712455,5.703072033,2.251210838,3.84109589,137.1468246,46.60325809,17.17665753,0.920547945,3.434181141,72.92567587,4.8
Mar-22,-1.204919153,13.20761728,7.399366707,64.36702083,6.323774924,1.534384429,0.0,0.223143885,9.713440979,11.36668776,1.043739528,6.093592728,0.284658128,3.845205479,124.1977135,50.69295501,19.0170137,1.019178082,2.939933276,72.22518018,4.8
Apr-22,5.502554146,8.292958957,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.849315068,93.78417462,38.70885411,18.40356164,0.98630137,3.04772746,38.86935488,4.8
May-22,7.897593618,8.955818674,5.575822434,27.89037525,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.853424658,99.53274348,39.53681138,19.0170137,1.019178082,3.145649103,39.47555434,4.8
Jun-22,8.178124146,5.833712861,5.434767887,25.67020605,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.857534247,95.53300807,36.63945883,18.40356164,0.98630137,3.267593871,39.22218303,4.8
Jul-22,9.303613618,6.970418038,5.962998065,25.98893925,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.861643836,100.7446776,37.14649514,19.0170137,1.019178082,3.251474167,40.48931129,0.0
Aug-22,8.677763618,8.247641882,5.817931184,33.63618325,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.865753425,110.0321267,37.4214319,19.0170137,1.019178082,3.475770751,49.46046629,0.0
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.869863014,117.9721807,39.10350134,18.40356164,0.98630137,3.512781184,53.08101103,0.0
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.873972603,125.0102431,42.40102667,19.0170137,1.019178082,3.420823652,55.96425529,0.0
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.878082192,119.9146769,47.87914268,18.40356164,0.98630137,2.909503639,52.57704705,0.0
Dec-22,11.11579362,11.85168112,7.470250666,33.57500625,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.882191781,111.6368547,49.71202785,19.0170137,1.019178082,2.648716059,46.53142025,0.0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
