Month,Energy_Imbalance_£m,Positive_Reserve_£m,Negative_Reserve_£m,Frequency_Control_£m,Constraints_£m,Other_£m,Restoration_£m,Balancing Costs (Central) £m,Estimated Internal BSUoS & ESO Incentive £m,Winter Security of Supply Cost (£m),21/22 Under-Recovered Costs (£m),CMP398/412 Claim Costs (£m),Interest Repayment (£m),Additional NESO Framework Costs (£m),Estimated BSUoS Volume (TWh)
01/10/2025,8.8,8.8,0.9,25.3,197.3,12.0,7.3,260.4,97.04,0,0,0.0,0,0,22.75
01/11/2025,9.4,9.8,1.0,27.8,216.1,14.9,7.3,286.3,93.91,0,0,0.0,0,0,24.55
01/12/2025,9.7,10.4,1.0,27.2,177.4,13.4,7.3,246.4,97.04,0,0,0.0,0,0,25.52
01/01/2026,9.7,11.1,1.0,29.6,153.0,16.1,7.3,227.8,97.04,0,0,0.0,0,0,26.26
01/02/2026,9.6,11.2,1.0,28.6,191.0,16.8,7.3,265.5,87.65,0,0,0.0,0,0,23.55
01/03/2026,9.4,11.5,1.0,28.0,186.4,14.3,7.3,257.9,97.04,0,0,0.0,0,0,23.91
01/04/2026,9.5,11.6,1.0,27.1,122.2,13.4,7.3,192.1,71.24,0,0,0.0,0,0,20.83
01/05/2026,9.3,12.0,1.0,27.5,136.7,14.2,7.3,208.0,73.62,0,0,0.0,0,0,19.41
01/06/2026,9.0,12.1,1.0,27.7,167.9,13.4,7.3,238.4,71.24,0,0,0.0,0,0,18.44
01/07/2026,9.2,12.6,1.0,27.8,134.8,14.0,7.3,206.7,73.62,0,0,0.0,0,0,19.11
01/08/2026,9.0,12.8,1.0,28.0,139.5,14.6,7.3,212.2,73.62,0,0,0.0,0,0,19.14
01/09/2026,8.5,12.8,1.0,27.7,166.3,13.2,7.3,236.8,71.24,0,0,0.0,0,0,19.71
01/10/2026,8.3,13.1,1.0,27.7,222.8,12.6,7.3,292.8,73.62,0,0,0.0,0,0,22.06
01/11/2026,7.8,14.8,0.9,28.6,203.3,15.1,7.3,277.8,71.24,0,0,0.0,0,0,23.91
01/12/2026,7.4,17.5,1.0,30.0,174.5,16.3,7.3,254.0,73.62,0,0,0.0,0,0,25.43
01/01/2027,6.3,18.6,1.0,29.9,132.4,15.6,7.3,211.1,73.62,0,0,0.0,0,0,26.08
01/02/2027,5.4,18.3,1.0,28.2,133.4,14.7,7.3,208.3,66.49,0,0,0.0,0,0,23.34
01/03/2027,4.8,20.6,1.0,29.4,123.8,14.5,7.3,201.4,73.62,0,0,0.0,0,0,23.55
01/04/2027,3.9,21.1,0.9,28.6,99.4,15.2,7.3,176.4,71.05,0,0,2.8,0,0,20.83
01/05/2027,3.8,21.8,0.9,28.7,102.6,15.3,7.3,180.4,73.42,0,0,2.8,0,0,19.17
01/06/2027,3.9,21.0,0.9,27.7,103.4,14.7,7.3,178.9,71.05,0,0,2.8,0,0,18.18
01/07/2027,4.2,22.2,0.8,28.9,100.4,17.8,7.3,181.6,73.42,0,0,2.8,0,0,18.73
01/08/2027,4.0,23.1,0.9,29.2,104.3,16.6,7.3,185.4,73.42,0,0,2.8,0,0,18.87
01/09/2027,2.8,22.2,1.1,28.3,112.0,12.7,7.3,186.4,71.05,0,0,2.8,0,0,19.49
