Month,Energy Imbalance (£m),Operating Reserve (£m),STOR (£m),Constraints - E&W (£m),Constraints - Cheviot (£m),Constraints - Scotland (£m),Constraints - AS (£m),Negative Reserve (£m),Fast Reserve (£m),Response (£m),Other Reserve (£m),Reactive (£m),Minor Components (£m),Black Start (£m),Total (£m),Demand,Estimated Internal BSUos(£m),Esitmated NGET Profit/(Loss),Esitimated BSUoS Charge (£/MWh),Constraints,ALoMCP
Feb-22,14.62155231,20.94033321,6.5184684,104.3570043,7.550256586,1.831974345,0.0,0.119231031,10.09343074,14.14615138,0.890712455,5.703072033,2.251210838,3.84109589,192.8644935,44.70451251,21.70958904,0.0,4.907202208,113.7392352,4.8
Mar-22,9.833437012,18.20761728,7.399366707,109.5534615,6.323774924,1.534384429,0.0,0.223143885,11.2422081,15.44340009,1.043739528,6.093592728,0.284658128,3.845205479,191.0279898,45.98619204,24.03561644,0.0,4.781078765,117.4116209,4.8
Apr-22,8.502554146,15.29295896,5.167662387,29.20430205,7.641157825,2.023895,0.0,0.404275131,9.036835996,11.80912289,1.14423862,6.693909268,3.01394728,3.849315068,103.7841746,40.0353369,23.26027397,0.0,3.293201926,38.86935488,4.8
May-22,7.897593618,11.95581867,5.575822434,27.89037525,9.181803086,2.403376,0.0,0.895486509,8.973187964,12.58148658,0.869565856,7.491611393,2.96319145,3.853424658,102.5327435,37.85580184,24.03561644,0.0,3.470230547,39.47555434,4.8
Jun-22,8.178124146,10.83371286,5.434767887,25.67020605,10.76912097,2.782856,0.0,1.643863178,8.81344767,11.92471082,1.007946391,7.039395612,2.577322236,3.857534247,100.5330081,35.66265147,23.26027397,0.0,3.605825051,39.22218303,4.8
Jul-22,9.303613618,10.97041804,5.962998065,25.98893925,11.52777604,2.972596,0.0,1.846568357,9.082911269,12.56759378,1.171890175,6.925799438,2.561929697,3.861643836,104.7446776,36.43757197,24.03561644,0.0,3.5342721,40.48931129,0.0
Aug-22,8.677763618,11.24764188,5.817931184,33.63618325,12.78844004,3.035843,0.0,1.666469361,9.597955749,13.07564686,1.284052818,6.793286042,1.545159449,3.865753425,113.0321267,36.73089089,24.03561644,0.0,3.731674887,49.46046629,0.0
Sep-22,10.07023415,14.12836031,6.307976992,38.23339205,11.81177597,3.035843,0.0,1.761269194,8.773887424,11.29935952,1.049152513,6.559580884,1.071485672,3.869863014,117.9721807,38.16667331,23.26027397,0.0,3.700413015,53.08101103,0.0
Oct-22,11.32623362,16.37231884,6.226388327,40.46388325,12.52777604,2.972596,0.0,1.210690085,9.101970386,11.23448575,0.886843321,6.741886035,2.071198826,3.873972603,125.0102431,40.7483452,24.03561644,0.0,3.65771564,55.96425529,0.0
Nov-22,10.86287415,16.14733682,7.428685335,37.54073305,11.469199,3.567115,0.0,0.502129387,9.388502548,11.161375,0.916175573,6.475297161,0.577171661,3.878082192,119.9146769,48.75424973,23.26027397,0.0,2.936666068,52.57704705,0.0
Dec-22,11.11579362,18.85168112,7.470250666,33.57500625,10.426545,2.529869,0.0,0.467609764,10.04094001,11.30228952,0.882285583,7.070326985,1.022065437,3.882191781,118.6368547,49.68226405,24.03561644,0.0,2.871698259,46.53142025,0.0
Jan-23,11.90372362,21.09988493,7.574538827,28.76043125,8.914696,2.163038,0.0,0.643814364,10.29715057,11.10108615,0.851570155,7.006655566,-0.550027602,3.88630137,113.6528632,53.73228459,24.03561644,0.0,2.562490702,39.83816525,0.0
Feb-23,12.78045642,20.94033321,6.5184684,35.92700658,7.550256586,1.831974345,0.0,0.119231031,8.712608818,10.4639596,0.890712455,5.703072033,2.251210838,3.890410959,117.5797013,44.70451251,21.70958904,0.0,3.115776965,45.30923751,0.0
Mar-23,10.79508085,13.20761728,7.399366707,33.79167836,6.323774924,1.534384429,0.0,0.223143885,9.713440979,11.36668776,1.043739528,6.093592728,0.284658128,3.894520548,105.6716861,45.98619204,24.03561644,0.0,2.820570627,41.64983771,0.0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
