Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.04E-01,5.02E-03,1.30E-01,9.00E-02
Aberporth  ,µGy/h  ,1.17E-01,4.99E-03,1.30E-01,1.00E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,8.91E-02,3.95E-03,1.10E-01,8.00E-02
Applecross  ,µGy/h  ,1.27E-01,6.80E-03,1.50E-01,1.10E-01
Aultbea  ,µGy/h  ,1.04E-01,7.01E-03,1.40E-01,8.00E-02
Aviemore  ,µGy/h  ,1.35E-01,7.01E-03,1.60E-01,1.20E-01
Ballypatrick Forest*  ,µGy/h  ,1.06E-01,5.43E-03,1.30E-01,9.00E-02
Benbecula  ,µGy/h  ,8.63E-02,5.13E-03,1.10E-01,8.00E-02
Bishopton  ,µGy/h  ,1.01E-01,3.64E-03,1.30E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.02E-01,4.31E-03,1.20E-01,9.00E-02
Boulmer  ,µGy/h  ,1.31E-01,5.68E-03,1.50E-01,1.10E-01
Brooms Barn  ,µGy/h  ,9.54E-02,6.05E-03,1.20E-01,8.00E-02
Camborne  ,µGy/h  ,1.37E-01,5.32E-03,1.70E-01,1.30E-01
Carlisle  ,µGy/h  ,1.12E-01,4.13E-03,1.20E-01,1.00E-01
Carmoney  ,µGy/h  ,9.68E-02,5.25E-03,1.20E-01,8.00E-02
Charterhall  ,µGy/h  ,1.11E-01,6.42E-03,1.30E-01,9.00E-02
Church Fenton  ,µGy/h  ,1.03E-01,5.23E-03,1.30E-01,9.00E-02
Clunie  ,µGy/h  ,1.19E-01,4.54E-03,1.30E-01,1.10E-01
Coleshill  ,µGy/h  ,1.07E-01,5.01E-03,1.50E-01,1.00E-01
Coningsby  ,µGy/h  ,9.37E-02,5.05E-03,1.20E-01,8.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.38E-01,6.25E-03,1.60E-01,1.20E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.12E-01,7.34E-03,1.50E-01,9.00E-02
East Malling  ,µGy/h  ,9.86E-02,4.48E-03,1.30E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.04E-01,5.25E-03,1.20E-01,9.00E-02
Eskmeals  ,µGy/h  ,1.04E-01,6.93E-03,1.40E-01,9.00E-02
Exeter  ,µGy/h  ,1.42E-01,4.95E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,9.65E-02,6.29E-03,1.50E-01,8.00E-02
Gatwick  ,µGy/h  ,1.09E-01,5.78E-03,1.60E-01,9.00E-02
Glenanne  ,µGy/h  ,1.05E-01,5.25E-03,1.30E-01,9.00E-02
Guernsey  ,µGy/h  ,9.15E-02,4.09E-03,1.40E-01,8.00E-02
Heathrow  ,µGy/h  ,1.19E-01,4.26E-03,1.40E-01,1.10E-01
Herstmonceux  ,µGy/h  ,1.00E-01,3.52E-03,1.30E-01,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,8.71E-02,5.05E-03,1.10E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.14E-01,5.63E-03,1.40E-01,1.00E-01
Jersey  ,µGy/h  ,1.04E-01,5.82E-02,2.57E+00,9.00E-02
Kirkwall  ,µGy/h  ,9.97E-02,5.34E-03,1.30E-01,9.00E-02
Lake Vyrnwy  ,µGy/h  ,1.16E-01,5.81E-03,1.40E-01,1.00E-01
Langdon Bay  ,µGy/h  ,1.05E-01,5.49E-03,1.30E-01,9.00E-02
Leconfield  ,µGy/h  ,1.17E-01,5.37E-03,1.60E-01,1.00E-01
Leeming  ,µGy/h  ,1.09E-01,4.94E-03,1.40E-01,1.00E-01
Lerwick  ,µGy/h  ,1.03E-01,5.09E-03,1.20E-01,9.00E-02
Leuchars  ,µGy/h  ,1.12E-01,8.51E-03,1.40E-01,9.00E-02
