Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.13E-01,4.59E-03,1.40E-01,1.00E-01
Aberporth  ,µGy/h  ,1.21E-01,4.60E-03,1.40E-01,1.10E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,8.97E-02,3.69E-03,1.10E-01,8.00E-02
Applecross  ,µGy/h  ,1.19E-01,4.54E-03,1.30E-01,1.00E-01
Aultbea  ,µGy/h  ,1.04E-01,7.27E-03,1.30E-01,8.00E-02
Aviemore*  ,µGy/h  ,1.30E-01,1.01E-02,1.50E-01,1.10E-01
Ballypatrick Forest*  ,µGy/h  ,9.62E-02,5.69E-03,1.30E-01,8.00E-02
Benbecula  ,µGy/h  ,8.60E-02,4.98E-03,1.00E-01,8.00E-02
Bishopton  ,µGy/h  ,9.85E-02,4.22E-03,1.20E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.12E-01,4.30E-03,1.40E-01,1.00E-01
Boulmer*  ,µGy/h  ,1.33E-01,5.16E-03,1.50E-01,1.20E-01
Brize Norton  ,µGy/h  ,8.38E-02,4.89E-03,1.00E-01,8.00E-02
Brooms Barn  ,µGy/h  ,9.62E-02,5.09E-03,1.10E-01,9.00E-02
Camborne*  ,µGy/h  ,1.19E-01,4.36E-03,1.50E-01,1.10E-01
Carlisle  ,µGy/h  ,1.07E-01,5.64E-03,1.30E-01,1.00E-01
Carmoney  ,µGy/h  ,9.70E-02,4.99E-03,1.20E-01,9.00E-02
Charterhall  ,µGy/h  ,1.09E-01,7.61E-03,1.50E-01,9.00E-02
Church Fenton  ,µGy/h  ,1.06E-01,5.33E-03,1.30E-01,1.00E-01
Clunie*  ,µGy/h  ,1.19E-01,5.06E-03,1.30E-01,1.00E-01
Coleshill  ,µGy/h  ,1.07E-01,4.87E-03,1.20E-01,1.00E-01
Coningsby  ,µGy/h  ,1.05E-01,5.31E-03,1.30E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.42E-01,5.88E-03,1.60E-01,1.20E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.20E-01,6.44E-03,1.50E-01,1.00E-01
East Malling  ,µGy/h  ,1.07E-01,5.18E-03,1.30E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.16E-01,5.89E-03,1.40E-01,1.00E-01
Eskmeals  ,µGy/h  ,1.04E-01,6.72E-03,1.30E-01,9.00E-02
Exeter*  ,µGy/h  ,1.41E-01,4.76E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,1.03E-01,5.31E-03,1.30E-01,9.00E-02
Gatwick*  ,µGy/h  ,1.08E-01,4.96E-03,1.30E-01,9.00E-02
Glenanne  ,µGy/h  ,1.06E-01,5.24E-03,1.20E-01,9.00E-02
Guernsey  ,µGy/h  ,9.18E-02,4.09E-03,1.20E-01,8.00E-02
Heathrow*  ,µGy/h  ,1.09E-01,3.86E-03,1.30E-01,1.00E-01
Herstmonceux*  ,µGy/h  ,1.04E-01,6.55E-03,1.60E-01,9.00E-02
Hurn (Bournemouth)*  ,µGy/h  ,9.25E-02,7.85E-03,1.30E-01,8.00E-02
Inverbervie*  ,µGy/h  ,1.23E-01,7.59E-03,1.50E-01,1.10E-01
Jersey*  ,µGy/h  ,1.00E-01,4.15E-03,1.40E-01,9.00E-02
Kirkwall*  ,µGy/h  ,1.04E-01,5.98E-03,1.60E-01,9.00E-02
Lake Vyrnwy*  ,µGy/h  ,1.08E-01,6.11E-03,1.30E-01,9.00E-02
Langdon Bay*  ,µGy/h  ,1.11E-01,6.16E-03,1.50E-01,1.00E-01
Leconfield*  ,µGy/h  ,1.16E-01,5.64E-03,1.40E-01,1.00E-01
Leeming*  ,µGy/h  ,1.06E-01,5.44E-03,1.40E-01,9.00E-02
Lerwick*  ,µGy/h  ,1.02E-01,6.66E-03,1.40E-01,8.00E-02
Leuchars*  ,µGy/h  ,1.05E-01,7.37E-03,1.50E-01,8.00E-02
Liscombe*  ,µGy/h  ,1.21E-01,5.07E-03,1.50E-01,1.10E-01
London (Grays Inn)*  ,µGy/h  ,9.06E-02,2.98E-03,1.00E-01,8.00E-02
Lossiemouth*  ,µGy/h  ,9.29E-02,4.96E-03,1.20E-01,8.00E-02
Lydd (Airport)  ,µGy/h  ,8.15E-02,4.54E-03,1.20E-01,7.00E-02
Lyneham*  ,µGy/h  ,9.34E-02,4.81E-03,1.10E-01,8.00E-02
Machrihanish*  ,µGy/h  ,9.75E-02,9.07E-03,1.20E-01,8.00E-02
Manston  ,µGy/h  ,1.02E-01,4.58E-03,1.30E-01,9.00E-02
Marham*  ,µGy/h  ,8.65E-02,5.39E-03,1.20E-01,8.00E-02
Mepal  ,µGy/h  ,1.03E-01,4.72E-03,1.20E-01,9.00E-02
Milford Haven  ,µGy/h  ,1.25E-01,6.67E-03,1.50E-01,1.00E-01
Mumbles Head  ,µGy/h  ,9.12E-02,4.14E-03,1.10E-01,8.00E-02
Nottingham WC (Watnall)*  ,µGy/h  ,1.05E-01,5.28E-03,1.30E-01,9.00E-02
Oban*  ,µGy/h  ,1.10E-01,3.64E-03,1.20E-01,1.00E-01
Odiham  ,µGy/h  ,1.05E-01,1.09E-02,4.60E-01,9.00E-02
Pershore  ,µGy/h  ,1.15E-01,5.34E-03,1.40E-01,1.00E-01
Plymouth  ,µGy/h  ,1.28E-01,5.11E-03,1.70E-01,1.20E-01
Portland Bill*  ,µGy/h  ,9.63E-02,6.53E-03,1.30E-01,8.00E-02
Prestwick*  ,µGy/h  ,8.05E-02,3.00E-03,1.00E-01,7.00E-02
Rhyl  ,µGy/h  ,1.01E-01,1.11E-02,1.30E-01,9.00E-02
Ronaldsway (Isle of Man)*  ,µGy/h  ,9.81E-02,5.30E-03,1.20E-01,9.00E-02
Scilly*  ,µGy/h  ,1.35E-01,5.83E-03,1.80E-01,1.20E-01
Shawbury*  ,µGy/h  ,9.31E-02,4.75E-03,1.10E-01,8.00E-02
Shin  ,µGy/h  ,1.18E-01,7.32E-03,1.40E-01,1.00E-01
Shobdon  ,µGy/h  ,1.16E-01,5.13E-03,1.30E-01,1.00E-01
Shoeburyness  ,µGy/h  ,1.05E-01,5.37E-03,1.30E-01,9.00E-02
Squires Gate (Blackpool)*  ,µGy/h  ,9.11E-02,3.48E-03,1.10E-01,8.00E-02
St Angelo  ,µGy/h  ,1.07E-01,4.81E-03,1.30E-01,1.00E-01
