Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.13E-01,4.79E-03,1.30E-01,1.00E-01
Aberporth  ,µGy/h  ,1.24E-01,5.04E-03,1.40E-01,1.10E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,8.91E-02,3.14E-03,1.00E-01,8.00E-02
Applecross  ,µGy/h  ,1.18E-01,4.15E-03,1.30E-01,1.10E-01
Aultbea  ,µGy/h  ,1.04E-01,6.81E-03,1.30E-01,8.00E-02
Aviemore  ,µGy/h  ,1.39E-01,5.73E-03,1.60E-01,1.20E-01
Ballypatrick Forest  ,µGy/h  ,9.82E-02,7.65E-03,1.20E-01,9.00E-02
Benbecula  ,µGy/h  ,8.47E-02,5.00E-03,1.00E-01,8.00E-02
Bishopton  ,µGy/h  ,9.89E-02,4.14E-03,1.10E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.12E-01,4.07E-03,1.30E-01,1.00E-01
Boulmer  ,µGy/h  ,1.35E-01,5.19E-03,1.50E-01,1.20E-01
Brize Norton  ,µGy/h  ,8.17E-02,3.78E-03,1.00E-01,8.00E-02
Brooms Barn  ,µGy/h  ,9.70E-02,4.75E-03,1.10E-01,9.00E-02
Camborne  ,µGy/h  ,1.29E-01,1.05E-02,1.60E-01,1.10E-01
Carlisle  ,µGy/h  ,1.14E-01,5.05E-03,1.30E-01,1.00E-01
Carmoney  ,µGy/h  ,9.71E-02,4.60E-03,1.10E-01,9.00E-02
Charterhall  ,µGy/h  ,1.14E-01,4.96E-03,1.30E-01,1.00E-01
Church Fenton  ,µGy/h  ,1.08E-01,4.51E-03,1.20E-01,1.00E-01
Clunie  ,µGy/h  ,1.20E-01,3.17E-03,1.30E-01,1.10E-01
Coleshill  ,µGy/h  ,1.08E-01,4.41E-03,1.30E-01,1.00E-01
Coningsby  ,µGy/h  ,1.05E-01,5.09E-03,1.20E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.41E-01,4.12E-03,1.50E-01,1.30E-01
