Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.03E-01,4.74E-03,1.20E-01,9.00E-02
Aberporth  ,µGy/h  ,1.16E-01,5.15E-03,1.30E-01,1.00E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,9.01E-02,3.23E-03,1.10E-01,8.00E-02
Alderney  ,µGy/h  ,1.07E-01,5.13E-03,1.20E-01,1.00E-01
Applecross  ,µGy/h  ,1.31E-01,6.12E-03,1.50E-01,1.10E-01
Aultbea  ,µGy/h  ,1.04E-01,6.90E-03,1.30E-01,9.00E-02
Aviemore  ,µGy/h  ,1.36E-01,5.99E-03,1.50E-01,1.20E-01
Ballypatrick Forest  ,µGy/h  ,1.06E-01,5.30E-03,1.40E-01,1.00E-01
Benbecula  ,µGy/h  ,8.60E-02,5.06E-03,1.00E-01,8.00E-02
Bishopton  ,µGy/h  ,1.01E-01,3.30E-03,1.20E-01,9.00E-02
Boscombe Down  ,µGy/h  ,1.02E-01,3.96E-03,1.40E-01,9.00E-02
Boulmer  ,µGy/h  ,1.32E-01,4.34E-03,1.50E-01,1.20E-01
Brize Norton  ,µGy/h  ,9.40E-02,4.96E-03,1.10E-01,8.00E-02
Brooms Barn  ,µGy/h  ,9.45E-02,5.81E-03,1.70E-01,8.00E-02
Camborne  ,µGy/h  ,1.36E-01,5.21E-03,1.50E-01,1.20E-01
Carlisle  ,µGy/h  ,1.12E-01,3.97E-03,1.30E-01,1.00E-01
Carmoney  ,µGy/h  ,1.06E-01,7.15E-03,1.20E-01,9.00E-02
Charterhall  ,µGy/h  ,1.11E-01,5.21E-03,1.30E-01,1.00E-01
Church Fenton  ,µGy/h  ,9.89E-02,5.49E-03,1.20E-01,8.00E-02
Clunie  ,µGy/h  ,1.20E-01,3.66E-03,1.30E-01,1.10E-01
Coleshill  ,µGy/h  ,1.01E-01,5.63E-03,1.20E-01,9.00E-02
Coningsby  ,µGy/h  ,9.30E-02,4.66E-03,1.10E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.40E-01,4.35E-03,1.60E-01,1.20E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.14E-01,5.12E-03,1.50E-01,1.00E-01
East Malling  ,µGy/h  ,9.82E-02,4.52E-03,1.20E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.04E-01,5.92E-03,1.90E-01,9.00E-02
Eskmeals  ,µGy/h  ,1.06E-01,7.35E-03,1.30E-01,9.00E-02
Exeter  ,µGy/h  ,1.42E-01,4.70E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,9.85E-02,4.41E-03,1.30E-01,9.00E-02
Gatwick  ,µGy/h  ,1.07E-01,5.37E-03,1.30E-01,1.00E-01
Glenanne  ,µGy/h  ,1.09E-01,4.99E-03,1.30E-01,9.00E-02
Guernsey  ,µGy/h  ,9.08E-02,3.08E-03,1.00E-01,8.00E-02
Heathrow  ,µGy/h  ,1.18E-01,4.88E-03,1.40E-01,1.10E-01
Herstmonceux  ,µGy/h  ,9.95E-02,4.22E-03,1.30E-01,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,8.59E-02,5.49E-03,1.20E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.14E-01,5.09E-03,1.40E-01,1.00E-01
Jersey  ,µGy/h  ,1.15E-01,6.89E-03,1.40E-01,1.00E-01
Kirkwall  ,µGy/h  ,1.03E-01,5.34E-03,1.30E-01,9.00E-02
Lake Vyrnwy  ,µGy/h  ,1.18E-01,5.19E-03,1.50E-01,1.00E-01
Langdon Bay  ,µGy/h  ,1.03E-01,5.97E-03,1.40E-01,9.00E-02
Leconfield  ,µGy/h  ,1.17E-01,5.03E-03,1.30E-01,1.00E-01
Leeming  ,µGy/h  ,1.08E-01,4.38E-03,1.30E-01,1.00E-01
Lerwick  ,µGy/h  ,1.04E-01,5.06E-03,1.30E-01,9.00E-02
Leuchars  ,µGy/h  ,1.14E-01,7.76E-03,1.50E-01,9.00E-02
Liscombe  ,µGy/h  ,1.30E-01,4.69E-03,1.50E-01,1.20E-01
London (Grays Inn)  ,µGy/h  ,8.41E-02,4.93E-03,9.00E-02,7.00E-02
Lossiemouth  ,µGy/h  ,9.95E-02,3.24E-03,1.10E-01,9.00E-02
Lydd (Airport)  ,µGy/h  ,7.97E-02,3.67E-03,1.20E-01,7.00E-02
Lyneham  ,µGy/h  ,9.94E-02,3.35E-03,1.10E-01,9.00E-02
Machrihanish  ,µGy/h  ,1.06E-01,5.51E-03,1.40E-01,9.00E-02
Manston  ,µGy/h  ,9.73E-02,4.78E-03,1.20E-01,9.00E-02
Marham  ,µGy/h  ,8.91E-02,3.75E-03,1.10E-01,8.00E-02
Mepal  ,µGy/h  ,1.05E-01,5.08E-03,1.20E-01,1.00E-01
Milford Haven  ,µGy/h  ,1.15E-01,5.17E-03,1.50E-01,1.00E-01
Mumbles Head  ,µGy/h  ,8.90E-02,3.26E-03,1.00E-01,8.00E-02
Nottingham WC (Watnall)  ,µGy/h  ,1.11E-01,4.37E-03,1.30E-01,1.00E-01
Oban  ,µGy/h  ,1.30E-01,4.25E-03,1.40E-01,1.20E-01
Odiham  ,µGy/h  ,9.35E-02,5.66E-03,1.20E-01,8.00E-02
Pershore  ,µGy/h  ,1.22E-01,4.65E-03,1.40E-01,1.10E-01
Plymouth  ,µGy/h  ,1.20E-01,4.31E-03,1.40E-01,1.10E-01
Portland Bill  ,µGy/h  ,9.55E-02,6.37E-03,1.20E-01,8.00E-02
Prestwick  ,µGy/h  ,9.03E-02,4.11E-03,1.10E-01,8.00E-02
Rhyl  ,µGy/h  ,1.25E-01,5.04E-03,1.40E-01,1.10E-01
Ronaldsway (Isle of Man)  ,µGy/h  ,9.42E-02,5.10E-03,1.10E-01,8.00E-02
Scilly  ,µGy/h  ,1.38E-01,5.06E-03,1.60E-01,1.20E-01
Shawbury  ,µGy/h  ,9.53E-02,5.10E-03,1.10E-01,9.00E-02
Shin  ,µGy/h  ,1.25E-01,5.14E-03,1.40E-01,1.10E-01
Shobdon  ,µGy/h  ,1.23E-01,4.87E-03,1.40E-01,1.10E-01
Shoeburyness  ,µGy/h  ,1.03E-01,7.04E-03,1.30E-01,9.00E-02
Squires Gate (Blackpool)  ,µGy/h  ,9.20E-02,4.39E-03,1.10E-01,8.00E-02
St Angelo  ,µGy/h  ,1.05E-01,5.12E-03,1.20E-01,1.00E-01
