RIMNET DATASET STATISTICAL SUMMARY : OCTOBER - DECEMBER 2011,,,,,,
,,,,,,
01 October 00:00 - 31 December 2011 23:59,,,,,,
,,,,,,
Units :  µGy/h  ,,,,,,
,,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max,
Stornoway  ,1.00E-01,4.51E-03,9.79E-02,9.00E-02,1.20E-01,
Strathallan*  ,1.10E-01,4.56E-03,1.09E-01,1.00E-01,1.40E-01,
Thorney Island  ,1.10E-01,5.51E-03,1.04E-01,9.00E-02,1.40E-01,
Tiree*  ,9.00E-02,1.07E-02,9.00E-02,8.00E-02,1.50E-01,
Trawscoed  ,1.10E-01,5.35E-03,1.15E-01,1.00E-01,1.50E-01,
Tulloch Bridge*  ,1.00E-01,5.23E-03,1.04E-01,9.00E-02,1.30E-01,
Turnhouse (Edinburgh Airport)  ,1.00E-01,4.72E-03,9.90E-02,9.00E-02,1.20E-01,
Valley*  ,1.10E-01,4.35E-03,1.10E-01,1.00E-01,1.50E-01,
Waddington  ,1.10E-01,4.15E-03,1.10E-01,1.00E-01,1.30E-01,
Warcop Range  ,1.10E-01,4.78E-03,1.08E-01,9.00E-02,1.40E-01,
Wattisham*  ,1.00E-01,5.08E-03,9.95E-02,9.00E-02,1.30E-01,
West Freugh  ,9.00E-02,5.50E-03,9.29E-02,8.00E-02,1.60E-01,
Wick*  ,1.10E-01,4.56E-03,1.09E-01,1.00E-01,1.40E-01,
Wilsden (Bingley)*  ,1.10E-01,5.41E-03,1.13E-01,1.00E-01,1.60E-01,
Wittering*  ,1.20E-01,5.40E-03,1.23E-01,1.10E-01,1.50E-01,
Yeovilton  ,1.10E-01,5.76E-03,1.08E-01,9.00E-02,1.30E-01,
