Location,Units,Mean,Standard Deviation,Max,Min
Aberdaron  ,µGy/h  ,1.05E-01,5.16E-03,1.30E-01,1.00E-01
Aberporth  ,µGy/h  ,1.19E-01,4.65E-03,1.30E-01,1.10E-01
Aldergrove (Belfast Airport)  ,µGy/h  ,9.01E-02,2.68E-03,1.00E-01,8.00E-02
Alderney  ,µGy/h  ,1.10E-01,4.48E-03,1.30E-01,1.00E-01
Applecross  ,µGy/h  ,1.21E-01,4.21E-03,1.50E-01,1.10E-01
Aultbea  ,µGy/h  ,1.04E-01,6.84E-03,1.40E-01,8.00E-02
Aviemore  ,µGy/h  ,1.31E-01,4.31E-03,1.50E-01,1.20E-01
Ballypatrick Forest  ,µGy/h  ,1.01E-01,4.09E-03,1.20E-01,9.00E-02
Benbecula  ,µGy/h  ,8.33E-02,4.75E-03,1.00E-01,7.00E-02
Bishopton  ,µGy/h  ,1.07E-01,4.94E-03,1.30E-01,1.00E-01
Boscombe Down  ,µGy/h  ,1.02E-01,4.41E-03,1.30E-01,9.00E-02
Boulmer  ,µGy/h  ,1.22E-01,4.38E-03,1.40E-01,1.10E-01
Brize Norton  ,µGy/h  ,9.40E-02,4.92E-03,1.10E-01,8.00E-02
Brooms Barn  ,µGy/h  ,9.20E-02,4.13E-03,1.10E-01,8.00E-02
Camborne  ,µGy/h  ,1.37E-01,5.27E-03,1.50E-01,1.20E-01
Carlisle  ,µGy/h  ,1.21E-01,4.14E-03,1.40E-01,1.10E-01
Carmoney  ,µGy/h  ,1.20E-01,3.54E-03,1.40E-01,1.10E-01
Charterhall  ,µGy/h  ,1.04E-01,5.03E-03,1.30E-01,1.00E-01
Church Fenton  ,µGy/h  ,1.00E-01,3.97E-03,1.10E-01,9.00E-02
Clunie  ,µGy/h  ,1.20E-01,3.71E-03,1.40E-01,1.10E-01
Coleshill  ,µGy/h  ,1.02E-01,4.21E-03,1.20E-01,9.00E-02
Coningsby  ,µGy/h  ,1.06E-01,9.20E-03,1.30E-01,9.00E-02
Dalcross (Inverness Airport)  ,µGy/h  ,1.41E-01,4.42E-03,1.60E-01,1.30E-01
Dyce (Aberdeen Airport)  ,µGy/h  ,1.14E-01,5.01E-03,1.30E-01,1.00E-01
East Malling  ,µGy/h  ,1.01E-01,3.40E-03,1.20E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.03E-01,5.06E-03,1.30E-01,9.00E-02
Eskmeals  ,µGy/h  ,1.07E-01,7.22E-03,1.40E-01,8.00E-02
Exeter  ,µGy/h  ,1.47E-01,4.98E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,9.94E-02,4.31E-03,1.20E-01,9.00E-02
Gatwick  ,µGy/h  ,1.26E-01,5.31E-03,1.50E-01,1.10E-01
Glenanne  ,µGy/h  ,1.11E-01,3.46E-03,1.30E-01,1.00E-01
Guernsey  ,µGy/h  ,8.99E-02,2.77E-03,1.10E-01,8.00E-02
Heathrow  ,µGy/h  ,1.19E-01,6.67E-03,1.40E-01,9.00E-02
Herstmonceux  ,µGy/h  ,1.01E-01,3.79E-03,1.30E-01,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,9.58E-02,5.62E-03,1.50E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.15E-01,5.19E-03,1.30E-01,1.10E-01
Jersey  ,µGy/h  ,1.18E-01,6.19E-03,1.60E-01,1.00E-01
Kirkwall  ,µGy/h  ,1.10E-01,4.18E-03,1.30E-01,1.00E-01
Lake Vyrnwy  ,µGy/h  ,1.17E-01,4.93E-03,1.40E-01,1.00E-01
Langdon Bay  ,µGy/h  ,1.07E-01,9.01E-03,1.50E-01,9.00E-02
Leconfield  ,µGy/h  ,1.14E-01,6.40E-03,1.50E-01,1.00E-01
Leeming  ,µGy/h  ,1.07E-01,5.55E-03,1.30E-01,1.00E-01
Lerwick  ,µGy/h  ,1.03E-01,5.51E-03,1.50E-01,9.00E-02
Leuchars  ,µGy/h  ,1.14E-01,7.54E-03,1.40E-01,9.00E-02
Liscombe  ,µGy/h  ,1.31E-01,4.61E-03,1.50E-01,1.20E-01
London (Grays Inn)  ,µGy/h  ,1.10E-01,1.20E-02,1.30E-01,8.00E-02
Lossiemouth  ,µGy/h  ,1.00E-01,3.12E-03,1.10E-01,9.00E-02
Lydd (Airport)  ,µGy/h  ,8.18E-02,3.91E-03,1.00E-01,8.00E-02
Lyneham  ,µGy/h  ,8.57E-02,5.01E-03,1.00E-01,8.00E-02
Machrihanish  ,µGy/h  ,1.07E-01,4.82E-03,1.20E-01,1.00E-01
Manston  ,µGy/h  ,1.00E-01,2.81E-03,1.30E-01,9.00E-02
Marham  ,µGy/h  ,8.22E-02,4.31E-03,1.10E-01,7.00E-02
Mepal  ,µGy/h  ,1.10E-01,3.29E-03,1.30E-01,1.00E-01
Milford Haven  ,µGy/h  ,1.30E-01,4.47E-03,1.60E-01,1.20E-01
Mumbles Head  ,µGy/h  ,9.89E-02,3.52E-03,1.20E-01,9.00E-02
Nottingham WC (Watnall)  ,µGy/h  ,1.14E-01,5.15E-03,1.60E-01,1.00E-01
Oban  ,µGy/h  ,1.25E-01,5.36E-03,1.50E-01,1.10E-01
Odiham  ,µGy/h  ,9.13E-02,3.66E-03,1.30E-01,8.00E-02
Pershore  ,µGy/h  ,1.30E-01,4.23E-03,1.50E-01,1.20E-01
Plymouth  ,µGy/h  ,1.25E-01,5.14E-03,1.40E-01,1.10E-01
Portland Bill  ,µGy/h  ,8.74E-02,6.35E-03,1.10E-01,7.00E-02
Prestwick  ,µGy/h  ,9.04E-02,3.73E-03,1.10E-01,8.00E-02
Rhyl  ,µGy/h  ,1.06E-01,5.05E-03,1.20E-01,9.00E-02
Ronaldsway (Isle of Man)  ,µGy/h  ,1.02E-01,4.32E-03,1.20E-01,9.00E-02
Scilly  ,µGy/h  ,1.48E-01,5.01E-03,1.60E-01,1.30E-01
Shawbury  ,µGy/h  ,1.07E-01,5.20E-03,1.20E-01,9.00E-02
Shin  ,µGy/h  ,1.26E-01,5.07E-03,1.40E-01,1.10E-01
Shobdon  ,µGy/h  ,1.31E-01,4.50E-03,1.50E-01,1.20E-01
Shoeburyness  ,µGy/h  ,1.01E-01,3.35E-03,1.30E-01,9.00E-02
Squires Gate (Blackpool)  ,µGy/h  ,8.27E-02,7.02E-03,1.10E-01,7.00E-02
St Angelo  ,µGy/h  ,1.05E-01,5.52E-03,1.70E-01,9.00E-02
St Athan  ,µGy/h  ,1.01E-01,3.24E-03,1.20E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.10E-01,3.51E-03,1.20E-01,1.00E-01
St Mawgan  ,µGy/h  ,1.24E-01,5.22E-03,1.40E-01,1.10E-01
Stoer Head  ,µGy/h  ,1.24E-01,5.11E-03,1.40E-01,1.10E-01
Stornoway  ,µGy/h  ,1.01E-01,5.19E-03,1.20E-01,9.00E-02
Strathallan  ,µGy/h  ,1.09E-01,3.98E-03,1.20E-01,1.00E-01
Thorney Island  ,µGy/h  ,1.10E-01,7.61E-03,1.30E-01,1.00E-01
Tiree*  ,µGy/h  ,1.08E-01,1.90E-02,1.60E-01,6.00E-02
Trawscoed  ,µGy/h  ,1.17E-01,4.86E-03,1.30E-01,1.10E-01
Tulloch Bridge  ,µGy/h  ,1.09E-01,9.48E-03,1.30E-01,9.00E-02
Turnhouse (Edinburgh Airport)  ,µGy/h  ,9.74E-02,4.56E-03,1.10E-01,8.00E-02
Valley  ,µGy/h  ,1.10E-01,2.96E-03,1.30E-01,1.00E-01
Waddington  ,µGy/h  ,1.08E-01,5.78E-03,1.30E-01,9.00E-02
Warcop Range  ,µGy/h  ,1.08E-01,4.60E-03,1.40E-01,1.00E-01
Wattisham  ,µGy/h  ,1.06E-01,6.00E-03,1.30E-01,9.00E-02
West Freugh  ,µGy/h  ,9.16E-02,3.75E-03,1.10E-01,8.00E-02
Wick  ,µGy/h  ,1.10E-01,4.08E-03,1.30E-01,1.00E-01
Wilsden (Bingley)  ,µGy/h  ,1.08E-01,6.93E-03,1.30E-01,9.00E-02
Wittering  ,µGy/h  ,1.20E-01,5.29E-03,1.60E-01,1.10E-01
Yeovilton  ,µGy/h  ,1.12E-01,4.39E-03,1.40E-01,1.00E-01
