Oct-Dec 2020 RIMNET mobile monitors summary,,,,,
Location,Units,Standard Deviation,Avg ,Max ,Min
Scottish LH Kinnaird Head  ,µGy/h  ,0.007082,0.11,0.18,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.007396,0.11,0.19,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.006647,0.13,0.19,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.006437,0.10,0.15,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.005549,0.09,0.13,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.005675,0.13,0.19,0.11
Somerset Combwich  ,µGy/h  ,0.005822,0.09,0.14,0.08
Somerset Kilve  ,µGy/h  ,0.006655,0.10,0.19,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.005552,0.11,0.17,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.006068,0.11,0.16,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.00503,0.11,0.14,0.10
Suffolk Dunwich  ,µGy/h  ,0.005493,0.10,0.13,0.08
Suffolk Knodishall  ,µGy/h  ,0.005901,0.09,0.34,0.08
Suffolk Leiston 01  ,µGy/h  ,0.005665,0.09,0.13,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005936,0.11,0.14,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005839,0.10,0.13,0.08
Suffolk Theberton  ,µGy/h  ,0.004505,0.09,0.13,0.08
Suffolk Westleton  ,µGy/h  ,0.005621,0.09,0.13,0.08
Trinity House Dungeness  ,µGy/h  ,0.006777,0.13,0.40,0.11
Trinity House Harwich  ,µGy/h  ,0.004949,0.08,0.11,0.07
Trinity House St Bees  ,µGy/h  ,0.005981,0.11,0.15,0.09
