Oct-Dec 2020 ambient gamma dose rates across the UK,,,,,,
Location,Units,Site Normal Level,Standard Deviation,Mean,Max,Min
Glenanne  ,µGy/h  ,0.11,0.01,0.11,0.17,0.10
Guernsey  ,µGy/h  ,0.10,0.01,0.10,0.15,0.08
Heathrow*  ,µGy/h  ,0.10,0.01,0.11,0.18,0.09
Herstmonceux  ,µGy/h  ,0.10,0.01,0.10,0.16,0.08
Hurn (Bournemouth)  ,µGy/h  ,0.09,0.01,0.09,0.15,0.07
Inverbervie  ,µGy/h  ,0.12,0.01,0.11,0.18,0.09
Jersey  ,µGy/h  ,0.11,0.01,0.11,0.18,0.08
Kirkwall  ,µGy/h  ,0.11,0.01,0.11,0.19,0.09
Lake Vyrnwy  ,µGy/h  ,0.12,0.01,0.12,0.18,0.10
Langdon Bay  ,µGy/h  ,0.10,0.01,0.10,0.17,0.08
Leconfield  ,µGy/h  ,0.11,0.01,0.11,0.15,0.08
Leeming  ,µGy/h  ,0.11,0.01,0.10,0.17,0.08
Lerwick  ,µGy/h  ,0.10,0.01,0.11,0.17,0.09
Leuchars  ,µGy/h  ,0.12,0.01,0.12,0.23,0.10
Linton  ,µGy/h  ,0.11,0.01,0.11,0.18,0.09
Liscombe  ,µGy/h  ,0.13,0.01,0.13,0.21,0.11
Lossiemouth  ,µGy/h  ,0.11,0.01,0.11,0.22,0.09
Lydd  ,µGy/h  ,0.09,0.01,0.09,0.16,0.07
Machrihanish*  ,µGy/h  ,0.10,0.01,0.10,0.15,0.08
Manston  ,µGy/h  ,0.10,0.01,0.10,0.16,0.08
Marham  ,µGy/h  ,0.09,0.01,0.09,0.13,0.07
Milford Haven  ,µGy/h  ,0.11,0.01,0.11,0.17,0.09
Mumbles Head  ,µGy/h  ,0.10,0.01,0.10,0.14,0.08
Nottingham WC (Watnall)  ,µGy/h  ,0.11,0.01,0.11,0.20,0.08
Oban*  ,µGy/h  ,0.12,0.01,0.11,0.15,0.09
Odiham  ,µGy/h  ,0.10,0.01,0.10,0.18,0.09
Pershore*  ,µGy/h  ,0.13,0.01,0.12,0.16,0.09
Plymouth  ,µGy/h  ,0.13,0.01,0.13,0.17,0.10
Portland Bill*  ,µGy/h  ,0.10,0.01,0.10,0.12,0.08
Prestwick  ,µGy/h  ,0.10,0.01,0.10,0.15,0.08
Rhyl  ,µGy/h  ,0.11,0.01,0.11,0.16,0.09
Rostherne  ,µGy/h  ,0.10,0.01,0.10,0.17,0.09
Rothamsted  ,µGy/h  ,0.11,0.01,0.11,0.24,0.09
Scilly  ,µGy/h  ,0.13,0.01,0.12,0.16,0.10
Shawbury  ,µGy/h  ,0.11,0.01,0.11,0.17,0.09
Shin  ,µGy/h  ,0.13,0.01,0.13,0.19,0.10
Shobdon*  ,µGy/h  ,0.13,0.01,0.12,0.18,0.10
Shoeburyness  ,µGy/h  ,0.11,0.01,0.11,0.22,0.09
Squires Gate (Blackpool)  ,µGy/h  ,0.10,0.01,0.08,0.17,0.07
St Athan  ,µGy/h  ,0.11,0.01,0.11,0.18,0.08
St Catherines (Isle of Wight)  ,µGy/h  ,0.11,0.01,0.11,0.17,0.09
St Mawgan  ,µGy/h  ,0.13,0.01,0.12,0.18,0.10
