Apr-Jun 2020 RIMNET mobile monitors summary,,,,,
,,,,,
Location,Units,Standard Deviation,Avg,Max,Min
RNLI Workington  ,µGy/h  ,0.00426,0.11,0.13,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.00497,0.09,0.12,0.08
Scottish LH Kinnaird Head  ,µGy/h  ,0.004781,0.11,0.14,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.004766,0.11,0.13,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005171,0.13,0.14,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.004627,0.10,0.12,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.004834,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004594,0.13,0.15,0.12
Somerset Combwich  ,µGy/h  ,0.005458,0.09,0.34,0.08
Somerset Kilve  ,µGy/h  ,0.00526,0.10,0.14,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.00456,0.11,0.13,0.09
Somerset RSPCA Highbridge  ,µGy/h  ,0.005049,0.11,0.14,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.004498,0.11,0.13,0.09
Suffolk Dunwich  ,µGy/h  ,0.004809,0.10,0.11,0.08
Suffolk Knodishall  ,µGy/h  ,0.003918,0.09,0.12,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004374,0.09,0.12,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005275,0.11,0.13,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005257,0.10,0.12,0.08
Suffolk Theberton  ,µGy/h  ,0.003703,0.09,0.12,0.08
Suffolk Westleton  ,µGy/h  ,0.004802,0.09,0.12,0.08
Trinity House Dungeness  ,µGy/h  ,0.00522,0.13,0.15,0.11
Trinity House Harwich  ,µGy/h  ,0.003784,0.08,0.10,0.07
Trinity House St Bees  ,µGy/h  ,0.004919,0.11,0.13,0.09
