Jul-Sep 2020 RIMNET mobile monitors summary,,,,,
Location,Units,Standard deviation,Avg,Max,Min
RNLI Workington  ,µGy/h  ,0.00421,0.11,0.13,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.005001,0.09,0.12,0.08
Scottish LH Kinnaird Head  ,µGy/h  ,0.0045,0.11,0.13,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.00477,0.11,0.13,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005294,0.13,0.15,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.004506,0.10,0.12,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.004694,0.09,0.12,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.004678,0.13,0.16,0.11
Somerset Combwich  ,µGy/h  ,0.004929,0.09,0.12,0.08
Somerset Kilve  ,µGy/h  ,0.005224,0.10,0.14,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.004538,0.11,0.14,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.005581,0.11,0.39,0.09
Suffolk Aldeburgh  ,µGy/h  ,0.004321,0.11,0.13,0.09
Suffolk Dunwich  ,µGy/h  ,0.004747,0.10,0.12,0.09
Suffolk Knodishall  ,µGy/h  ,0.004147,0.09,0.11,0.08
Suffolk Leiston 01  ,µGy/h  ,0.00436,0.09,0.11,0.08
Suffolk Leiston 02  ,µGy/h  ,0.005159,0.11,0.13,0.09
Suffolk Leiston 03  ,µGy/h  ,0.005137,0.10,0.12,0.08
Suffolk Theberton  ,µGy/h  ,0.003931,0.09,0.11,0.08
Suffolk Westleton  ,µGy/h  ,0.004892,0.09,0.12,0.08
Trinity House Dungeness  ,µGy/h  ,0.005344,0.13,0.16,0.11
Trinity House Harwich  ,µGy/h  ,0.003682,0.08,0.10,0.07
Trinity House St Bees  ,µGy/h  ,0.005342,0.11,0.13,0.09
