Location,Units,Standard Deviation,Avg,Max,Min
RNLI Workington  ,µGy/h  ,0.004857,0.11,0.13,0.10
Scottish LH Duncansby Head  ,µGy/h  ,0.005386,0.10,0.12,0.08
Scottish LH Kinnaird Head  ,µGy/h  ,0.005185,0.11,0.12,0.09
Scottish LH North Ronaldsay  ,µGy/h  ,0.00505,0.11,0.13,0.09
Scottish LH Scurdie Ness  ,µGy/h  ,0.005219,0.13,0.14,0.11
Scottish LH St Abbs Head  ,µGy/h  ,0.005043,0.10,0.12,0.09
Scottish LH Tarbat Ness  ,µGy/h  ,0.005112,0.09,0.10,0.07
Somerset Ashford Water Treatment Works  ,µGy/h  ,0.00489,0.13,0.14,0.11
Somerset Combwich  ,µGy/h  ,0.004889,0.09,0.11,0.08
Somerset Kilve  ,µGy/h  ,0.004746,0.10,0.12,0.09
Somerset Nether Stowey School  ,µGy/h  ,0.004392,0.11,0.13,0.10
Somerset RSPCA Highbridge  ,µGy/h  ,0.005638,0.10,0.36,0.09
South Gloucestershire Yate Council Offices  ,µGy/h  ,0.004293,0.09,0.10,0.07
Suffolk Aldeburgh  ,µGy/h  ,0.004647,0.11,0.13,0.09
Suffolk Dunwich  ,µGy/h  ,0.005021,0.10,0.12,0.08
Suffolk Eastbridge  ,µGy/h  ,0.004828,0.09,0.11,0.07
Suffolk Knodishall  ,µGy/h  ,0.005014,0.09,0.41,0.08
Suffolk Leiston 01  ,µGy/h  ,0.004747,0.09,0.11,0.08
Suffolk Leiston 02  ,µGy/h  ,0.004455,0.10,0.12,0.09
Suffolk Leiston 03  ,µGy/h  ,0.00421,0.09,0.11,0.08
Suffolk Theberton  ,µGy/h  ,0.003898,0.09,0.11,0.08
Suffolk Westleton  ,µGy/h  ,0.00483,0.09,0.11,0.08
Trinity House Dungeness  ,µGy/h  ,0.005385,0.13,0.15,0.11
Trinity House Harwich  ,µGy/h  ,0.00391,0.08,0.10,0.07
Trinity House St Bees  ,µGy/h  ,0.005449,0.11,0.13,0.09
