Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.022,1.083,1.0423333333333331,1.026,K,South Wales,9,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.808626102339112,2.72800403796634,1.7018135235318903,1.81684817838612,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2016,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2016.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.44,2.969333333333333,2.78,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.02,2.1043333333333334,1.889,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.201,4.44,2.527368421052632,3.363,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.137,3.02,1.853157894736842,2.285,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.022,1.083,1.0423333333333331,1.026,K,South Wales,9,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.8570814014687933,2.860210265161331,1.772826730909281,1.8669652946242068,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2017,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-v-1-0-2017.xlsx
2018,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.58,3.011,2.737,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2018,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,3.03,2.093,1.843,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2018,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2018,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.476,4.58,2.8123684210526316,3.031,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
