settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2021-06-01,1,2,2021-05-31T23:26:00Z,2021-05-31T23:31:00Z,790,650,MRWD-1,T_MRWD-1,130068,2021-05-31T22:50:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:25:00Z,2021-05-31T23:31:00Z,713,800,SPLN-1,T_SPLN-1,191613,2021-05-31T23:23:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:25:00Z,2021-05-31T23:28:00Z,300,220,CARR-2,T_CARR-2,65959,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:23:00Z,2021-05-31T23:47:00Z,713,335,SPLN-1,T_SPLN-1,191611,2021-05-31T22:51:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:23:00Z,2021-05-31T23:25:00Z,500,450,DIDCB5,T_DIDCB5,125142,2021-05-31T23:14:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:22:00Z,2021-05-31T23:25:00Z,200,0,DRAXX-2,T_DRAXX-2,158876,2021-05-31T22:05:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:22:00Z,2021-05-31T23:25:00Z,43,0,STAY-2,T_STAY-2,98238,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:21:00Z,2021-05-31T23:25:00Z,43,0,STAY-1,T_STAY-1,93485,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,2,2021-05-31T23:20:00Z,2021-05-31T23:50:00Z,300,300,CARR-2,T_CARR-2,65961,2021-05-31T23:18:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:20:00Z,2021-05-31T23:28:00Z,230,135,GRAI-6,T_GRAI-6,99585,2021-05-31T22:51:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:20:00Z,2021-05-31T23:22:00Z,125,43,STAY-2,T_STAY-2,98238,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:20:00Z,2021-05-31T23:21:00Z,241,220,CARR-2,T_CARR-2,65958,2021-05-31T22:48:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:19:00Z,2021-05-31T23:25:00Z,100,0,CARR-2,T_CARR-2,65955,2021-05-31T22:05:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:19:00Z,2021-05-31T23:21:00Z,125,43,STAY-1,T_STAY-1,93485,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:18:00Z,2021-05-31T23:23:00Z,500,500,DIDCB5,T_DIDCB5,125142,2021-05-31T23:14:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:18:00Z,2021-05-31T23:22:00Z,450,360,DIDCB5,T_DIDCB5,125138,2021-05-31T22:52:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:18:00Z,2021-05-31T23:20:00Z,250,230,GRAI-6,T_GRAI-6,99585,2021-05-31T22:51:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:18:00Z,2021-05-31T23:19:00Z,90,0,FFES-4,T_FFES-4,158238,2021-05-31T23:14:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:17:00Z,2021-05-31T23:47:00Z,390,390,PEMB-11,T_PEMB-11,88817,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:17:00Z,2021-05-31T23:47:00Z,390,390,PEMB-21,T_PEMB-21,80792,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:17:00Z,2021-05-31T23:37:00Z,713,713,SPLN-1,T_SPLN-1,191612,2021-05-31T23:15:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:17:00Z,2021-05-31T23:31:00Z,437,300,DRAXX-2,T_DRAXX-2,158880,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:17:00Z,2021-05-31T23:19:00Z,130,100,CARR-2,T_CARR-2,65955,2021-05-31T22:05:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:16:00Z,2021-05-31T23:18:00Z,450,500,DIDCB5,T_DIDCB5,125142,2021-05-31T23:14:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:16:00Z,2021-05-31T23:18:00Z,90,90,FFES-4,T_FFES-4,158238,2021-05-31T23:14:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:16:00Z,2021-05-31T23:17:00Z,90,0,FFES-4,T_FFES-4,158237,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:15:00Z,2021-05-31T23:45:00Z,195,195,STAY-2,T_STAY-2,98239,2021-05-31T22:32:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:15:00Z,2021-05-31T23:20:00Z,195,125,STAY-2,T_STAY-2,98238,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:15:00Z,2021-05-31T23:17:00Z,424,390,PEMB-11,T_PEMB-11,88817,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:15:00Z,2021-05-31T23:17:00Z,424,390,PEMB-21,T_PEMB-21,80792,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:14:00Z,2021-05-31T23:44:00Z,450,450,DIDCB5,T_DIDCB5,125141,2021-05-31T23:12:00Z,False,True,False,False
2021-06-01,1,2,2021-05-31T23:14:00Z,2021-05-31T23:44:00Z,300,300,GRAI-6,T_GRAI-6,99587,2021-05-31T23:12:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:14:00Z,2021-05-31T23:19:00Z,300,240,GRAI-6,T_GRAI-6,99586,2021-05-31T23:02:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:14:00Z,2021-05-31T23:16:00Z,90,90,FFES-4,T_FFES-4,158237,2021-05-31T23:13:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:14:00Z,2021-05-31T23:15:00Z,90,0,FFES-4,T_FFES-4,158236,2021-05-31T23:10:00Z,False,False,False,False
2021-06-01,1,2,2021-05-31T23:13:00Z,2021-05-31T23:43:00Z,220,220,CARR-2,T_CARR-2,65957,2021-05-31T22:44:00Z,False,True,False,False
2021-06-01,1,2,2021-05-31T23:13:00Z,2021-05-31T23:43:00Z,220,220,STAY-1,T_STAY-1,93486,2021-05-31T22:32:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:13:00Z,2021-05-31T23:19:00Z,220,125,STAY-1,T_STAY-1,93485,2021-05-31T22:10:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:13:00Z,2021-05-31T23:17:00Z,220,130,CARR-2,T_CARR-2,65955,2021-05-31T22:05:00Z,False,True,False,False
2021-06-01,1,3,2021-05-31T23:12:00Z,2021-06-01T00:00:00Z,300,300,DRAXX-2,T_DRAXX-2,158878,2021-05-31T22:43:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:12:00Z,2021-05-31T23:22:00Z,300,200,DRAXX-2,T_DRAXX-2,158876,2021-05-31T22:05:00Z,False,True,False,False
2021-06-01,1,1,2021-05-31T23:12:00Z,2021-05-31T23:14:00Z,90,90,FFES-4,T_FFES-4,158236,2021-05-31T23:10:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:12:00Z,2021-05-31T23:13:00Z,90,0,FFES-4,T_FFES-4,158235,2021-05-31T23:08:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:10:00Z,2021-05-31T23:25:00Z,300,300,CARR-2,T_CARR-2,65959,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:10:00Z,2021-05-31T23:24:00Z,437,300,DRAXX-2,T_DRAXX-2,158879,2021-05-31T22:52:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:10:00Z,2021-05-31T23:12:00Z,500,450,DIDCB5,T_DIDCB5,125139,2021-05-31T23:01:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:10:00Z,2021-05-31T23:12:00Z,90,90,FFES-4,T_FFES-4,158235,2021-05-31T23:08:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:10:00Z,2021-05-31T23:11:00Z,90,0,FFES-4,T_FFES-4,158234,2021-05-31T23:06:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:09:00Z,2021-05-31T23:14:00Z,300,300,GRAI-6,T_GRAI-6,99586,2021-05-31T23:02:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:08:00Z,2021-05-31T23:10:00Z,90,90,FFES-4,T_FFES-4,158234,2021-05-31T23:06:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:08:00Z,2021-05-31T23:09:00Z,90,0,FFES-4,T_FFES-4,158233,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:07:00Z,2021-05-31T23:17:00Z,437,437,DRAXX-2,T_DRAXX-2,158880,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:07:00Z,2021-05-31T23:10:00Z,241,300,CARR-2,T_CARR-2,65959,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:06:00Z,2021-05-31T23:08:00Z,90,90,FFES-4,T_FFES-4,158233,2021-05-31T23:05:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:06:00Z,2021-05-31T23:07:00Z,90,0,FFES-4,T_FFES-4,158232,2021-05-31T23:01:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:05:00Z,2021-05-31T23:10:00Z,500,500,DIDCB5,T_DIDCB5,125139,2021-05-31T23:01:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:04:00Z,2021-05-31T23:09:00Z,250,300,GRAI-6,T_GRAI-6,99586,2021-05-31T23:02:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:03:00Z,2021-05-31T23:18:00Z,250,250,GRAI-6,T_GRAI-6,99585,2021-05-31T22:51:00Z,False,False,False,False
2021-06-01,1,1,2021-05-31T23:03:00Z,2021-05-31T23:06:00Z,90,90,FFES-4,T_FFES-4,158232,2021-05-31T23:01:00Z,False,False,False,False
