settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2021-05-24,1,3,2021-05-23T23:29:00Z,2021-05-24T00:00:00Z,150,150,WBURB-1,T_WBURB-1,101297,2021-05-23T22:33:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:29:00Z,2021-05-23T23:44:00Z,350,350,WBURB-2,T_WBURB-2,105860,2021-05-23T23:27:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:27:00Z,2021-05-23T23:35:00Z,320,525,SHBA-2,T_SHBA-2,168886,2021-05-23T22:39:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:27:00Z,2021-05-23T23:32:00Z,507,507,MRWD-1,T_MRWD-1,129343,2021-05-23T23:25:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:25:00Z,2021-05-23T23:37:00Z,280,110,ROCK-1,T_ROCK-1,179071,2021-05-23T23:11:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:25:00Z,2021-05-23T23:35:00Z,348,230,GRAI-6,T_GRAI-6,99116,2021-05-23T23:08:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:25:00Z,2021-05-23T23:35:00Z,350,230,GRAI-7,T_GRAI-7,100476,2021-05-23T23:08:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:25:00Z,2021-05-23T23:32:00Z,330,219,PEMB-11,T_PEMB-11,88429,2021-05-23T23:11:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:25:00Z,2021-05-23T23:30:00Z,80,0,PEMB-11,T_PEMB-11,88421,2021-05-23T22:02:00Z,False,True,False,False
2021-05-24,1,1,2021-05-23T23:25:00Z,2021-05-23T23:29:00Z,564,450,MRWD-1,T_MRWD-1,129342,2021-05-23T23:18:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:25:00Z,2021-05-23T23:27:00Z,290,320,SHBA-2,T_SHBA-2,168887,2021-05-23T22:51:00Z,False,True,False,False
2021-05-24,1,1,2021-05-23T23:24:00Z,2021-05-23T23:25:00Z,30,0,WBURB-2,T_WBURB-2,105850,2021-05-23T22:34:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:23:00Z,2021-05-23T23:30:00Z,128,0,GRAI-6,T_GRAI-6,99109,2021-05-23T22:03:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:23:00Z,2021-05-23T23:30:00Z,128,0,GRAI-7,T_GRAI-7,100470,2021-05-23T22:04:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:23:00Z,2021-05-23T23:29:00Z,350,220,WBURB-2,T_WBURB-2,105857,2021-05-23T23:10:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:22:00Z,2021-05-23T23:25:00Z,150,80,PEMB-11,T_PEMB-11,88421,2021-05-23T22:02:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:21:00Z,2021-05-23T23:40:00Z,348,348,GRAI-6,T_GRAI-6,99117,2021-05-23T23:19:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:21:00Z,2021-05-23T23:40:00Z,350,350,GRAI-7,T_GRAI-7,100477,2021-05-23T23:19:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:21:00Z,2021-05-23T23:33:00Z,330,330,PEMB-11,T_PEMB-11,88430,2021-05-23T23:19:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:20:00Z,2021-05-23T23:34:00Z,380,170,SPLN-1,T_SPLN-1,191135,2021-05-23T23:03:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:20:00Z,2021-05-23T23:31:00Z,259,110,ROCK-1,T_ROCK-1,179070,2021-05-23T23:08:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:20:00Z,2021-05-23T23:30:00Z,348,230,GRAI-6,T_GRAI-6,99114,2021-05-23T22:47:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:20:00Z,2021-05-23T23:30:00Z,350,230,GRAI-7,T_GRAI-7,100474,2021-05-23T22:47:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:20:00Z,2021-05-23T23:27:00Z,330,219,PEMB-11,T_PEMB-11,88427,2021-05-23T22:58:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:20:00Z,2021-05-23T23:25:00Z,564,564,MRWD-1,T_MRWD-1,129342,2021-05-23T23:18:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:18:00Z,2021-05-23T23:48:00Z,219,219,PEMB-11,T_PEMB-11,88425,2021-05-23T22:30:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:18:00Z,2021-05-23T23:33:00Z,380,380,SPLN-1,T_SPLN-1,191136,2021-05-23T23:16:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:18:00Z,2021-05-23T23:22:00Z,219,150,PEMB-11,T_PEMB-11,88421,2021-05-23T22:02:00Z,False,True,False,False
2021-05-24,1,3,2021-05-23T23:17:00Z,2021-05-24T00:12:00Z,460,460,SHBA-1,T_SHBA-1,187129,2021-05-23T23:15:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:17:00Z,2021-05-23T23:47:00Z,280,280,ROCK-1,T_ROCK-1,179072,2021-05-23T23:15:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:17:00Z,2021-05-23T23:32:00Z,350,350,WBURB-2,T_WBURB-2,105858,2021-05-23T23:15:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:17:00Z,2021-05-23T23:24:00Z,650,450,MRWD-1,T_MRWD-1,129341,2021-05-23T23:11:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:15:00Z,2021-05-23T23:45:00Z,400,400,LAGA-1,T_LAGA-1,120522,2021-05-23T22:31:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:15:00Z,2021-05-23T23:30:00Z,400,0,LAGA-1,T_LAGA-1,120518,2021-05-23T22:03:00Z,False,True,False,False
2021-05-24,1,1,2021-05-23T23:15:00Z,2021-05-23T23:25:00Z,280,280,ROCK-1,T_ROCK-1,179071,2021-05-23T23:11:00Z,False,False,False,False
2021-05-24,1,2,2021-05-23T23:14:00Z,2021-05-23T23:44:00Z,230,230,GRAI-6,T_GRAI-6,99113,2021-05-23T22:31:00Z,False,True,False,False
2021-05-24,1,2,2021-05-23T23:14:00Z,2021-05-23T23:44:00Z,230,230,GRAI-7,T_GRAI-7,100473,2021-05-23T22:32:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:14:00Z,2021-05-23T23:23:00Z,230,128,GRAI-6,T_GRAI-6,99109,2021-05-23T22:03:00Z,False,True,False,False
2021-05-24,1,1,2021-05-23T23:14:00Z,2021-05-23T23:23:00Z,230,128,GRAI-7,T_GRAI-7,100470,2021-05-23T22:04:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:14:00Z,2021-05-23T23:21:00Z,500,778,SHBA-1,T_SHBA-1,187126,2021-05-23T22:02:00Z,False,True,False,False
2021-05-24,1,1,2021-05-23T23:14:00Z,2021-05-23T23:19:00Z,336,220,WBURB-2,T_WBURB-2,105856,2021-05-23T23:02:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:13:00Z,2021-05-23T23:25:00Z,330,330,PEMB-11,T_PEMB-11,88429,2021-05-23T23:11:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:13:00Z,2021-05-23T23:23:00Z,350,350,WBURB-2,T_WBURB-2,105857,2021-05-23T23:10:00Z,False,False,False,False
2021-05-24,1,1,2021-05-23T23:13:00Z,2021-05-23T23:20:00Z,650,450,MRWD-1,T_MRWD-1,129339,2021-05-23T22:59:00Z,False,False,False,False
