settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2021-05-19,1,2,2021-05-18T23:29:00Z,2021-05-18T23:37:00Z,340,158,WBURB-1,T_WBURB-1,101097,2021-05-18T23:10:00Z,False,True,False,False
2021-05-19,1,2,2021-05-18T23:29:00Z,2021-05-18T23:30:00Z,1070,1060,HUMR-1,T_HUMR-1,167197,2021-05-18T23:28:00Z,False,True,False,False
2021-05-19,1,2,2021-05-18T23:27:00Z,2021-05-18T23:34:00Z,320,240,PEHE-1,T_PEHE-1,143121,2021-05-18T22:55:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:25:00Z,2021-05-18T23:35:00Z,340,340,WBURB-1,T_WBURB-1,101098,2021-05-18T23:23:00Z,False,True,False,False
2021-05-19,1,2,2021-05-18T23:25:00Z,2021-05-18T23:31:00Z,350,420,GRAI-7,T_GRAI-7,100240,2021-05-18T22:33:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:25:00Z,2021-05-18T23:31:00Z,350,420,GRAI-8,T_GRAI-8,96310,2021-05-18T22:33:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:24:00Z,2021-05-18T23:44:00Z,320,320,PEHE-1,T_PEHE-1,143123,2021-05-18T23:22:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:24:00Z,2021-05-18T23:30:00Z,300,158,WBURB-1,T_WBURB-1,101095,2021-05-18T22:55:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:23:00Z,2021-05-18T23:28:00Z,350,433,PEMB-21,T_PEMB-21,80400,2021-05-18T22:51:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:21:00Z,2021-05-18T23:30:00Z,300,536,SHBA-2,T_SHBA-2,168642,2021-05-18T22:00:00Z,False,True,False,False
2021-05-19,1,2,2021-05-18T23:19:00Z,2021-05-18T23:49:00Z,1070,1070,HUMR-1,T_HUMR-1,167196,2021-05-18T23:13:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:19:00Z,2021-05-18T23:20:00Z,605,615,DRAXX-4,T_DRAXX-4,169440,2021-05-18T22:47:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:18:00Z,2021-05-18T23:56:00Z,280,280,CNQPS-3,T_CNQPS-3,74839,2021-05-18T23:12:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:18:00Z,2021-05-18T23:19:00Z,52,0,CRUA-1,T_CRUA-1,173147,2021-05-18T23:14:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:18:00Z,2021-05-18T23:19:00Z,1060,1070,HUMR-1,T_HUMR-1,167196,2021-05-18T23:13:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:17:00Z,2021-05-18T23:18:00Z,-287,-284,DINO-6,T_DINO-6,130925,2021-05-18T23:06:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:16:00Z,2021-05-18T23:30:00Z,160,0,PEHE-1,T_PEHE-1,143117,2021-05-18T22:20:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:16:00Z,2021-05-18T23:18:00Z,52,52,CRUA-1,T_CRUA-1,173147,2021-05-18T23:14:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:16:00Z,2021-05-18T23:17:00Z,0,0,DINO-5,T_DINO-5,116004,2021-05-18T22:15:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:15:00Z,2021-05-18T23:45:00Z,218,218,PEHE-1,T_PEHE-1,143119,2021-05-18T22:32:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:15:00Z,2021-05-18T23:16:00Z,120,0,CRUA-1,T_CRUA-1,173146,2021-05-18T23:05:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:15:00Z,2021-05-18T23:16:00Z,120,52,CRUA-1,T_CRUA-1,173147,2021-05-18T23:14:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:15:00Z,2021-05-18T23:16:00Z,218,160,PEHE-1,T_PEHE-1,143117,2021-05-18T22:20:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:14:00Z,2021-05-18T23:29:00Z,340,340,WBURB-1,T_WBURB-1,101097,2021-05-18T23:10:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:14:00Z,2021-05-18T23:18:00Z,325,280,CNQPS-3,T_CNQPS-3,74839,2021-05-18T23:12:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:14:00Z,2021-05-18T23:18:00Z,975,1060,HUMR-1,T_HUMR-1,167196,2021-05-18T23:13:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:14:00Z,2021-05-18T23:15:00Z,30,0,WBURB-1,T_WBURB-1,101093,2021-05-18T22:45:00Z,False,True,False,False
2021-05-19,1,3,2021-05-18T23:13:00Z,2021-05-19T00:25:00Z,650,650,SHBA-1,T_SHBA-1,186959,2021-05-18T23:07:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:12:00Z,2021-05-18T23:14:00Z,300,340,WBURB-1,T_WBURB-1,101097,2021-05-18T23:10:00Z,False,True,False,False
2021-05-19,1,3,2021-05-18T23:10:00Z,2021-05-19T00:15:00Z,200,200,SCCL-1,T_SCCL-1,98745,2021-05-18T23:08:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:09:00Z,2021-05-18T23:13:00Z,785,650,SHBA-1,T_SHBA-1,186959,2021-05-18T23:07:00Z,False,True,False,False
2021-05-19,1,3,2021-05-18T23:08:00Z,2021-05-19T00:13:00Z,290,290,SHBA-2,T_SHBA-2,168643,2021-05-18T23:05:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:08:00Z,2021-05-18T23:17:00Z,-287,-287,DINO-6,T_DINO-6,130925,2021-05-18T23:06:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:08:00Z,2021-05-18T23:15:00Z,120,120,CRUA-1,T_CRUA-1,173146,2021-05-18T23:05:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:08:00Z,2021-05-18T23:13:00Z,320,386,SCCL-1,T_SCCL-1,98742,2021-05-18T22:31:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:08:00Z,2021-05-18T23:09:00Z,120,0,CRUA-1,T_CRUA-1,173145,2021-05-18T22:55:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:07:00Z,2021-05-18T23:08:00Z,0,-287,DINO-6,T_DINO-6,130925,2021-05-18T23:06:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:07:00Z,2021-05-18T23:08:00Z,300,290,SHBA-2,T_SHBA-2,168643,2021-05-18T23:05:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:05:00Z,2021-05-18T23:10:00Z,300,360,ROCK-1,T_ROCK-1,178793,2021-05-18T22:48:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:04:00Z,2021-05-18T23:24:00Z,300,300,WBURB-1,T_WBURB-1,101095,2021-05-18T22:55:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:04:00Z,2021-05-18T23:05:00Z,0,-284,DINO-4,T_DINO-4,108818,2021-05-18T23:00:00Z,False,False,True,False
2021-05-19,1,2,2021-05-18T23:03:00Z,2021-05-18T23:43:00Z,350,350,PEMB-21,T_PEMB-21,80401,2021-05-18T23:01:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:03:00Z,2021-05-18T23:35:00Z,350,350,GRAI-7,T_GRAI-7,100241,2021-05-18T23:01:00Z,False,False,False,False
2021-05-19,1,2,2021-05-18T23:03:00Z,2021-05-18T23:33:00Z,350,350,GRAI-8,T_GRAI-8,96311,2021-05-18T23:01:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:03:00Z,2021-05-18T23:14:00Z,150,30,WBURB-1,T_WBURB-1,101093,2021-05-18T22:45:00Z,False,True,False,False
2021-05-19,1,1,2021-05-18T23:02:00Z,2021-05-18T23:07:00Z,350,433,PEMB-21,T_PEMB-21,80399,2021-05-18T22:21:00Z,False,False,False,False
2021-05-19,1,1,2021-05-18T23:02:00Z,2021-05-18T23:04:00Z,0,0,DINO-4,T_DINO-4,108818,2021-05-18T23:00:00Z,False,False,True,False
2021-05-19,1,1,2021-05-18T23:02:00Z,2021-05-18T23:03:00Z,0,-284,DINO-4,T_DINO-4,108817,2021-05-18T22:58:00Z,False,False,True,False
2021-05-19,1,1,2021-05-18T23:00:00Z,2021-05-18T23:02:00Z,0,0,DINO-4,T_DINO-4,108817,2021-05-18T22:58:00Z,False,False,True,False
2021-05-18,48,1,2021-05-18T22:59:00Z,2021-05-18T23:06:00Z,320,240,PEHE-1,T_PEHE-1,143120,2021-05-18T22:34:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:58:00Z,2021-05-18T23:08:00Z,120,120,CRUA-1,T_CRUA-1,173145,2021-05-18T22:55:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:57:00Z,2021-05-18T23:27:00Z,320,320,PEHE-1,T_PEHE-1,143121,2021-05-18T22:55:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:57:00Z,2021-05-18T23:04:00Z,150,300,WBURB-1,T_WBURB-1,101095,2021-05-18T22:55:00Z,False,True,False,False
2021-05-18,48,1,2021-05-18T22:57:00Z,2021-05-18T23:02:00Z,300,240,PEHE-1,T_PEHE-1,143118,2021-05-18T22:31:00Z,False,False,False,False
2021-05-18,48,2,2021-05-18T22:56:00Z,2021-05-18T23:41:00Z,200,200,SCCL-1,T_SCCL-1,98744,2021-05-18T22:49:00Z,False,True,False,False
2021-05-18,48,2,2021-05-18T22:56:00Z,2021-05-18T23:36:00Z,150,150,WBURB-1,T_WBURB-1,101094,2021-05-18T22:54:00Z,False,True,False,False
2021-05-18,48,1,2021-05-18T22:55:00Z,2021-05-18T23:05:00Z,300,300,ROCK-1,T_ROCK-1,178793,2021-05-18T22:48:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:53:00Z,2021-05-18T23:23:00Z,350,350,PEMB-21,T_PEMB-21,80400,2021-05-18T22:51:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:49:00Z,2021-05-18T23:19:00Z,605,605,DRAXX-4,T_DRAXX-4,169440,2021-05-18T22:47:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:48:00Z,2021-05-18T23:03:00Z,150,150,WBURB-1,T_WBURB-1,101093,2021-05-18T22:45:00Z,False,True,False,False
2021-05-18,48,1,2021-05-18T22:46:00Z,2021-05-18T23:15:00Z,218,218,PEHE-1,T_PEHE-1,143117,2021-05-18T22:20:00Z,False,False,False,False
2021-05-18,48,2,2021-05-18T22:41:00Z,2021-05-18T23:46:00Z,280,280,SCCL-1,T_SCCL-1,98743,2021-05-18T22:34:00Z,False,True,False,False
2021-05-18,48,1,2021-05-18T22:38:00Z,2021-05-18T23:08:00Z,320,320,SCCL-1,T_SCCL-1,98742,2021-05-18T22:31:00Z,False,True,False,False
2021-05-18,48,1,2021-05-18T22:35:00Z,2021-05-18T23:25:00Z,350,350,GRAI-7,T_GRAI-7,100240,2021-05-18T22:33:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:35:00Z,2021-05-18T23:25:00Z,350,350,GRAI-8,T_GRAI-8,96310,2021-05-18T22:33:00Z,False,False,False,False
2021-05-18,48,2,2021-05-18T22:34:00Z,2021-05-18T23:40:00Z,700,700,MRWD-1,T_MRWD-1,129099,2021-05-18T22:32:00Z,False,False,False,False
2021-05-18,48,1,2021-05-18T22:32:00Z,2021-05-18T23:02:00Z,350,350,PEMB-21,T_PEMB-21,80399,2021-05-18T22:21:00Z,False,False,False,False
2021-05-18,47,1,2021-05-18T22:06:00Z,2021-05-18T23:21:00Z,300,300,SHBA-2,T_SHBA-2,168642,2021-05-18T22:00:00Z,False,True,False,False
2021-05-19,2,3,2021-05-18T23:59:00Z,2021-05-19T00:00:00Z,0,0,DINO-3,T_DINO-3,92642,2021-05-18T22:40:00Z,False,False,False,False
2021-05-19,2,3,2021-05-18T23:59:00Z,2021-05-19T00:00:00Z,310,294,WBURB-1,T_WBURB-1,101101,2021-05-18T23:46:00Z,False,True,False,False
2021-05-19,2,3,2021-05-18T23:56:00Z,2021-05-19T00:26:00Z,300,300,STAY-4,T_STAY-4,89993,2021-05-18T23:48:00Z,False,False,False,False
2021-05-19,2,3,2021-05-18T23:54:00Z,2021-05-19T00:19:00Z,300,300,CNQPS-2,T_CNQPS-2,79215,2021-05-18T23:52:00Z,False,False,False,False
2021-05-19,2,3,2021-05-18T23:54:00Z,2021-05-19T00:09:00Z,280,280,CNQPS-3,T_CNQPS-3,74840,2021-05-18T23:52:00Z,False,False,False,False
2021-05-19,2,3,2021-05-18T23:54:00Z,2021-05-19T00:02:00Z,262,340,PEHE-1,T_PEHE-1,143126,2021-05-18T23:49:00Z,False,False,False,False
2021-05-19,2,2,2021-05-18T23:54:00Z,2021-05-18T23:55:00Z,0,-282,DINO-5,T_DINO-5,116009,2021-05-18T23:49:00Z,False,False,False,False
2021-05-19,2,2,2021-05-18T23:51:00Z,2021-05-18T23:54:00Z,0,0,DINO-5,T_DINO-5,116009,2021-05-18T23:49:00Z,False,False,False,False
2021-05-19,2,2,2021-05-18T23:51:00Z,2021-05-18T23:52:00Z,0,-282,DINO-5,T_DINO-5,116008,2021-05-18T23:46:00Z,False,False,False,False
2021-05-19,2,2,2021-05-18T23:50:00Z,2021-05-18T23:56:00Z,195,300,STAY-4,T_STAY-4,89993,2021-05-18T23:48:00Z,False,False,False,False
