settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2021-05-15,1,2,2021-05-14T23:29:00Z,2021-05-14T23:51:00Z,480,260,DAMC-1,T_DAMC-1,131107,2021-05-14T22:31:00Z,False,False,False,False
2021-05-15,1,2,2021-05-14T23:29:00Z,2021-05-14T23:45:00Z,330,110,ROCK-1,T_ROCK-1,178699,2021-05-14T22:46:00Z,False,False,False,False
2021-05-15,1,2,2021-05-14T23:29:00Z,2021-05-14T23:32:00Z,257,230,CNQPS-1,T_CNQPS-1,83554,2021-05-14T22:57:00Z,False,False,False,False
2021-05-15,1,2,2021-05-14T23:29:00Z,2021-05-14T23:30:00Z,30,0,WBURB-1,T_WBURB-1,100968,2021-05-14T22:02:00Z,False,True,False,False
2021-05-15,1,2,2021-05-14T23:27:00Z,2021-05-14T23:30:00Z,200,0,DRAXX-3,T_DRAXX-3,162390,2021-05-14T22:05:00Z,False,True,False,False
2021-05-15,1,2,2021-05-14T23:26:00Z,2021-05-14T23:39:00Z,420,195,STAY-2,T_STAY-2,97587,2021-05-14T22:44:00Z,False,True,False,False
2021-05-15,1,1,2021-05-14T23:25:00Z,2021-05-14T23:29:00Z,550,480,DAMC-1,T_DAMC-1,131107,2021-05-14T22:31:00Z,False,False,False,False
2021-05-15,1,1,2021-05-14T23:25:00Z,2021-05-14T23:26:00Z,0,0,SEAB-2,T_SEAB-2,102600,2021-05-14T22:46:00Z,False,False,False,False
2021-05-15,1,1,2021-05-14T23:23:00Z,2021-05-14T23:29:00Z,600,480,DAMC-1,T_DAMC-1,131109,2021-05-14T22:43:00Z,False,False,False,False
2021-05-15,1,1,2021-05-14T23:23:00Z,2021-05-14T23:29:00Z,690,856,MRWD-1,T_MRWD-1,128920,2021-05-14T22:18:00Z,False,False,False,False
2021-05-15,1,1,2021-05-14T23:23:00Z,2021-05-14T23:25:00Z,90,0,CNQPS-1,T_CNQPS-1,83549,2021-05-14T22:00:00Z,False,False,False,False
2021-05-15,1,1,2021-05-14T23:21:00Z,2021-05-14T23:29:00Z,260,0,DAMC-1,T_DAMC-1,131104,2021-05-14T22:04:00Z,False,False,False,False
