settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag
2021-06-03,1,2,2021-06-02T23:29:00Z,2021-06-02T23:33:00Z,340,290,SCCL-1,T_SCCL-1,99038,2021-06-02T23:27:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:29:00Z,2021-06-02T23:31:00Z,-287,-287,DINO-6,T_DINO-6,131290,2021-06-02T23:28:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:29:00Z,2021-06-02T23:30:00Z,-287,0,DINO-6,T_DINO-6,131289,2021-06-02T23:26:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:28:00Z,2021-06-02T23:36:00Z,300,431,PEMB-21,T_PEMB-21,80830,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:27:00Z,2021-06-02T23:31:00Z,360,280,WBURB-2,T_WBURB-2,106413,2021-06-02T23:25:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:27:00Z,2021-06-02T23:30:00Z,360,310,WBURB-2,T_WBURB-2,106412,2021-06-02T23:22:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:27:00Z,2021-06-02T23:29:00Z,-287,-287,DINO-6,T_DINO-6,131289,2021-06-02T23:26:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:27:00Z,2021-06-02T23:28:00Z,-287,0,DINO-6,T_DINO-6,131288,2021-06-02T23:23:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:26:00Z,2021-06-02T23:56:00Z,313,313,PEMB-31,T_PEMB-31,76891,2021-06-02T23:24:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:26:00Z,2021-06-02T23:31:00Z,320,250,STAY-1,T_STAY-1,93550,2021-06-02T23:24:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:25:00Z,2021-06-02T23:27:00Z,-287,-287,DINO-6,T_DINO-6,131288,2021-06-02T23:23:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:25:00Z,2021-06-02T23:26:00Z,-287,0,DINO-6,T_DINO-6,131287,2021-06-02T23:19:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:23:00Z,2021-06-02T23:29:00Z,100,0,CARR-2,T_CARR-2,66126,2021-06-02T22:06:00Z,False,True,False,False
2021-06-03,1,2,2021-06-02T23:22:00Z,2021-06-02T23:52:00Z,300,300,PEMB-21,T_PEMB-21,80831,2021-06-02T23:20:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:22:00Z,2021-06-02T23:28:00Z,330,434,PEMB-11,T_PEMB-11,88867,2021-06-02T22:50:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:21:00Z,2021-06-02T23:31:00Z,340,340,SCCL-1,T_SCCL-1,99037,2021-06-02T23:16:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:21:00Z,2021-06-02T23:25:00Z,-287,-287,DINO-6,T_DINO-6,131287,2021-06-02T23:19:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:21:00Z,2021-06-02T23:23:00Z,130,100,CARR-2,T_CARR-2,66126,2021-06-02T22:06:00Z,False,True,False,False
2021-06-03,1,1,2021-06-02T23:20:00Z,2021-06-02T23:21:00Z,0,-287,DINO-6,T_DINO-6,131287,2021-06-02T23:19:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:18:00Z,2021-06-02T23:24:00Z,680,848,MRWD-1,T_MRWD-1,130199,2021-06-02T22:26:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:18:00Z,2021-06-02T23:21:00Z,382,340,SCCL-1,T_SCCL-1,99037,2021-06-02T23:16:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:17:00Z,2021-06-02T23:47:00Z,220,220,CARR-2,T_CARR-2,66127,2021-06-02T22:30:00Z,False,True,False,False
2021-06-03,1,2,2021-06-02T23:17:00Z,2021-06-02T23:38:00Z,360,360,WBURB-2,T_WBURB-2,106411,2021-06-02T23:12:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:17:00Z,2021-06-02T23:32:00Z,320,320,STAY-1,T_STAY-1,93549,2021-06-02T23:09:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:17:00Z,2021-06-02T23:24:00Z,310,418,PEMB-41,T_PEMB-41,78052,2021-06-02T22:48:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:17:00Z,2021-06-02T23:21:00Z,220,130,CARR-2,T_CARR-2,66126,2021-06-02T22:06:00Z,False,True,False,False
2021-06-03,1,1,2021-06-02T23:15:00Z,2021-06-02T23:21:00Z,340,415,EECL-1,T_EECL-1,129351,2021-06-02T22:58:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:14:00Z,2021-06-02T23:17:00Z,421,360,WBURB-2,T_WBURB-2,106411,2021-06-02T23:12:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:13:00Z,2021-06-02T23:28:00Z,300,300,PEMB-21,T_PEMB-21,80830,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:13:00Z,2021-06-02T23:19:00Z,340,431,PEMB-21,T_PEMB-21,80829,2021-06-02T22:50:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:12:00Z,2021-06-02T23:32:00Z,500,500,DRAXX-3,T_DRAXX-3,162717,2021-06-02T23:02:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:11:00Z,2021-06-02T23:51:00Z,680,680,MRWD-1,T_MRWD-1,130200,2021-06-02T23:09:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:11:00Z,2021-06-02T23:17:00Z,414,320,STAY-1,T_STAY-1,93549,2021-06-02T23:09:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:10:00Z,2021-06-02T23:55:00Z,310,310,PEMB-41,T_PEMB-41,78053,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:10:00Z,2021-06-02T23:50:00Z,330,330,PEMB-11,T_PEMB-11,88868,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:10:00Z,2021-06-02T23:25:00Z,400,0,LAGA-1,T_LAGA-1,121055,2021-06-02T22:13:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:10:00Z,2021-06-02T23:13:00Z,340,300,PEMB-21,T_PEMB-21,80830,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:09:00Z,2021-06-02T23:18:00Z,300,400,GRAI-7,T_GRAI-7,101128,2021-06-02T22:47:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:08:00Z,2021-06-02T23:38:00Z,170,170,MEDP-1,T_MEDP-1,108439,2021-06-02T22:38:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:08:00Z,2021-06-02T23:25:00Z,170,0,MEDP-1,T_MEDP-1,108437,2021-06-02T22:12:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:08:00Z,2021-06-02T23:13:00Z,350,400,GRAI-7,T_GRAI-7,101126,2021-06-02T22:26:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:08:00Z,2021-06-02T23:11:00Z,350,421,WBURB-2,T_WBURB-2,106409,2021-06-02T22:51:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:07:00Z,2021-06-02T23:37:00Z,313,313,PEMB-31,T_PEMB-31,76890,2021-06-02T22:58:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:04:00Z,2021-06-02T23:12:00Z,580,500,DRAXX-3,T_DRAXX-3,162717,2021-06-02T23:02:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:03:00Z,2021-06-02T23:12:00Z,0,0,CRUA-2,T_CRUA-2,140775,2021-06-02T23:02:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:03:00Z,2021-06-02T23:09:00Z,340,415,EECL-1,T_EECL-1,129350,2021-06-02T22:40:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:00:00Z,2021-06-02T23:40:00Z,300,300,GRAI-7,T_GRAI-7,101129,2021-06-02T22:58:00Z,False,False,False,False
2021-06-03,1,2,2021-06-02T23:00:00Z,2021-06-02T23:30:00Z,440,440,DIDCB6,T_DIDCB6,155387,2021-06-02T22:14:00Z,False,True,False,False
2021-06-03,1,2,2021-06-02T23:00:00Z,2021-06-02T23:30:00Z,230,230,GRAI-8,T_GRAI-8,96996,2021-06-02T22:12:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:00:00Z,2021-06-02T23:15:00Z,340,340,EECL-1,T_EECL-1,129351,2021-06-02T22:58:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:00:00Z,2021-06-02T23:07:00Z,0,0,FOYE-2,T_FOYE-2,142544,2021-06-02T22:57:00Z,False,False,False,False
2021-06-03,1,1,2021-06-02T23:00:00Z,2021-06-02T23:07:00Z,425,313,PEMB-31,T_PEMB-31,76890,2021-06-02T22:58:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:58:00Z,2021-06-02T23:13:00Z,340,340,PEMB-21,T_PEMB-21,80829,2021-06-02T22:50:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:58:00Z,2021-06-02T23:01:00Z,345,416,WBURB-1,T_WBURB-1,101905,2021-06-02T22:06:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:57:00Z,2021-06-02T23:17:00Z,310,310,PEMB-41,T_PEMB-41,78052,2021-06-02T22:48:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:56:00Z,2021-06-02T23:03:00Z,0,0,DINO-5,T_DINO-5,117051,2021-06-02T22:55:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:56:00Z,2021-06-02T23:02:00Z,330,434,PEMB-11,T_PEMB-11,88866,2021-06-02T22:33:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:53:00Z,2021-06-02T23:08:00Z,350,350,WBURB-2,T_WBURB-2,106409,2021-06-02T22:51:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:52:00Z,2021-06-02T23:22:00Z,330,330,PEMB-11,T_PEMB-11,88867,2021-06-02T22:50:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:49:00Z,2021-06-02T23:09:00Z,300,300,GRAI-7,T_GRAI-7,101128,2021-06-02T22:47:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:48:00Z,2021-06-02T23:03:00Z,340,340,EECL-1,T_EECL-1,129350,2021-06-02T22:40:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:47:00Z,2021-06-02T23:17:00Z,220,220,CARR-2,T_CARR-2,66126,2021-06-02T22:06:00Z,False,True,False,False
2021-06-02,48,1,2021-06-02T22:40:00Z,2021-06-02T23:10:00Z,400,400,LAGA-1,T_LAGA-1,121055,2021-06-02T22:13:00Z,False,False,False,False
2021-06-02,48,2,2021-06-02T22:39:00Z,2021-06-02T23:34:00Z,345,345,WBURB-1,T_WBURB-1,101906,2021-06-02T22:37:00Z,False,False,False,False
2021-06-02,48,1,2021-06-02T22:38:00Z,2021-06-02T23:08:00Z,170,170,MEDP-1,T_MEDP-1,108437,2021-06-02T22:12:00Z,False,False,False,False
2021-06-02,47,1,2021-06-02T22:28:00Z,2021-06-02T23:18:00Z,680,680,MRWD-1,T_MRWD-1,130199,2021-06-02T22:26:00Z,False,False,False,False
2021-06-02,47,1,2021-06-02T22:28:00Z,2021-06-02T23:08:00Z,350,350,GRAI-7,T_GRAI-7,101126,2021-06-02T22:26:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:58:00Z,2021-06-03T00:05:00Z,270,382,SCCL-1,T_SCCL-1,99040,2021-06-02T23:47:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:56:00Z,2021-06-03T00:03:00Z,313,414,PEMB-31,T_PEMB-31,76891,2021-06-02T23:24:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:56:00Z,2021-06-03T00:00:00Z,170,230,SPLN-1,T_SPLN-1,191685,2021-06-02T23:54:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:55:00Z,2021-06-03T00:02:00Z,310,407,PEMB-41,T_PEMB-41,78053,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:53:00Z,2021-06-03T00:00:00Z,-75,-75,FFES-4,T_FFES-4,158297,2021-06-02T23:12:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:53:00Z,2021-06-02T23:59:00Z,100,0,CARR-2,T_CARR-2,66127,2021-06-02T22:30:00Z,False,True,False,False
2021-06-03,2,2,2021-06-02T23:53:00Z,2021-06-02T23:58:00Z,270,270,SCCL-1,T_SCCL-1,99040,2021-06-02T23:47:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:52:00Z,2021-06-03T00:00:00Z,300,431,PEMB-21,T_PEMB-21,80831,2021-06-02T23:20:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:52:00Z,2021-06-02T23:56:00Z,320,382,SCCL-1,T_SCCL-1,99039,2021-06-02T23:44:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:52:00Z,2021-06-02T23:53:00Z,0,-75,FFES-4,T_FFES-4,158297,2021-06-02T23:12:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:51:00Z,2021-06-02T23:57:00Z,680,849,MRWD-1,T_MRWD-1,130200,2021-06-02T23:09:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:51:00Z,2021-06-02T23:53:00Z,130,100,CARR-2,T_CARR-2,66127,2021-06-02T22:30:00Z,False,True,False,False
2021-06-03,2,2,2021-06-02T23:50:00Z,2021-06-02T23:56:00Z,330,434,PEMB-11,T_PEMB-11,88868,2021-06-02T23:08:00Z,False,False,False,False
2021-06-03,2,2,2021-06-02T23:49:00Z,2021-06-02T23:53:00Z,320,270,SCCL-1,T_SCCL-1,99040,2021-06-02T23:47:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:48:00Z,2021-06-03T00:18:00Z,680,680,MRWD-1,T_MRWD-1,130201,2021-06-02T23:46:00Z,False,False,False,False
2021-06-03,2,3,2021-06-02T23:47:00Z,2021-06-03T00:17:00Z,220,220,CARR-2,T_CARR-2,66128,2021-06-02T23:01:00Z,False,True,False,False
