RIMNET DATASET STATISTICAL SUMMARY - APRIL - JUNE 2012,,,,,
,,,,,
01 April 2012 00:00 - 30 June 2012 23:59,,,,,
,,,,,
Units :  µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
Shoeburyness  ,1.00E-01,4.72E-03,1.12E-01,1.00E-01,1.40E-01
Squires Gate (Blackpool)  ,9.00E-02,5.15E-03,8.02E-02,7.00E-02,1.10E-01
St Angelo  ,1.00E-01,2.98E-03,9.95E-02,9.00E-02,1.10E-01
St Athan  ,1.00E-01,5.44E-03,1.14E-01,1.00E-01,1.40E-01
St Catherines (Isle of Wight)  ,1.10E-01,4.24E-03,1.09E-01,1.00E-01,1.30E-01
St Mawgan  ,1.20E-01,5.69E-03,1.19E-01,1.00E-01,1.60E-01
Stoer Head  ,1.30E-01,4.75E-03,1.23E-01,1.10E-01,1.40E-01
Stornoway  ,1.00E-01,4.05E-03,9.81E-02,9.00E-02,1.10E-01
Strathallan  ,1.10E-01,3.86E-03,1.09E-01,1.00E-01,1.30E-01
Thorney Island  ,1.10E-01,5.27E-03,1.01E-01,9.00E-02,1.50E-01
Tiree  ,9.00E-02,4.84E-03,8.67E-02,8.00E-02,1.00E-01
Trawscoed  ,1.10E-01,5.21E-03,1.18E-01,1.10E-01,1.40E-01
Tulloch Bridge  ,1.00E-01,6.58E-03,1.08E-01,1.00E-01,1.30E-01
Turnhouse (Edinburgh Airport)  ,1.00E-01,4.76E-03,1.03E-01,9.00E-02,1.30E-01
Valley  ,1.10E-01,4.64E-03,1.08E-01,1.00E-01,1.30E-01
Waddington  ,1.10E-01,4.94E-03,1.08E-01,1.00E-01,1.30E-01
Warcop Range  ,1.10E-01,5.32E-03,1.06E-01,9.00E-02,1.40E-01
Wattisham  ,1.00E-01,4.61E-03,9.98E-02,9.00E-02,1.30E-01
West Freugh  ,9.00E-02,4.42E-03,9.24E-02,8.00E-02,1.10E-01
Wick  ,1.10E-01,8.90E-03,1.13E-01,1.00E-01,1.40E-01
Wilsden (Bingley)  ,1.10E-01,5.09E-03,1.13E-01,1.00E-01,1.30E-01
Wittering  ,1.20E-01,4.54E-03,1.22E-01,1.10E-01,1.50E-01
Yeovilton  ,1.10E-01,5.46E-03,1.07E-01,1.00E-01,1.40E-01
