RIMNET DATASET STATISTICAL SUMMARY : JULY - SEPTEMBER 2012,,,,,
,,,,,
01 July 2012 00:00 - 30 September 2012 23:59,,,,,
,,,,,
,,,,,
Units :  µGy/h  ,,,,,
,,,,,
Location,Site Normal Level,Std Dev,Mean,Min,Max
Shobdon  ,1.20E-01,6.01E-03,1.24E-01,1.10E-01,1.70E-01
Shoeburyness*  ,1.10E-01,5.36E-03,1.13E-01,1.00E-01,1.50E-01
Squires Gate (Blackpool)  ,9.00E-02,7.85E-03,9.48E-02,8.00E-02,1.50E-01
St Angelo  ,1.00E-01,4.02E-03,9.87E-02,9.00E-02,1.30E-01
St Athan*  ,1.10E-01,5.69E-03,1.13E-01,1.00E-01,1.60E-01
St Catherines (Isle of Wight)  ,1.10E-01,4.74E-03,1.08E-01,1.00E-01,1.40E-01
St Mawgan  ,1.20E-01,8.28E-03,1.25E-01,1.00E-01,1.70E-01
Stoer Head  ,1.30E-01,4.58E-03,1.23E-01,1.10E-01,1.40E-01
Stornoway  ,1.00E-01,5.34E-03,1.01E-01,9.00E-02,1.20E-01
Strathallan  ,1.10E-01,5.38E-03,1.16E-01,1.00E-01,1.40E-01
Thorney Island*  ,1.00E-01,6.95E-03,1.08E-01,9.00E-02,1.50E-01
Tiree  ,9.00E-02,6.37E-03,8.57E-02,7.00E-02,1.20E-01
Trawscoed*  ,1.20E-01,7.36E-03,1.17E-01,1.00E-01,1.50E-01
Tulloch Bridge*  ,1.10E-01,4.66E-03,1.18E-01,1.10E-01,1.40E-01
Turnhouse (Edinburgh Airport)  ,1.00E-01,4.40E-03,1.01E-01,8.00E-02,1.20E-01
Valley  ,1.10E-01,5.71E-03,1.07E-01,1.00E-01,1.40E-01
Waddington  ,1.10E-01,5.46E-03,1.04E-01,9.00E-02,1.60E-01
Warcop Range  ,1.10E-01,4.65E-03,1.02E-01,1.00E-01,1.30E-01
Wattisham  ,1.00E-01,4.33E-03,1.02E-01,9.00E-02,1.30E-01
West Freugh  ,9.00E-02,4.42E-03,8.81E-02,8.00E-02,1.00E-01
Wick  ,1.10E-01,4.63E-03,1.13E-01,1.00E-01,1.30E-01
Wilsden (Bingley)  ,1.10E-01,8.11E-03,1.10E-01,9.00E-02,1.50E-01
Wittering  ,1.20E-01,4.94E-03,1.21E-01,1.10E-01,1.60E-01
Yeovilton  ,1.10E-01,5.62E-03,1.05E-01,9.00E-02,1.50E-01
,,,,,
Note,,,,,
,,,,,
 *  Site Normal Level changed during  period of data summary.,,,,,
